chr2:102729528-102730228,700,[317],[229],[2.63679]
chr2:103108052-103108752,700,[420],[369],[2.68798]
chr2:128653113-128653813,700,[],[],[]
chr2:158254813-158255513,700,[],[],[]
chr2:160099658-160100358,700,[],[],[]
chr2:160101910-160102610,700,[],[],[]
chr2:172623067-172623767,700,[],[],[]
chr2:173318171-173318871,700,[-909, 1025],[1641, 1661],[4.04939, 4.17271]
chr2:187392917-187393617,700,[],[],[]
chr2:191816075-191816775,700,[],[],[]
chr2:201291640-201292340,700,[],[],[]
chr2:20411048-20411748,700,[2374],[5737],[5.50039]
chr2:20756218-20756918,700,[],[],[]
chr2:207983118-207983818,700,[],[],[]
chr2:237484798-237485498,700,[304],[1873],[2.95545]
chr2:23903887-23904587,700,[],[],[]
chr2:238018723-238019423,700,[],[],[]
chr2:238696204-238696904,700,[],[],[]
chr2:238702410-238703110,700,[],[],[]
chr2:238811785-238812485,700,[],[],[]
chr2:238812764-238813464,700,[],[],[]
chr2:240755461-240756161,700,[],[],[]
chr2:24326174-24326874,700,[],[],[]
chr2:242704400-242705100,700,[],[],[]
chr2:242705307-242706007,700,[],[],[]
chr2:242705591-242706291,700,[],[],[]
chr2:28655695-28656395,700,[],[],[]
chr2:39342755-39343455,700,[],[],[]
chr2:40768950-40769650,700,[],[],[]
chr2:42569084-42569784,700,[-102, 669],[501, 762],[2.63679, 5.31333]
chr2:44579494-44580194,700,[-316],[396],[2.74254]
chr2:46827389-46828089,700,[],[],[]
chr2:46859336-46860036,700,[],[],[]
chr2:54332082-54332782,700,[],[],[]
chr2:62388062-62388762,700,[],[],[]
chr2:65330462-65331162,700,[-34],[527],[4.11568]
chr2:66807209-66807909,700,[],[],[]
chr2:69890231-69890931,700,[],[],[]
chr2:72396965-72397665,700,[],[],[]
chr2:74932442-74933142,700,[],[],[]
chr2:74941258-74941958,700,[],[],[]
chr2:91757372-91758072,700,[],[],[]
chr2:95706003-95706703,700,[-120],[225],[2.5478]
chr2:91764158-91764858,700,[],[],[]
chr2:91764223-91764923,700,[],[],[]
chr2:3511546-3512246,700,[],[],[]
chr2:11329175-11329875,700,[],[],[]
chr2:11329975-11330675,700,[],[],[]
chr2:13665187-13665887,700,[],[],[]
chr2:14815485-14816185,700,[],[],[]
chr2:15314829-15315529,700,[],[],[]
chr2:20410110-20410810,700,[-1053],[2566],[6.75961]
chr2:20414720-20415420,700,[-1298],[5737],[5.50039]
chr2:20416944-20417644,700,[-374, 852],[342, 1806],[3.33174, 5.03335]
chr2:20419320-20420020,700,[-124],[404],[2.35182]
chr2:20474815-20475515,700,[],[],[]
chr2:20803622-20804322,700,[],[],[]
chr2:20813009-20813709,700,[834],[2292],[5.51433]
