chr22:24585717-24587217,1500,[-132],[1755],[3.6305]
chr22:33215535-33217035,1500,[-1157],[1956],[4.85351]
chr22:50022697-50024197,1500,[],[],[]
chr22:33223235-33224735,1500,[986],[6734],[6.96027]
chr22:38747119-38748619,1500,[],[],[]
chr22:22630932-22632432,1500,[],[],[]
chr22:47361866-47363366,1500,[],[],[]
chr22:30082274-30083774,1500,[],[],[]
chr22:31633735-31635235,1500,[],[],[]
chr22:43074856-43076356,1500,[-986, 1052],[914, 1460],[3.93672, 3.42616]
chr22:37679990-37681490,1500,[-870],[2682],[10.31371]
chr22:33236662-33238162,1500,[-221],[715],[2.78383]
chr22:29580230-29581730,1500,[],[],[]
chr22:39591254-39592754,1500,[],[],[]
chr22:22628032-22629532,1500,[],[],[]
chr22:33219530-33221030,1500,[870],[703],[3.84236]
chr22:26979013-26980513,1500,[],[],[]
chr22:26977616-26979116,1500,[],[],[]
chr22:47561553-47563053,1500,[],[],[]
chr22:32739136-32740636,1500,[],[],[]
chr22:43080055-43081555,1500,[2002],[6458],[13.95385]
chr22:33198426-33199926,1500,[-365],[6158],[9.9174]
chr22:19083038-19084538,1500,[],[],[]
chr22:45540056-45541556,1500,[],[],[]
chr22:45535630-45537130,1500,[],[],[]
chr22:25760690-25762190,1500,[],[],[]
chr22:46004882-46006382,1500,[],[],[]
chr22:24168643-24170143,1500,[],[],[]
chr22:28296537-28298037,1500,[],[],[]
chr22:38702554-38704054,1500,[-1696, 5203],[2017, 9641],[7.28027, 22.85195]
chr22:43072955-43074455,1500,[-960, 915],[2530, 914],[9.10345, 3.93672]
chr22:28269158-28270658,1500,[-628],[418],[3.32985]
chr22:29592098-29593598,1500,[],[],[]
chr22:33199363-33200863,1500,[-1302],[6158],[9.9174]
chr22:31705735-31707235,1500,[],[],[]
chr22:27188294-27189794,1500,[],[],[]
chr22:38703168-38704668,1500,[4589],[9641],[22.85195]
chr22:36770395-36771895,1500,[-520],[13012],[14.965]
chr22:30429135-30430635,1500,[],[],[]
chr22:38765554-38767054,1500,[],[],[]
chr22:50022797-50024297,1500,[],[],[]
chr22:24752234-24753734,1500,[475],[1049],[3.93482]
chr22:50345197-50346697,1500,[2077],[5943],[15.04923]
chr22:36614195-36615695,1500,[],[],[]
chr22:36614395-36615895,1500,[],[],[]
chr22:20084572-20086072,1500,[],[],[]
chr22:33228736-33230236,1500,[-437],[1215],[5.4602]
chr22:44397780-44399280,1500,[],[],[]
chr22:33212783-33214283,1500,[1595],[1956],[4.85351]
chr22:38701615-38703115,1500,[-757],[2017],[7.28027]
chr22:43294755-43296255,1500,[],[],[]
chr22:33232636-33234136,1500,[],[],[]
chr22:38173856-38175356,1500,[],[],[]
chr22:39597884-39599384,1500,[289],[938],[5.4602]
chr22:38766883-38768383,1500,[],[],[]
chr22:42231302-42232802,1500,[-183],[888],[3.65378]
chr22:32691736-32693236,1500,[],[],[]
chr22:49994797-49996297,1500,[],[],[]
chr22:47122900-47124400,1500,[1032],[924],[3.20778]
chr22:30707438-30708938,1500,[-8641],[19435],[16.58283]
chr22:28259337-28260837,1500,[-661],[580],[3.59869]
