chr1:1056491-1057491,1000,[356],[364],[4.62832]
chr1:1058927-1059927,1000,[],[],[]
chr1:1062948-1063948,1000,[],[],[]
chr1:1064225-1065225,1000,[],[],[]
chr1:12669270-12670270,1000,[-730],[2019],[7.46206]
chr1:19976593-19977593,1000,[137],[834],[4.29802]
chr1:29502612-29503612,1000,[],[],[]
chr1:31890283-31891283,1000,[],[],[]
chr1:32027801-32028801,1000,[],[],[]
chr1:33966073-33967073,1000,[],[],[]
chr1:53143383-53144383,1000,[],[],[]
chr1:56954052-56955052,1000,[],[],[]
chr1:68558116-68559116,1000,[],[],[]
chr1:84750470-84751470,1000,[],[],[]
chr1:94243755-94244755,1000,[],[],[]
chr1:95348356-95349356,1000,[],[],[]
chr1:100168456-100169456,1000,[],[],[]
chr1:114049668-114050668,1000,[],[],[]
chr1:114233390-114234390,1000,[],[],[]
chr1:117027747-117028747,1000,[],[],[]
chr1:118380270-118381270,1000,[],[],[]
chr1:119700332-119701332,1000,[],[],[]
chr1:119701864-119702864,1000,[],[],[]
chr1:144602293-144603293,1000,[],[],[]
chr1:144603215-144604215,1000,[],[],[]
chr1:144604565-144605565,1000,[],[],[]
chr1:144834678-144835678,1000,[],[],[]
chr1:144928062-144929062,1000,[],[],[]
chr1:144932633-144933633,1000,[-830],[2074],[7.55877]
chr1:16920965-16921965,1000,[],[],[]
chr1:149675404-149676404,1000,[],[],[]
chr1:149663194-149664194,1000,[],[],[]
chr15:75865982-75866982,1000,[],[],[]
chr1:147916699-147917699,1000,[],[],[]
chr1:145005195-145006195,1000,[],[],[]
chr1:145002958-145003958,1000,[],[],[]
chr1:145001697-145002697,1000,[],[],[]
chr1:144977213-144978213,1000,[],[],[]
chr1:150606354-150607354,1000,[],[],[]
chr1:151829398-151830398,1000,[],[],[]
chr1:155434991-155435991,1000,[],[],[]
chr1:155441051-155442051,1000,[],[],[]
chr1:155538715-155539715,1000,[],[],[]
chr1:160958626-160959626,1000,[],[],[]
chr1:169085561-169086561,1000,[],[],[]
chr1:169087538-169088538,1000,[],[],[]
chr1:193228178-193229178,1000,[],[],[]
chr1:193228801-193229801,1000,[],[],[]
chr1:193232249-193233249,1000,[],[],[]
chr1:206273350-206274350,1000,[],[],[]
chr1:206273133-206274133,1000,[],[],[]
chr1:206271931-206272931,1000,[],[],[]
chr1:207518577-207519577,1000,[],[],[]
chr1:221981351-221982351,1000,[],[],[]
chr1:221982506-221983506,1000,[],[],[]
chr1:222929742-222930742,1000,[],[],[]
chr1:223262092-223263092,1000,[],[],[]
chr1:223275142-223276142,1000,[],[],[]
chr1:224644502-224645502,1000,[-181],[1307],[8.82487]
chr1:233838600-233839600,1000,[],[],[]
chr1:233841946-233842946,1000,[],[],[]
chr1:243655702-243656702,1000,[],[],[]
