chr22:24586317-24587217,900,[-1289, 372],[1765, 1008],[4.74972, 2.37116]
chr22:33216135-33217035,900,[-578],[1050],[2.81575]
chr22:50023297-50024197,900,[],[],[]
chr22:33223835-33224735,900,[1210],[5381],[5.02912]
chr22:38747719-38748619,900,[],[],[]
chr22:22631532-22632432,900,[],[],[]
chr22:47362466-47363366,900,[],[],[]
chr22:30082874-30083774,900,[],[],[]
chr22:31634335-31635235,900,[],[],[]
chr22:43075456-43076356,900,[],[],[]
chr22:37680590-37681490,900,[-1143],[3766],[11.0307]
chr22:33237262-33238162,900,[-908, 555],[1075, 239],[4.11318, 2.9006]
chr22:29580830-29581730,900,[],[],[]
chr22:39591854-39592754,900,[],[],[]
chr22:22628632-22629532,900,[],[],[]
chr22:33220130-33221030,900,[-698, 587],[1143, 685],[3.90104, 4.822]
chr22:26979613-26980513,900,[],[],[]
chr22:26978216-26979116,900,[],[],[]
chr22:47562153-47563053,900,[],[],[]
chr22:32739736-32740636,900,[],[],[]
chr22:43080655-43081555,900,[],[],[]
chr22:33199026-33199926,900,[-611],[4651],[14.8855]
chr22:19083638-19084538,900,[],[],[]
chr22:45540656-45541556,900,[],[],[]
chr22:45536230-45537130,900,[],[],[]
chr22:25761290-25762190,900,[],[],[]
chr22:46005482-46006382,900,[],[],[]
chr22:24169243-24170143,900,[],[],[]
chr22:28297137-28298037,900,[],[],[]
chr22:38703154-38704054,900,[],[],[]
chr22:43073555-43074455,900,[],[],[]
chr22:28269758-28270658,900,[],[],[]
chr22:29592698-29593598,900,[],[],[]
chr22:33199963-33200863,900,[-1548],[4651],[14.8855]
chr22:31706335-31707235,900,[],[],[]
chr22:27188894-27189794,900,[],[],[]
chr22:38703768-38704668,900,[],[],[]
chr22:36770995-36771895,900,[-5375],[18532],[13.57066]
chr22:30429735-30430635,900,[],[],[]
chr22:38766154-38767054,900,[],[],[]
chr22:50023397-50024297,900,[],[],[]
chr22:24752834-24753734,900,[],[],[]
chr22:50345797-50346697,900,[1789],[5851],[19.57737]
chr22:36614795-36615695,900,[],[],[]
chr22:36614995-36615895,900,[],[],[]
chr22:20085172-20086072,900,[],[],[]
chr22:33229336-33230236,900,[-379],[597],[2.36697]
chr22:44398380-44399280,900,[],[],[]
chr22:33213383-33214283,900,[-89, 962],[504, 1077],[2.75767, 4.52377]
chr22:38702215-38703115,900,[-367],[1406],[8.66698]
chr22:43295355-43296255,900,[],[],[]
chr22:33233236-33234136,900,[206],[384],[3.08189]
chr22:38174456-38175356,900,[],[],[]
chr22:39598484-39599384,900,[],[],[]
chr22:38767483-38768383,900,[],[],[]
chr22:42231902-42232802,900,[-228],[676],[2.64379]
chr22:32692336-32693236,900,[],[],[]
chr22:49995397-49996297,900,[],[],[]
chr22:47123500-47124400,900,[],[],[]
chr22:30708038-30708938,900,[-2245],[4437],[9.06438]
chr22:28259937-28260837,900,[],[],[]
chr22:31706435-31707335,900,[],[],[]
chr22:33235788-33236688,900,[-376, 566],[458, 1075],[2.95465, 4.11318]
chr22:42432356-42433256,900,[],[],[]
chr22:39601300-39602200,900,[],[],[]
chr22:28298692-28299592,900,[],[],[]
chr22:22261683-22262583,900,[],[],[]
chr22:33235403-33236303,900,[9, 951],[458, 1075],[2.95465, 4.11318]
chr22:30663937-30664837,900,[-1707, 516],[2984, 286],[11.22767, 2.16674]
chr22:39600255-39601155,900,[],[],[]
chr22:43548832-43549732,900,[-1090, 852],[2230, 862],[16.76435, 2.84037]
chr22:24500613-24501513,900,[-309],[313],[2.37116]
chr22:36730794-36731694,900,[-4453],[18511],[16.44573]
chr22:31570136-31571036,900,[-198],[371],[2.57638]
chr22:45984589-45985489,900,[],[],[]
chr22:50269790-50270690,900,[],[],[]
chr22:36853796-36854696,900,[-161],[1430],[4.04951]
chr22:45988529-45989429,900,[],[],[]
chr22:38676655-38677555,900,[],[],[]
chr22:32704743-32705643,900,[],[],[]
chr22:31634935-31635835,900,[],[],[]
chr22:42768055-42768955,900,[],[],[]
chr22:30707138-30708038,900,[-1345],[4437],[9.06438]
chr22:43076955-43077855,900,[],[],[]
chr22:18234078-18234978,900,[],[],[]
chr22:42769055-42769955,900,[],[],[]
chr22:41134179-41135079,900,[],[],[]
chr22:31636835-31637735,900,[],[],[]
chr22:45964029-45964929,900,[],[],[]
chr22:27190912-27191812,900,[],[],[]
chr22:33245800-33246700,900,[-607, 2261],[409, 5065],[3.95917, 6.77423]
chr22:29201037-29201937,900,[],[],[]
chr22:39087155-39088055,900,[],[],[]
chr22:24794917-24795817,900,[-324],[286],[2.19348]
chr22:33218382-33219282,900,[],[],[]
chr22:50029486-50030386,900,[],[],[]
chr22:24253036-24253936,900,[],[],[]
chr22:47363845-47364745,900,[],[],[]
chr22:39088205-39089105,900,[],[],[]
chr22:43255855-43256755,900,[],[],[]
chr22:32036135-32037035,900,[],[],[]
chr22:18278001-18278901,900,[],[],[]
chr22:24792829-24793729,900,[21],[261],[2.36221]
chr22:36577740-36578640,900,[],[],[]
chr22:31708435-31709335,900,[],[],[]
chr22:38702647-38703547,900,[-799],[1406],[8.66698]
chr22:31628136-31629036,900,[911],[2028],[4.87595]
chr22:24250130-24251030,900,[],[],[]
chr10:26842078-26842978,900,[],[],[]
chr10:31278678-31279578,900,[-141],[225],[2.52477]
chr10:95170006-95170906,900,[],[],[]
chr10:88836906-88837806,900,[],[],[]
chr10:11244400-11245300,900,[],[],[]
chr10:65133909-65134809,900,[],[],[]
chr10:38682177-38683077,900,[],[],[]
chr10:5912613-5913513,900,[],[],[]
chr10:20540022-20540922,900,[],[],[]
chr10:95195306-95196206,900,[2423],[8409],[25.63784]
chr10:79802032-79802932,900,[],[],[]
chr10:65012810-65013710,900,[],[],[]
chr10:51772068-51772968,900,[],[],[]
chr10:80986891-80987791,900,[192],[267],[2.74212]
chr10:23644378-23645278,900,[],[],[]
chr10:11248912-11249812,900,[],[],[]
chr10:89462151-89463051,900,[],[],[]
chr10:22719978-22720878,900,[],[],[]
chr10:28886032-28886932,900,[],[],[]
chr10:20585039-20585939,900,[],[],[]
chr10:45456652-45457552,900,[-310],[242],[2.71932]
chr10:23734978-23735878,900,[-180],[403],[2.70522]
chr10:6445311-6446211,900,[],[],[]
chr10:112282508-112283408,900,[],[],[]
chr10:60273018-60273918,900,[-352],[717],[4.74972]
chr10:89059451-89060351,900,[],[],[]
chr10:23737578-23738478,900,[],[],[]
chr10:33503842-33504742,900,[],[],[]
chr10:94324770-94325670,900,[],[],[]
chr10:29721864-29722764,900,[],[],[]
chr10:6246712-6247612,900,[-1841],[5333],[24.06648]
chr10:81671272-81672172,900,[],[],[]
chr10:64006637-64007537,900,[],[],[]
chr10:61789607-61790507,900,[],[],[]
chr10:20447168-20448068,900,[],[],[]
chr10:32172856-32173756,900,[],[],[]
chr10:121173461-121174361,900,[-1162],[3530],[6.46973]
chr10:81956605-81957505,900,[3708],[14359],[29.33068]
chr10:45962903-45963803,900,[],[],[]
chr10:74850207-74851107,900,[],[],[]
chr10:105389047-105389947,900,[],[],[]
chr10:27236178-27237078,900,[],[],[]
chr10:93173279-93174179,900,[],[],[]
chr10:89200967-89201867,900,[],[],[]
chr10:115818584-115819484,900,[],[],[]
chr10:93174406-93175306,900,[],[],[]
chr10:125840225-125841125,900,[],[],[]
chr10:89492006-89492906,900,[],[],[]
chr10:105618310-105619210,900,[],[],[]
chr10:103443311-103444211,900,[],[],[]
chr10:103439106-103440006,900,[],[],[]
chr10:29826059-29826959,900,[],[],[]
chr10:29734913-29735813,900,[],[],[]
chr10:97083817-97084717,900,[],[],[]
chr10:122732462-122733362,900,[],[],[]
chr10:99084307-99085207,900,[],[],[]
chr10:357849-358749,900,[],[],[]
