chr1:12665068-12665668,600,[-202],[218],[2.29219]
chr1:12667470-12668070,600,[-383],[278],[3.3554]
chr1:29500812-29501412,600,[],[],[]
chr1:33964273-33964873,600,[],[],[]
chr1:43600263-43600863,600,[61],[352],[2.41434]
chr1:45856472-45857072,600,[],[],[]
chr1:46882867-46883467,600,[],[],[]
chr1:52431673-52432273,600,[],[],[]
chr1:56952252-56952852,600,[],[],[]
chr1:59280714-59281314,600,[],[],[]
chr1:66803983-66804583,600,[],[],[]
chr1:66805283-66805883,600,[],[],[]
chr1:68556316-68556916,600,[],[],[]
chr1:94241955-94242555,600,[],[],[]
chr1:100166656-100167256,600,[54],[217],[2.68939]
chr1:109073271-109073871,600,[],[],[]
chr1:109077487-109078087,600,[],[],[]
chr1:114047868-114048468,600,[],[],[]
chr1:114231590-114232190,600,[],[],[]
chr1:115102648-115103248,600,[],[],[]
chr1:118378470-118379070,600,[],[],[]
chr1:119698532-119699132,600,[],[],[]
chr1:119700064-119700664,600,[148],[280],[2.84619]
chr1:144590960-144591560,600,[],[],[]
chr1:144600493-144601093,600,[],[],[]
chr1:144601415-144602015,600,[],[],[]
chr1:144602765-144603365,600,[],[],[]
chr1:144926262-144926862,600,[],[],[]
chr1:144930833-144931433,600,[],[],[]
chr1:16919165-16919765,600,[],[],[]
chr1:149673604-149674204,600,[],[],[]
chr1:149676400-149677000,600,[],[],[]
chr1:21763769-21764369,600,[],[],[]
chr15:75864182-75864782,600,[],[],[]
chr1:145003395-145003995,600,[],[],[]
chr1:145001158-145001758,600,[],[],[]
chr1:144999897-145000497,600,[],[],[]
chr1:150604554-150605154,600,[],[],[]
chr1:155536915-155537515,600,[],[],[]
chr1:160956826-160957426,600,[],[],[]
chr1:167137690-167138290,600,[],[],[]
chr1:193081792-193082392,600,[],[],[]
chr1:193226378-193226978,600,[],[],[]
chr1:193227001-193227601,600,[],[],[]
chr1:193230449-193231049,600,[],[],[]
chr1:193428971-193429571,600,[],[],[]
chr1:205635228-205635828,600,[],[],[]
chr1:205636728-205637328,600,[],[],[]
chr1:205637128-205637728,600,[],[],[]
chr1:205638088-205638688,600,[],[],[]
chr1:205642091-205642691,600,[],[],[]
chr1:207173145-207173745,600,[],[],[]
chr1:207175145-207175745,600,[],[],[]
chr1:207175662-207176262,600,[],[],[]
chr1:207177879-207178479,600,[],[],[]
chr1:224385971-224386571,600,[],[],[]
chr1:224642702-224643302,600,[],[],[]
chr1:226911701-226912301,600,[],[],[]
chr1:226912201-226912801,600,[],[],[]
chr1:226914801-226915401,600,[23],[373],[2.26409]
chr1:236650156-236650756,600,[],[],[]
chr1:236650972-236651572,600,[],[],[]
chr1:236651934-236652534,600,[],[],[]
chr10:3331824-3332424,600,[],[],[]
chr10:13762128-13762728,600,[],[],[]
chr10:17482799-17483399,600,[],[],[]
chr10:17484399-17484999,600,[],[],[]
chr10:22719829-22720429,600,[],[],[]
chr10:22723229-22723829,600,[],[],[]
chr10:29715893-29716493,600,[],[],[]
chr10:32255692-32256292,600,[],[],[]
chr10:32258329-32258929,600,[],[],[]
chr10:43337138-43337738,600,[],[],[]
chr10:43893948-43894548,600,[147],[458],[1.98245]
chr10:51539877-51540477,600,[],[],[]
chr10:47090180-47090780,600,[],[],[]
chr10:50646646-50647246,600,[],[],[]
chr10:50650968-50651568,600,[348],[217],[2.06432]
chr10:50651940-50652540,600,[],[],[]
chr10:65360758-65361358,600,[-45, 242],[215, 275],[2.24355, 2.76215]
chr10:84921777-84922377,600,[],[],[]
chr10:88963557-88964157,600,[],[],[]
chr10:88968458-88969058,600,[],[],[]
chr10:88970657-88971257,600,[],[],[]
chr10:88972753-88973353,600,[],[],[]
chr10:104271288-104271888,600,[-412, 327],[278, 258],[3.37315, 2.69852]
chr10:118647624-118648224,600,[],[],[]
chr10:121249512-121250112,600,[],[],[]
chr10:121251112-121251712,600,[],[],[]
chr10:121251963-121252563,600,[],[],[]
chr10:123904990-123905590,600,[-952],[2444],[3.96641]
chr10:123909015-123909615,600,[],[],[]
chr10:123911039-123911639,600,[],[],[]
chr10:134220710-134221310,600,[],[],[]
chr10:134385782-134386382,600,[],[],[]
chr10:135222260-135222860,600,[-696, 494],[1006, 1169],[4.31763, 3.90482]
chr11:512089-512689,600,[],[],[]
chr11:11928260-11928860,600,[-274, 418],[175, 563],[1.99642, 3.13762]
chr11:14667246-14667846,600,[],[],[]
chr11:14667846-14668446,600,[],[],[]
chr11:17362349-17362949,600,[],[],[]
chr11:34683553-34684153,600,[-122],[340],[2.22916]
chr11:43884984-43885584,600,[],[],[]
chr11:43887350-43887950,600,[],[],[]
chr11:58800891-58801491,600,[],[],[]
chr11:58801764-58802364,600,[],[],[]
chr11:58844761-58845361,600,[],[],[]
chr11:60595722-60596322,600,[],[],[]
chr11:65433172-65433772,600,[],[],[]
chr11:66424212-66424812,600,[-419, 122],[280, 544],[2.79197, 2.20879]
chr11:68343839-68344439,600,[-840],[2407],[4.21977]
chr11:71451438-71452038,600,[],[],[]
chr11:74528546-74529146,600,[205],[1002],[2.98512]
chr11:74530046-74530646,600,[-58],[603],[2.47442]
chr11:76753944-76754544,600,[],[],[]
chr11:86352287-86352887,600,[],[],[]
chr11:86625642-86626242,600,[],[],[]
chr11:102045531-102046131,600,[-252],[458],[2.68883]
chr11:113245277-113245877,600,[],[],[]
chr11:114036323-114036923,600,[],[],[]
chr11:114039822-114040422,600,[],[],[]
chr11:114042752-114043352,600,[],[],[]
chr11:114158521-114159121,600,[],[],[]
chr12:78873-79473,600,[],[],[]
chr12:13355534-13356134,600,[-364, 507],[626, 859],[3.25957, 2.99878]
chr12:52507208-52507808,600,[],[],[]
chr12:52509284-52509884,600,[],[],[]
chr12:52510364-52510964,600,[],[],[]
chr12:66394138-66394738,600,[],[],[]
chr12:69656930-69657530,600,[-472],[3112],[5.24215]
chr12:120915766-120916366,600,[],[],[]
chr12:133012997-133013597,600,[],[],[]
chr12:133018727-133019327,600,[],[],[]
chr13:24201766-24202366,600,[],[],[]
chr13:24225358-24225958,600,[],[],[]
chr13:24234400-24235000,600,[],[],[]
chr13:24252256-24252856,600,[],[],[]
chr13:24266815-24267415,600,[],[],[]
chr13:24274214-24274814,600,[],[],[]
chr13:24278725-24279325,600,[],[],[]
chr13:24280591-24281191,600,[],[],[]
chr13:24294539-24295139,600,[-383],[224],[3.10015]
chr13:24295040-24295640,600,[],[],[]
chr13:24295679-24296279,600,[],[],[]
chr13:24367617-24368217,600,[],[],[]
chr13:24370640-24371240,600,[],[],[]
chr13:24372152-24372752,600,[342],[430],[2.25691]
chr13:33101937-33102537,600,[],[],[]
chr13:33102737-33103337,600,[523],[563],[3.67512]
chr13:49552536-49553136,600,[],[],[]
chr13:95737080-95737680,600,[],[],[]
chr13:95920454-95921054,600,[],[],[]
chr13:95924855-95925455,600,[],[],[]
chr13:95929554-95930154,600,[],[],[]
chr13:95934954-95935554,600,[],[],[]
chr13:95938323-95938923,600,[],[],[]
chr13:100724971-100725571,600,[],[],[]
chr13:101170540-101171140,600,[],[],[]
chr13:110071454-110072054,600,[],[],[]
chr13:110076355-110076955,600,[],[],[]
chr13:110414047-110414647,600,[],[],[]
chr13:110425947-110426547,600,[],[],[]
chr13:114553312-114553912,600,[338],[603],[3.1033]
chr13:114554696-114555296,600,[],[],[]
chr13:114556573-114557173,600,[],[],[]
chr14:30051122-30051722,600,[],[],[]
chr14:35818506-35819106,600,[],[],[]
chr14:38049658-38050258,600,[],[],[]
chr14:60559218-60559818,600,[],[],[]
chr14:68980680-68981280,600,[],[],[]
chr14:93131672-93132272,600,[],[],[]
chr14:93133345-93133945,600,[],[],[]
chr14:93745198-93745798,600,[],[],[]
chr14:93783246-93783846,600,[-500],[411],[2.50056]
chr14:93786046-93786646,600,[],[],[]
chr14:93787346-93787946,600,[590],[617],[3.05677]
chr14:95224864-95225464,600,[],[],[]
chr14:99883138-99883738,600,[],[],[]
chr14:99884000-99884600,600,[],[],[]
chr14:105336000-105336600,600,[-328, 130],[273, 176],[2.90684, 1.95241]
chr15:30714103-30714703,600,[],[],[]
chr15:30714803-30715403,600,[],[],[]
chr15:32755901-32756501,600,[],[],[]
chr15:32758101-32758701,600,[],[],[]
chr15:32759201-32759801,600,[],[],[]
chr15:40687402-40688002,600,[],[],[]
chr15:41151141-41151741,600,[],[],[]
chr15:45821968-45822568,600,[],[],[]
chr15:69865295-69865895,600,[],[],[]
chr15:69992749-69993349,600,[],[],[]
chr15:69993463-69994063,600,[],[],[]
chr15:72346841-72347441,600,[],[],[]
chr15:72347781-72348381,600,[],[],[]
chr15:82972149-82972749,600,[],[],[]
chr15:82975290-82975890,600,[],[],[]
chr16:2697428-2698028,600,[],[],[]
chr16:2701943-2702543,600,[],[],[]
chr16:15070700-15071300,600,[],[],[]
chr16:15073283-15073883,600,[],[],[]
chr16:20308663-20309263,600,[],[],[]
chr16:21881632-21882232,600,[],[],[]
chr16:28383432-28384032,600,[],[],[]
chr16:30554521-30555121,600,[],[],[]
chr16:30557521-30558121,600,[],[],[]
chr16:30642721-30643321,600,[],[],[]
chr16:30837528-30838128,600,[],[],[]
chr16:67798781-67799381,600,[],[],[]
chr16:75622898-75623498,600,[],[],[]
chr16:83973502-83974102,600,[],[],[]
chr16:84756907-84757507,600,[],[],[]
chr16:89902808-89903408,600,[],[],[]
chr17:1047736-1048336,600,[],[],[]
chr17:3811395-3811995,600,[],[],[]
chr17:5128995-5129595,600,[],[],[]
chr17:5129895-5130495,600,[],[],[]
chr17:8260518-8261118,600,[],[],[]
chr17:8261318-8261918,600,[],[],[]
chr17:14131445-14132045,600,[],[],[]
chr17:21178812-21179412,600,[],[],[]
chr17:21180238-21180838,600,[],[],[]
chr17:27261019-27261619,600,[],[],[]
chr17:27262515-27263115,600,[-118],[178],[2.27491]
chr17:43573490-43574090,600,[],[],[]
chr17:43574866-43575466,600,[],[],[]
chr17:44419466-44420066,600,[],[],[]
chr17:44420166-44420766,600,[],[],[]
chr17:44422566-44423166,600,[],[],[]
chr17:46821199-46821799,600,[],[],[]
chr17:48993661-48994261,600,[],[],[]
chr17:48996361-48996961,600,[],[],[]
chr17:74606256-74606856,600,[],[],[]
chr17:80234018-80234618,600,[],[],[]
chr18:8388004-8388604,600,[],[],[]
chr18:41357970-41358570,600,[],[],[]
chr18:55206268-55206868,600,[],[],[]
chr18:55206960-55207560,600,[],[],[]
chr18:55841232-55841832,600,[],[],[]
chr18:56438702-56439302,600,[],[],[]
chr18:61347234-61347834,600,[],[],[]
chr19:4706512-4707112,600,[427],[610],[2.53903]
chr19:8330784-8331384,600,[],[],[]
chr19:15702733-15703333,600,[],[],[]
chr19:33525306-33525906,600,[],[],[]
chr19:40817498-40818098,600,[],[],[]
chr19:52310453-52311053,600,[],[],[]
chr19:52311508-52312108,600,[],[],[]
chr19:53963403-53964003,600,[],[],[]
chr2:1587701-1588301,600,[],[],[]
chr2:1589619-1590219,600,[],[],[]
chr2:12161138-12161738,600,[-349, 317],[595, 218],[4.58748, 3.21573]
chr2:20405061-20405661,600,[-249],[1312],[4.24264]
chr2:20409671-20410271,600,[-328],[223],[2.61688]
chr2:20411895-20412495,600,[-73],[194],[2.59147]
chr2:28553567-28554167,600,[],[],[]
chr2:33138192-33138792,600,[],[],[]
chr2:39703748-39704348,600,[-293],[203],[2.37835]
chr2:39705741-39706341,600,[],[],[]
chr2:39718941-39719541,600,[],[],[]
chr2:39721444-39722044,600,[],[],[]
chr2:39724641-39725241,600,[],[],[]
chr2:43669539-43670139,600,[],[],[]
chr2:46856393-46856993,600,[],[],[]
chr2:48829812-48830412,600,[],[],[]
chr2:62366062-62366662,600,[],[],[]
chr2:64728958-64729558,600,[],[],[]
chr2:70493615-70494215,600,[],[],[]
chr2:71307730-71308330,600,[],[],[]
chr2:71609108-71609708,600,[-1318, 112],[2089, 413],[6.1233, 3.23542]
chr2:82095977-82096577,600,[],[],[]
chr2:86722832-86723432,600,[-31],[812],[3.46242]
chr2:88487236-88487836,600,[],[],[]
chr2:100435062-100435662,600,[],[],[]
chr2:101852668-101853268,600,[],[],[]
chr2:132266019-132266619,600,[],[],[]
chr2:132423573-132424173,600,[],[],[]
chr2:162881159-162881759,600,[],[],[]
