chr1:2221889-2222989,1100,[-250],[1612],[11.55148]
chr1:2224044-2225144,1100,[],[],[]
chr1:20081895-20082995,1100,[],[],[]
chr1:29500262-29501362,1100,[],[],[]
chr1:31887933-31889033,1100,[-1086, -43, 644],[1414, 381, 839],[3.68873, 4.45721, 6.45528]
chr1:33963723-33964823,1100,[],[],[]
chr1:39635622-39636722,1100,[-83],[238],[2.61769]
chr1:40114357-40115457,1100,[],[],[]
chr1:40115722-40116822,1100,[],[],[]
chr1:43599713-43600813,1100,[],[],[]
chr1:44374722-44375822,1100,[],[],[]
chr1:56951702-56952802,1100,[662],[326],[2.43398]
chr1:59280164-59281264,1100,[210],[8368],[42.35347]
chr1:66803433-66804533,1100,[],[],[]
chr1:66804733-66805833,1100,[],[],[]
chr1:78605134-78606234,1100,[],[],[]
chr1:94241405-94242505,1100,[-142],[13491],[27.02822]
chr1:100166106-100167206,1100,[],[],[]
chr1:100535424-100536524,1100,[],[],[]
chr1:114047318-114048418,1100,[],[],[]
chr1:114231040-114232140,1100,[],[],[]
chr1:118377920-118379020,1100,[],[],[]
chr1:119697982-119699082,1100,[],[],[]
chr1:119699514-119700614,1100,[],[],[]
chr1:144599943-144601043,1100,[],[],[]
chr1:144600865-144601965,1100,[],[],[]
chr1:144602215-144603315,1100,[],[],[]
chr1:144832328-144833428,1100,[],[],[]
chr1:144925712-144926812,1100,[535],[274],[1.8338]
chr1:144930283-144931383,1100,[-625],[263],[1.97693]
chr1:16918615-16919715,1100,[],[],[]
chr1:149673054-149674154,1100,[],[],[]
chr1:149660844-149661944,1100,[],[],[]
chr1:21763219-21764319,1100,[],[],[]
chr15:75863632-75864732,1100,[],[],[]
chr1:147914349-147915449,1100,[],[],[]
chr1:145002845-145003945,1100,[],[],[]
chr1:145000608-145001708,1100,[],[],[]
chr1:144999347-145000447,1100,[],[],[]
chr1:144974747-144975847,1100,[],[],[]
chr1:144974863-144975963,1100,[],[],[]
chr1:144979866-144980966,1100,[],[],[]
chr1:150564926-150566026,1100,[-572],[1404],[7.83855]
chr1:150604004-150605104,1100,[],[],[]
chr1:150636570-150637670,1100,[],[],[]
chr1:151827048-151828148,1100,[],[],[]
chr1:155432641-155433741,1100,[],[],[]
chr1:155438701-155439801,1100,[],[],[]
chr1:155536365-155537465,1100,[],[],[]
chr1:160956276-160957376,1100,[],[],[]
chr1:169081788-169082888,1100,[-2505],[7848],[14.15372]
chr1:169083211-169084311,1100,[-3928],[7848],[14.15372]
chr1:169085188-169086288,1100,[166],[233],[2.37818]
chr1:174807247-174808347,1100,[],[],[]
chr1:193225828-193226928,1100,[],[],[]
chr1:193226451-193227551,1100,[],[],[]
chr1:193229899-193230999,1100,[],[],[]
chr1:205711378-205712478,1100,[571],[282],[2.15585]
chr1:207516227-207517327,1100,[],[],[]
chr1:207948746-207949846,1100,[],[],[]
chr1:221979001-221980101,1100,[],[],[]
chr1:221980156-221981256,1100,[],[],[]
chr1:221986579-221987679,1100,[327],[732],[2.86261]
chr1:222927392-222928492,1100,[],[],[]
chr1:224642152-224643252,1100,[-300],[3023],[17.93985]
chr1:226911151-226912251,1100,[],[],[]
chr1:226911651-226912751,1100,[],[],[]
chr1:226914251-226915351,1100,[],[],[]
chr1:233836250-233837350,1100,[],[],[]
chr1:235182997-235184097,1100,[447],[1046],[3.19888]
chr1:235184172-235185272,1100,[-728],[1046],[3.19888]
chr1:243653352-243654452,1100,[],[],[]
chr1:246433819-246434919,1100,[],[],[]
chr10:952101-953201,1100,[],[],[]
chr10:4995576-4996676,1100,[],[],[]
chr10:5077299-5078399,1100,[],[],[]
chr10:5103277-5104377,1100,[],[],[]
chr10:5109961-5111061,1100,[],[],[]
chr10:5522543-5523643,1100,[],[],[]
chr10:5526789-5527889,1100,[],[],[]
chr10:11234887-11235987,1100,[],[],[]
chr10:11235744-11236844,1100,[],[],[]
chr10:17259026-17260126,1100,[-1114],[1889],[13.7429]
chr10:22719279-22720379,1100,[-2457],[4046],[24.35719]
chr10:22722679-22723779,1100,[111],[1919],[22.90132]
chr10:24535194-24536294,1100,[],[],[]
chr10:29715343-29716443,1100,[],[],[]
chr10:32172157-32173257,1100,[],[],[]
chr10:33545693-33546793,1100,[],[],[]
chr10:33603999-33605099,1100,[],[],[]
chr10:33606786-33607886,1100,[],[],[]
chr10:43893398-43894498,1100,[-156],[4993],[12.95387]
chr10:45925849-45926949,1100,[],[],[]
chr10:50646096-50647196,1100,[],[],[]
chr10:50650418-50651518,1100,[],[],[]
chr10:50651390-50652490,1100,[],[],[]
chr10:65360208-65361308,1100,[],[],[]
chr10:81548210-81549310,1100,[],[],[]
chr10:81670573-81671673,1100,[],[],[]
chr10:88963007-88964107,1100,[],[],[]
chr10:88967908-88969008,1100,[],[],[]
chr10:88970107-88971207,1100,[],[],[]
chr10:88972203-88973303,1100,[],[],[]
chr10:89070443-89071543,1100,[],[],[]
chr10:89516208-89517308,1100,[],[],[]
chr10:96999116-97000216,1100,[],[],[]
chr10:104900175-104901275,1100,[-525],[307],[2.92057]
chr10:105626841-105627941,1100,[],[],[]
chr10:105628188-105629288,1100,[],[],[]
chr10:105641768-105642868,1100,[],[],[]
chr10:114829009-114830109,1100,[-501, 258],[927, 273],[6.60897, 4.14982]
chr10:118647074-118648174,1100,[715],[2378],[6.36136]
chr10:134220160-134221260,1100,[642],[2920],[23.14606]
chr10:135221710-135222810,1100,[],[],[]
chr11:511539-512639,1100,[],[],[]
chr11:2226296-2227396,1100,[],[],[]
chr11:11927710-11928810,1100,[],[],[]
chr11:13012967-13014067,1100,[],[],[]
chr11:17361799-17362899,1100,[],[],[]
chr11:34683003-34684103,1100,[754],[2870],[3.79867]
chr11:43884434-43885534,1100,[],[],[]
chr11:43886800-43887900,1100,[],[],[]
chr11:57534422-57535522,1100,[7],[343],[2.0256]
chr11:57536222-57537322,1100,[581],[764],[3.4988]
chr11:60930122-60931222,1100,[-1851],[3066],[12.26362]
chr11:60931195-60932295,1100,[978],[947],[3.551]
chr11:60932412-60933512,1100,[-239],[947],[3.551]
chr11:65432622-65433722,1100,[],[],[]
chr11:66423662-66424762,1100,[],[],[]
chr11:68137113-68138213,1100,[],[],[]
chr11:68144618-68145718,1100,[],[],[]
chr11:68343289-68344389,1100,[],[],[]
chr11:71450888-71451988,1100,[],[],[]
chr11:74527996-74529096,1100,[],[],[]
chr11:74529496-74530596,1100,[],[],[]
chr11:76753394-76754494,1100,[],[],[]
chr11:85193432-85194532,1100,[],[],[]
chr11:85672629-85673729,1100,[],[],[]
chr11:85753518-85754618,1100,[-362, 497],[375, 937],[3.33913, 4.40941]
chr11:86351737-86352837,1100,[],[],[]
chr11:86625092-86626192,1100,[1506],[3152],[11.08745]
chr11:87836238-87837338,1100,[],[],[]
chr11:96002114-96003214,1100,[],[],[]
chr11:96005300-96006400,1100,[778],[3478],[25.60346]
chr11:101313218-101314318,1100,[],[],[]
chr11:102044981-102046081,1100,[],[],[]
chr11:102083832-102084932,1100,[467],[367],[2.75315]
chr11:114175361-114176461,1100,[],[],[]
