chr22:24587217-24588117,900,[-528],[1008],[2.37116]
chr22:33217035-33217935,900,[],[],[]
chr22:50024197-50025097,900,[],[],[]
chr22:33224735-33225635,900,[310],[5381],[5.02912]
chr22:38748619-38749519,900,[534],[522],[2.39235]
chr22:22632432-22633332,900,[],[],[]
chr22:47363366-47364266,900,[],[],[]
chr22:30083774-30084674,900,[],[],[]
chr22:31635235-31636135,900,[],[],[]
chr22:43076356-43077256,900,[],[],[]
chr22:37681490-37682390,900,[-2043],[3766],[11.0307]
chr22:33238162-33239062,900,[-345],[239],[2.9006]
chr22:29581730-29582630,900,[],[],[]
chr22:39592754-39593654,900,[],[],[]
chr22:22629532-22630432,900,[],[],[]
chr22:33221030-33221930,900,[-313],[685],[4.822]
chr22:26980513-26981413,900,[137],[466],[3.20357]
chr22:26979116-26980016,900,[],[],[]
chr22:47563053-47563953,900,[],[],[]
chr22:32740636-32741536,900,[],[],[]
chr22:43081555-43082455,900,[509],[843],[3.85313]
chr22:33199926-33200826,900,[-1511],[4651],[14.8855]
chr22:19084538-19085438,900,[353],[307],[2.8312]
chr22:45541556-45542456,900,[],[],[]
chr22:45537130-45538030,900,[],[],[]
chr22:25762190-25763090,900,[],[],[]
chr22:46006382-46007282,900,[],[],[]
chr22:24170143-24171043,900,[],[],[]
chr22:28298037-28298937,900,[],[],[]
chr22:38704054-38704954,900,[1521],[2487],[5.07782]
chr22:43074455-43075355,900,[],[],[]
chr22:28270658-28271558,900,[],[],[]
chr22:29593598-29594498,900,[],[],[]
chr22:33200863-33201763,900,[-2448, 240],[4651, 495],[14.8855, 2.71932]
chr22:31707235-31708135,900,[],[],[]
chr22:27189794-27190694,900,[],[],[]
chr22:38704668-38705568,900,[907],[2487],[5.07782]
chr22:36771895-36772795,900,[-6275],[18532],[13.57066]
chr22:30430635-30431535,900,[],[],[]
chr22:38767054-38767954,900,[],[],[]
chr22:50024297-50025197,900,[],[],[]
chr22:24753734-24754634,900,[556],[383],[3.03255]
chr22:50346697-50347597,900,[889],[5851],[19.57737]
chr22:36615695-36616595,900,[569],[554],[2.68257]
chr22:36615895-36616795,900,[369],[554],[2.68257]
chr22:20086072-20086972,900,[],[],[]
chr22:33230236-33231136,900,[105],[267],[2.74212]
chr22:44399280-44400180,900,[],[],[]
chr22:33214283-33215183,900,[62],[1077],[4.52377]
chr22:38703115-38704015,900,[],[],[]
chr22:43296255-43297155,900,[],[],[]
chr22:33234136-33235036,900,[317],[886],[3.04806]
chr22:38175356-38176256,900,[],[],[]
chr22:39599384-39600284,900,[-146],[235],[2.5607]
chr22:38768383-38769283,900,[],[],[]
chr22:42232802-42233702,900,[],[],[]
chr22:32693236-32694136,900,[],[],[]
chr22:49996297-49997197,900,[],[],[]
chr22:47124400-47125300,900,[],[],[]
chr22:30708938-30709838,900,[-221],[225],[2.76511]
chr22:28260837-28261737,900,[],[],[]
chr22:31707335-31708235,900,[],[],[]
chr22:33236688-33237588,900,[-334],[1075],[4.11318]
chr22:42433256-42434156,900,[],[],[]
chr22:39602200-39603100,900,[],[],[]
chr22:28299592-28300492,900,[],[],[]
chr22:22262583-22263483,900,[],[],[]
chr22:33236303-33237203,900,[51],[1075],[4.11318]
chr22:30664837-30665737,900,[-384],[286],[2.16674]
chr22:39601155-39602055,900,[],[],[]
chr22:43549732-43550632,900,[-48],[862],[2.84037]
chr22:24501513-24502413,900,[],[],[]
chr22:36731694-36732594,900,[-5353],[18511],[16.44573]
chr22:31571036-31571936,900,[],[],[]
chr22:45985489-45986389,900,[],[],[]
chr22:50270690-50271590,900,[],[],[]
chr22:36854696-36855596,900,[-1061],[1430],[4.04951]
chr22:45989429-45990329,900,[],[],[]
chr22:38677555-38678455,900,[],[],[]
chr22:32705643-32706543,900,[],[],[]
chr22:31635835-31636735,900,[],[],[]
chr22:42768955-42769855,900,[],[],[]
chr22:30708038-30708938,900,[-2245],[4437],[9.06438]
chr22:43077855-43078755,900,[],[],[]
chr22:18234978-18235878,900,[],[],[]
chr22:42769955-42770855,900,[527],[429],[4.11318]
chr22:41135079-41135979,900,[],[],[]
chr22:31637735-31638635,900,[],[],[]
chr22:45964929-45965829,900,[],[],[]
chr22:27191812-27192712,900,[],[],[]
chr22:33246700-33247600,900,[1361],[5065],[6.77423]
chr22:29201937-29202837,900,[616],[346],[2.99817]
chr22:39088055-39088955,900,[],[],[]
chr22:24795817-24796717,900,[1779],[3883],[6.52069]
chr22:33219282-33220182,900,[150],[1143],[3.90104]
chr22:50030386-50031286,900,[],[],[]
chr22:24253936-24254836,900,[],[],[]
chr22:47364745-47365645,900,[],[],[]
chr22:39089105-39090005,900,[82],[231],[2.8684]
