chr22:24586717-24587817,1100,[-1590, -16, 424],[2674, 317, 384],[7.00229, 2.78255, 3.91304]
chr22:33216535-33217635,1100,[-333],[404],[2.8552]
chr22:50023697-50024797,1100,[-461],[777],[3.2247]
chr22:33224235-33225335,1100,[627],[5492],[8.4876]
chr22:38748119-38749219,1100,[],[],[]
chr22:22631932-22633032,1100,[],[],[]
chr22:47362866-47363966,1100,[],[],[]
chr22:30083274-30084374,1100,[],[],[]
chr22:31634735-31635835,1100,[],[],[]
chr22:43075856-43076956,1100,[],[],[]
chr22:37680990-37682090,1100,[-1514],[4572],[21.09379]
chr22:33237662-33238762,1100,[],[],[]
chr22:29581230-29582330,1100,[],[],[]
chr22:39592254-39593354,1100,[],[],[]
chr22:22629032-22630132,1100,[],[],[]
chr22:33220530-33221630,1100,[-115],[1355],[4.75867]
chr22:26980013-26981113,1100,[3251],[6806],[53.47186]
chr22:26978616-26979716,1100,[],[],[]
chr22:47562553-47563653,1100,[],[],[]
chr22:32740136-32741236,1100,[],[],[]
chr22:43081055-43082155,1100,[1064],[8584],[20.61274]
chr22:33199426-33200526,1100,[-1383],[6022],[22.27057]
chr22:19084038-19085138,1100,[1429],[2719],[8.63605]
chr22:45541056-45542156,1100,[],[],[]
chr22:45536630-45537730,1100,[],[],[]
chr22:25761690-25762790,1100,[-176],[467],[4.27919]
chr22:46005882-46006982,1100,[],[],[]
chr22:24169643-24170743,1100,[],[],[]
chr22:28297537-28298637,1100,[],[],[]
chr22:38703554-38704654,1100,[-252, 5921],[579, 11461],[2.76408, 43.39906]
chr22:43073955-43075055,1100,[],[],[]
chr22:28270158-28271258,1100,[],[],[]
chr22:29593098-29594198,1100,[],[],[]
chr22:33200363-33201463,1100,[-2320],[6022],[22.27057]
chr22:31706735-31707835,1100,[],[],[]
chr22:27189294-27190394,1100,[],[],[]
chr22:38704168-38705268,1100,[5307],[11461],[43.39906]
chr22:36771395-36772495,1100,[-7185],[41006],[38.59218]
chr22:30430135-30431235,1100,[],[],[]
chr22:38766554-38767654,1100,[],[],[]
chr22:50023797-50024897,1100,[-561],[777],[3.2247]
chr22:24753234-24754334,1100,[-100, 2265],[344, 3687],[3.83993, 5.81155]
chr22:50346197-50347297,1100,[-814],[11492],[23.89015]
chr22:36615195-36616295,1100,[],[],[]
chr22:36615395-36616495,1100,[],[],[]
chr22:20085572-20086672,1100,[],[],[]
chr22:33229736-33230836,1100,[-1013, 406],[1166, 271],[4.53218, 2.00962]
chr22:44398780-44399880,1100,[],[],[]
chr22:33213783-33214883,1100,[347],[1714],[3.37682]
chr22:38702615-38703715,1100,[-1173, 152, 687],[1273, 257, 579],[6.6539, 1.79786, 2.76408]
chr22:43295755-43296855,1100,[],[],[]
chr22:33233636-33234736,1100,[-16],[903],[3.49022]
chr22:38174856-38175956,1100,[],[],[]
chr22:39598884-39599984,1100,[],[],[]
chr22:38767883-38768983,1100,[],[],[]
chr22:42232302-42233402,1100,[-850],[1103],[4.73534]
chr22:32692736-32693836,1100,[],[],[]
chr22:49995797-49996897,1100,[],[],[]
chr22:47123900-47125000,1100,[],[],[]
chr22:30708438-30709538,1100,[-9440],[19780],[23.47707]
chr22:28260337-28261437,1100,[2375],[3919],[7.00225]
chr22:31706835-31707935,1100,[],[],[]
chr22:33236188-33237288,1100,[-767, 411],[1937, 235],[5.38107, 2.38858]
chr22:42432756-42433856,1100,[],[],[]
chr22:39601700-39602800,1100,[-582],[266],[2.79816]
chr22:28299092-28300192,1100,[],[],[]
chr22:22262083-22263183,1100,[],[],[]
chr22:33235803-33236903,1100,[-382],[1937],[5.38107]
chr22:30664337-30665437,1100,[-2119],[4725],[20.93814]
chr22:39600655-39601755,1100,[463],[266],[2.79816]
chr22:43549232-43550332,1100,[-1857, 1256],[2761, 2724],[42.22579, 11.39894]
chr22:24501013-24502113,1100,[2],[468],[3.42624]
chr22:36731194-36732294,1100,[-2942],[30493],[26.53521]
chr22:31570536-31571636,1100,[],[],[]
chr22:45984989-45986089,1100,[],[],[]
chr22:50270190-50271290,1100,[],[],[]
chr22:36854196-36855296,1100,[-5236],[13240],[28.40376]
chr22:45988929-45990029,1100,[],[],[]
chr22:38677055-38678155,1100,[2186],[3792],[6.64721]
chr22:32705143-32706243,1100,[],[],[]
chr22:31635335-31636435,1100,[],[],[]
chr22:42768455-42769555,1100,[],[],[]
chr22:30707538-30708638,1100,[-8540],[19780],[23.47707]
chr22:43077355-43078455,1100,[4764],[8584],[20.61274]
chr22:18234478-18235578,1100,[],[],[]
chr22:42769455-42770555,1100,[1637],[2861],[11.47755]
chr22:41134579-41135679,1100,[],[],[]
chr22:31637235-31638335,1100,[-229],[285],[2.62589]
chr22:45964429-45965529,1100,[],[],[]
chr22:27191312-27192412,1100,[],[],[]
chr22:33246200-33247300,1100,[1797],[6524],[12.22613]
chr22:29201437-29202537,1100,[242],[292],[3.04506]
