chr2:102726278-102727278,1000,[-618, -96, 552],[542, 246, 537],[2.80614, 2.80548, 3.8152]
chr2:103104802-103105802,1000,[-858],[769],[3.07231]
chr2:128649863-128650863,1000,[],[],[]
chr2:158251563-158252563,1000,[-255],[738],[3.25772]
chr2:160096408-160097408,1000,[],[],[]
chr2:160098660-160099660,1000,[],[],[]
chr2:172619817-172620817,1000,[],[],[]
chr2:173314921-173315921,1000,[],[],[]
chr2:187389667-187390667,1000,[],[],[]
chr2:191812825-191813825,1000,[-616],[2937],[6.35867]
chr2:201288390-201289390,1000,[],[],[]
chr2:20407798-20408798,1000,[-1063],[4429],[5.17223]
chr2:20752968-20753968,1000,[],[],[]
chr2:207979868-207980868,1000,[197],[601],[2.90616]
chr2:237481548-237482548,1000,[331],[2535],[3.98403]
chr2:23900637-23901637,1000,[],[],[]
chr2:238015473-238016473,1000,[],[],[]
chr2:238692954-238693954,1000,[],[],[]
chr2:238699160-238700160,1000,[],[],[]
chr2:238808535-238809535,1000,[],[],[]
chr2:238809514-238810514,1000,[],[],[]
chr2:240752211-240753211,1000,[-180],[1763],[5.17948]
chr2:24322924-24323924,1000,[],[],[]
chr2:242701150-242702150,1000,[],[],[]
chr2:242702057-242703057,1000,[],[],[]
chr2:242702341-242703341,1000,[],[],[]
chr2:28652445-28653445,1000,[],[],[]
chr2:39339505-39340505,1000,[1232],[3396],[3.80382]
chr2:40765700-40766700,1000,[],[],[]
chr2:42565834-42566834,1000,[],[],[]
chr2:44576244-44577244,1000,[-1516],[2090],[4.35169]
chr2:46824139-46825139,1000,[],[],[]
chr2:46856086-46857086,1000,[],[],[]
chr2:54328832-54329832,1000,[],[],[]
chr2:62384812-62385812,1000,[],[],[]
chr2:65327212-65328212,1000,[-497, 574],[332, 361],[2.74775, 3.79565]
chr2:66803959-66804959,1000,[-970],[4089],[6.2804]
chr2:69886981-69887981,1000,[],[],[]
chr2:72393715-72394715,1000,[],[],[]
chr2:74929192-74930192,1000,[],[],[]
chr2:74938008-74939008,1000,[],[],[]
chr2:91754122-91755122,1000,[],[],[]
chr2:95702753-95703753,1000,[],[],[]
chr2:91760908-91761908,1000,[],[],[]
chr2:91760973-91761973,1000,[],[],[]
chr2:3508296-3509296,1000,[926],[1474],[3.83199]
chr2:11325925-11326925,1000,[],[],[]
chr2:11326725-11327725,1000,[],[],[]
chr2:13661937-13662937,1000,[-548],[895],[2.97051]
chr2:14812235-14813235,1000,[],[],[]
chr2:15311579-15312579,1000,[],[],[]
chr2:20406860-20407860,1000,[-125],[4429],[5.17223]
chr2:20411470-20412470,1000,[-619, 938],[634, 2236],[4.1257, 4.24272]
chr2:20413694-20414694,1000,[-1286, 226],[2236, 284],[4.24272, 2.40526]
chr2:20416070-20417070,1000,[],[],[]
chr2:20471565-20472565,1000,[],[],[]
chr2:20800372-20801372,1000,[-6],[715],[2.43937]
chr2:20809759-20810759,1000,[-809, 1358],[1641, 2370],[5.22923, 7.49795]
chr2:20811559-20812559,1000,[-442],[2370],[7.49795]
chr2:23934069-23935069,1000,[380],[298],[2.48711]
chr2:26283078-26284078,1000,[-1763, 183],[2736, 401],[5.77598, 3.11277]
chr2:26286489-26287489,1000,[-234, 319],[253, 328],[2.42357, 3.02037]
chr2:26290168-26291168,1000,[977],[3264],[3.53062]
chr2:28541067-28542067,1000,[695],[1250],[3.59509]
chr2:28542966-28543966,1000,[516],[254],[2.63003]
chr2:28544676-28545676,1000,[-288],[1363],[4.88351]
chr2:28555366-28556366,1000,[819],[757],[1.93615]
chr2:29173944-29174944,1000,[-80],[752],[2.97086]
chr2:30822939-30823939,1000,[],[],[]
chr2:31003542-31004542,1000,[],[],[]
chr2:32061068-32062068,1000,[],[],[]
chr2:33139991-33140991,1000,[],[],[]
chr2:36766847-36767847,1000,[],[],[]
chr2:38413641-38414641,1000,[1059],[1928],[2.67936]
chr2:39705547-39706547,1000,[550],[258],[2.44083]
chr2:39707540-39708540,1000,[],[],[]
chr2:39710140-39711140,1000,[904],[1757],[4.39272]
chr2:39710740-39711740,1000,[304],[1757],[4.39272]
chr2:39711940-39712940,1000,[-896],[1757],[4.39272]
chr2:39713940-39714940,1000,[304],[355],[2.97051]
chr2:39718040-39719040,1000,[],[],[]
chr2:39720740-39721740,1000,[-1184, 913],[1563, 1635],[4.78582, 2.96966]
chr2:39723243-39724243,1000,[],[],[]
chr2:39726440-39727440,1000,[391],[2752],[4.97422]
chr2:42567079-42568079,1000,[],[],[]
chr2:42568239-42569239,1000,[797],[2741],[6.01315]
chr2:43293737-43294737,1000,[],[],[]
chr2:44577039-44578039,1000,[1239],[2104],[5.88073]
chr2:46527738-46528738,1000,[-1216],[4384],[5.75598]
chr2:46577738-46578738,1000,[109],[1106],[2.5824]
chr2:46858192-46859192,1000,[],[],[]
chr2:46860777-46861777,1000,[],[],[]
chr2:46868626-46869626,1000,[],[],[]
chr2:46869355-46870355,1000,[],[],[]
chr2:46869792-46870792,1000,[],[],[]
chr2:46879342-46880342,1000,[],[],[]
chr2:46881837-46882837,1000,[-33],[353],[2.64045]
chr2:46882739-46883739,1000,[704],[1524],[4.80902]
chr2:48813487-48814487,1000,[-883, 598],[1855, 286],[3.75027, 2.94746]
chr2:48831611-48832611,1000,[],[],[]
chr2:54328038-54329038,1000,[],[],[]
chr2:54329537-54330537,1000,[],[],[]
chr2:54332836-54333836,1000,[609],[260],[2.54347]
chr2:56183013-56184013,1000,[],[],[]
chr2:56184257-56185257,1000,[],[],[]
chr2:62367861-62368861,1000,[],[],[]
chr2:62377817-62378817,1000,[-147],[992],[3.23265]
chr2:63778893-63779893,1000,[],[],[]
chr2:66781531-66782531,1000,[-1510, 1130],[2510, 2415],[3.19726, 4.32786]
chr2:66804731-66805731,1000,[-1742, 716],[4089, 644],[6.2804, 3.59899]
chr2:69162247-69163247,1000,[],[],[]
chr2:69162836-69163836,1000,[579],[432],[3.07231]
chr2:69163510-69164510,1000,[-95],[432],[3.07231]
chr2:69980532-69981532,1000,[541],[4923],[4.21397]
chr2:69988632-69989632,1000,[325],[1053],[3.41285]
chr2:69990331-69991331,1000,[-331, 487],[458, 665],[4.11674, 2.67251]
chr2:69996832-69997832,1000,[-738],[3148],[5.77598]
chr2:70152904-70153904,1000,[],[],[]
chr2:70495414-70496414,1000,[-388, -2],[312, 306],[2.31039, 2.14537]
chr2:71309529-71310529,1000,[85],[528],[2.64045]
chr2:71610907-71611907,1000,[179],[1524],[3.63062]
chr2:73972436-73973436,1000,[],[],[]
chr2:73981024-73982024,1000,[],[],[]
chr2:74916405-74917405,1000,[],[],[]
chr2:74934683-74935683,1000,[],[],[]
chr2:75502641-75503641,1000,[],[],[]
chr2:85609039-85610039,1000,[],[],[]
chr2:85994296-85995296,1000,[-491, 3867],[552, 7782],[3.39428, 9.37904]
chr2:86018323-86019323,1000,[-597, 3215],[680, 6063],[3.19726, 5.16481]
chr2:86724631-86725631,1000,[],[],[]
chr2:86782370-86783370,1000,[],[],[]
chr2:88061139-88062139,1000,[],[],[]
chr2:88061818-88062818,1000,[],[],[]
chr2:88063370-88064370,1000,[],[],[]
chr2:88397985-88398985,1000,[],[],[]
chr2:88489035-88490035,1000,[],[],[]
chr2:88489687-88490687,1000,[],[],[]
chr2:88978617-88979617,1000,[],[],[]
chr2:89164311-89165311,1000,[],[],[]
chr2:91756539-91757539,1000,[],[],[]
chr2:95677447-95678447,1000,[],[],[]
chr2:95932302-95933302,1000,[],[],[]
chr2:97205866-97206866,1000,[-1313],[3660],[5.44593]
chr2:100096961-100097961,1000,[-463],[1756],[5.11927]
chr2:100100461-100101461,1000,[91],[2934],[3.81212]
chr2:101915761-101916761,1000,[1242],[5364],[4.56794]
chr2:102725543-102726543,1000,[117],[542],[2.80614]
chr2:102728440-102729440,1000,[-628],[1103],[4.07497]
chr2:102729959-102730959,1000,[1105],[3724],[3.93509]
chr2:102732059-102733059,1000,[-995],[3724],[3.93509]
chr2:102733059-102734059,1000,[-1995, 1698],[3724, 3468],[3.93509, 5.65713]
chr2:102763078-102764078,1000,[638],[371],[3.13553]
chr2:106501255-106502255,1000,[-69],[5901],[6.8257]
chr2:106502404-106503404,1000,[-1218],[5901],[6.8257]
chr2:106504174-106505174,1000,[-2988, 417],[5901, 269],[6.8257, 2.5056]
chr2:110314576-110315576,1000,[712],[649],[3.5231]
chr2:111110713-111111713,1000,[],[],[]
chr2:112805953-112806953,1000,[-257],[1139],[5.17948]
chr2:113121317-113122317,1000,[],[],[]
