chr22:24591467-24592267,800,[5],[665],[3.6368]
chr22:33221285-33222085,800,[-558, 2534],[735, 4787],[3.6332, 5.04311]
chr22:50028447-50029247,800,[],[],[]
chr22:33228985-33229785,800,[292],[660],[2.64124]
chr22:38752869-38753669,800,[],[],[]
chr22:22636682-22637482,800,[],[],[]
chr22:47367616-47368416,800,[-163],[983],[3.34693]
chr22:30088024-30088824,800,[],[],[]
chr22:31639485-31640285,800,[],[],[]
chr22:43080606-43081406,800,[-515, 1793],[501, 3492],[3.88612, 7.12411]
chr22:37685740-37686540,800,[],[],[]
chr22:33242412-33243212,800,[182],[2896],[3.89936]
chr22:29585980-29586780,800,[],[],[]
chr22:39597004-39597804,800,[],[],[]
chr22:22633782-22634582,800,[],[],[]
chr22:33225280-33226080,800,[-1461],[4787],[5.04311]
chr22:26984763-26985563,800,[-443, -56],[258, 332],[2.79999, 3.37684]
chr22:26983366-26984166,800,[102],[261],[2.75562]
chr22:47567303-47568103,800,[],[],[]
chr22:32744886-32745686,800,[],[],[]
chr22:43085805-43086605,800,[],[],[]
chr22:33204176-33204976,800,[533],[3149],[4.14321]
chr22:19088788-19089588,800,[-575],[510],[2.91213]
chr22:45545806-45546606,800,[],[],[]
chr22:45541380-45542180,800,[],[],[]
chr22:25766440-25767240,800,[],[],[]
chr22:46010632-46011432,800,[],[],[]
chr22:24174393-24175193,800,[],[],[]
chr22:28302287-28303087,800,[],[],[]
chr22:38708304-38709104,800,[-298, 1638],[693, 2775],[3.6368, 5.10998]
chr22:43078705-43079505,800,[471],[911],[2.98437]
chr22:28274908-28275708,800,[],[],[]
chr22:29597848-29598648,800,[323],[1159],[4.42042]
chr22:33205113-33205913,800,[-404],[3149],[4.14321]
chr22:31711485-31712285,800,[],[],[]
chr22:27194044-27194844,800,[],[],[]
chr22:38708918-38709718,800,[1024],[2775],[5.10998]
chr22:36776145-36776945,800,[51],[2233],[6.39053]
chr22:30434885-30435685,800,[],[],[]
chr22:38771304-38772104,800,[],[],[]
chr22:50028547-50029347,800,[],[],[]
chr22:24757984-24758784,800,[-139],[259],[2.47366]
