chr12:6525509-6525909,400,[188],[238],[5.28284]
chr19:47805117-47805517,400,[],[],[]
chr15:80538438-80538838,400,[],[],[]
chr10:135321755-135322155,400,[],[],[]
chr5:33435506-33435906,400,[],[],[]
chr7:158730390-158730790,400,[],[],[]
chr17:79699055-79699455,400,[],[],[]
chr1:144978107-144978507,400,[],[],[]
chr11:14563645-14564045,400,[],[],[]
chr2:165734801-165735201,400,[],[],[]
chr13:34223452-34223852,400,[],[],[]
chr1:32785136-32785536,400,[],[],[]
chr2:151206616-151207016,400,[],[],[]
chr4:77837052-77837452,400,[],[],[]
chr5:142807464-142807864,400,[-277],[257],[4.38241]
chr2:216814315-216814715,400,[],[],[]
chr5:176744495-176744895,400,[],[],[]
chr7:105574656-105575056,400,[],[],[]
chr6:143518224-143518624,400,[],[],[]
chr13:20982938-20983338,400,[],[],[]
chr10:30237191-30237591,400,[],[],[]
chr22:43773305-43773705,400,[],[],[]
chr8:144110216-144110616,400,[],[],[]
chr6:35382646-35383046,400,[],[],[]
chr12:47064481-47064881,400,[],[],[]
chr2:241433947-241434347,400,[-75],[305],[2.84461]
chr9:123703068-123703468,400,[],[],[]
chr9:33129504-33129904,400,[509],[1364],[5.0138]
chr9:136237901-136238301,400,[],[],[]
chr14:70485016-70485416,400,[-111],[215],[4.7222]
chr6:149819735-149820135,400,[],[],[]
chrX:105256290-105256690,400,[],[],[]
chr9:94177149-94177549,400,[-215],[169],[4.06372]
chr12:105297450-105297850,400,[],[],[]
chr20:2627115-2627515,400,[],[],[]
chr3:194226258-194226658,400,[],[],[]
chr4:175131050-175131450,400,[],[],[]
chr1:25583283-25583683,400,[],[],[]
chr3:67439264-67439664,400,[],[],[]
chr11:14669945-14670345,400,[],[],[]
chr10:81163055-81163455,400,[-277],[174],[3.94658]
chr4:75094016-75094416,400,[],[],[]
chr1:235010446-235010846,400,[],[],[]
chr1:204547528-204547928,400,[],[],[]
chr2:42569139-42569539,400,[],[],[]
chr4:17497543-17497943,400,[],[],[]
chr11:94540409-94540809,400,[],[],[]
chr1:39529964-39530364,400,[],[],[]
chr1:39527212-39527612,400,[],[],[]
chr5:78355107-78355507,400,[-172],[271],[4.06372]
chr1:200406527-200406927,400,[],[],[]
chr9:136467954-136468354,400,[],[],[]
chr1:43703370-43703770,400,[],[],[]
chr17:48992088-48992488,400,[],[],[]
chr2:31865168-31865568,400,[],[],[]
chrX:43719825-43720225,400,[],[],[]
chr18:71952735-71953135,400,[],[],[]
chr22:45538780-45539180,400,[],[],[]
chr21:43478008-43478408,400,[],[],[]
chr2:217518422-217518822,400,[],[],[]
chr2:108513861-108514261,400,[],[],[]
chr3:188341731-188342131,400,[],[],[]
chr5:57101158-57101558,400,[],[],[]
chr16:51062910-51063310,400,[],[],[]
chr1:56954951-56955351,400,[],[],[]
chr13:113015213-113015613,400,[],[],[]
chr14:69073916-69074316,400,[],[],[]
chr14:93134371-93134771,400,[-204, 212],[292, 262],[2.82026, 4.84391]
chr9:98565781-98566181,400,[],[],[]
chr16:29145939-29146339,400,[],[],[]
chr14:55076813-55077213,400,[],[],[]
chr20:24934023-24934423,400,[],[],[]
chr1:168424557-168424957,400,[],[],[]
chr21:36246702-36247102,400,[],[],[]
chr18:46452465-46452865,400,[],[],[]
chr17:54896560-54896960,400,[],[],[]
chr20:33152270-33152670,400,[],[],[]
chr2:62368761-62369161,400,[],[],[]
chr20:35643001-35643401,400,[],[],[]
chr15:81706540-81706940,400,[],[],[]
chr6:28387390-28387790,400,[],[],[]
chr15:58513298-58513698,400,[],[],[]
chr7:213214-213614,400,[73],[226],[5.28284]
chrX:53956778-53957178,400,[],[],[]
chr19:45192071-45192471,400,[],[],[]
chr9:98616542-98616942,400,[],[],[]
chr6:136132837-136133237,400,[],[],[]
chr3:64613021-64613421,400,[],[],[]
chr1:68014682-68015082,400,[],[],[]
chr1:145002598-145002998,400,[],[],[]
chr4:7508720-7509120,400,[],[],[]
chr4:187166053-187166453,400,[],[],[]
chr8:79732914-79733314,400,[37],[150],[3.81753]
chr2:129351057-129351457,400,[],[],[]
chrX:111009527-111009927,400,[-163],[168],[3.13362]
chr4:159596831-159597231,400,[],[],[]
chr7:30435615-30436015,400,[],[],[]
chr2:118880391-118880791,400,[],[],[]
chr5:68897426-68897826,400,[],[],[]
chr9:102001342-102001742,400,[],[],[]
chr11:61748171-61748571,400,[],[],[]
chr2:132268718-132269118,400,[],[],[]
chr11:114187921-114188321,400,[],[],[]
chr2:238693854-238694254,400,[],[],[]
chr7:36575095-36575495,400,[],[],[]
chr21:44862179-44862579,400,[],[],[]
chr17:6813873-6814273,400,[],[],[]
chr9:136612057-136612457,400,[],[],[]
chr9:139528947-139529347,400,[],[],[]
chr22:28325853-28326253,400,[],[],[]
chr12:113850953-113851353,400,[],[],[]
chr1:148859444-148859844,400,[],[],[]
chr2:110315476-110315876,400,[],[],[]
chr1:219483119-219483519,400,[],[],[]
chr21:35862989-35863389,400,[],[],[]
chr11:110341685-110342085,400,[],[],[]
chr7:150452287-150452687,400,[],[],[]
chr12:105310077-105310477,400,[],[],[]
chrX:30619516-30619916,400,[],[],[]
chr9:75471615-75472015,400,[],[],[]
chr5:79457836-79458236,400,[-304],[590],[3.13362]
chr7:1183435-1183835,400,[],[],[]
chr11:44273949-44274349,400,[],[],[]
chr13:97974815-97975215,400,[],[],[]
