chr2:102728428-102729728,1300,[-2073, 43],[3259, 806],[6.70352, 5.0186]
chr2:103106952-103108252,1300,[1078],[1368],[5.22682]
chr2:128652013-128653313,1300,[],[],[]
chr2:158253713-158255013,1300,[],[],[]
chr2:160098558-160099858,1300,[],[],[]
chr2:160100810-160102110,1300,[],[],[]
chr2:172621967-172623267,1300,[],[],[]
chr2:173317071-173318371,1300,[-675, -15, 793],[443, 515, 508],[4.6409, 3.09642, 4.8258]
chr2:187391817-187393117,1300,[],[],[]
chr2:191814975-191816275,1300,[],[],[]
chr2:201290540-201291840,1300,[],[],[]
chr2:20409948-20411248,1300,[-230],[10374],[24.19481]
chr2:20755118-20756418,1300,[],[],[]
chr2:207982018-207983318,1300,[],[],[]
chr2:237483698-237484998,1300,[2173],[5518],[6.56161]
chr2:23902787-23904087,1300,[],[],[]
chr2:238017623-238018923,1300,[],[],[]
chr2:238695104-238696404,1300,[],[],[]
chr2:238701310-238702610,1300,[],[],[]
chr2:238810685-238811985,1300,[],[],[]
chr2:238811664-238812964,1300,[],[],[]
chr2:240754361-240755661,1300,[],[],[]
chr2:24325074-24326374,1300,[],[],[]
chr2:242703300-242704600,1300,[-797],[496],[2.25555]
chr2:242704207-242705507,1300,[],[],[]
chr2:242704491-242705791,1300,[],[],[]
chr2:28654595-28655895,1300,[],[],[]
chr2:39341655-39342955,1300,[],[],[]
chr2:40767850-40769150,1300,[],[],[]
chr2:42567984-42569284,1300,[1058],[970],[3.48431]
chr2:44578394-44579694,1300,[-312],[2106],[5.91162]
chr2:46826289-46827589,1300,[],[],[]
chr2:46858236-46859536,1300,[],[],[]
chr2:54330982-54332282,1300,[],[],[]
chr2:62386962-62388262,1300,[],[],[]
chr2:65329362-65330662,1300,[162, 799],[381, 710],[4.74525, 2.92577]
chr2:66806109-66807409,1300,[-91],[10129],[18.04345]
chr2:69889131-69890431,1300,[338],[353],[3.2172]
chr2:72395865-72397165,1300,[],[],[]
chr2:74931342-74932642,1300,[],[],[]
chr2:74940158-74941458,1300,[],[],[]
chr2:91756272-91757572,1300,[],[],[]
chr2:95704903-95706203,1300,[-524],[1258],[4.0215]
chr2:91763058-91764358,1300,[],[],[]
chr2:91763123-91764423,1300,[],[],[]
chr2:3510446-3511746,1300,[],[],[]
chr2:11328075-11329375,1300,[],[],[]
chr2:11328875-11330175,1300,[],[],[]
chr2:13664087-13665387,1300,[-1791],[4282],[28.36731]
chr2:14814385-14815685,1300,[],[],[]
chr2:15313729-15315029,1300,[],[],[]
chr2:20409010-20410310,1300,[708],[10374],[24.19481]
chr2:20413620-20414920,1300,[-3902],[10374],[24.19481]
chr2:20415844-20417144,1300,[-557, 1159],[592, 2396],[3.7869, 3.56414]
chr2:20418220-20419520,1300,[-1217],[2396],[3.56414]
chr2:20473715-20475015,1300,[],[],[]
chr2:20802522-20803822,1300,[],[],[]
chr2:20811909-20813209,1300,[2832],[10811],[20.53647]
chr2:20813709-20815009,1300,[1032],[10811],[20.53647]
chr2:23936219-23937519,1300,[],[],[]
chr2:26285228-26286528,1300,[],[],[]
chr2:26288639-26289939,1300,[],[],[]
chr2:26292318-26293618,1300,[-1189],[1809],[4.0692]
chr2:28543217-28544517,1300,[331],[275],[2.82833]
chr2:28545116-28546416,1300,[],[],[]
chr2:28546826-28548126,1300,[],[],[]
chr2:28557516-28558816,1300,[],[],[]
chr2:29176094-29177394,1300,[],[],[]
chr2:30825089-30826389,1300,[],[],[]
chr2:31005692-31006992,1300,[],[],[]
chr2:32063218-32064518,1300,[],[],[]
chr2:33142141-33143441,1300,[],[],[]
chr2:36768997-36770297,1300,[-335],[1645],[3.69091]
chr2:38415791-38417091,1300,[-2936],[6036],[9.99639]
chr2:39707697-39708997,1300,[],[],[]
chr2:39709690-39710990,1300,[],[],[]
chr2:39712290-39713590,1300,[],[],[]
chr2:39712890-39714190,1300,[],[],[]
chr2:39714090-39715390,1300,[],[],[]
chr2:39716090-39717390,1300,[],[],[]
chr2:39720190-39721490,1300,[-1652, 795],[2593, 408],[17.84061, 2.681]
chr2:39722890-39724190,1300,[968],[1471],[6.46]
chr2:39725393-39726693,1300,[1552],[2698],[6.23724]
chr2:39728590-39729890,1300,[-1645, 2315],[2698, 4003],[6.23724, 14.96868]
chr2:42569229-42570529,1300,[-187],[970],[3.48431]
chr2:42570389-42571689,1300,[],[],[]
chr2:43295887-43297187,1300,[1963],[2899],[12.0645]
chr2:44579189-44580489,1300,[-1107, 510],[2106, 275],[5.91162, 3.16959]
chr2:46529888-46531188,1300,[172],[2368],[3.64244]
chr2:46579888-46581188,1300,[-1653, 638],[3354, 276],[7.38182, 2.84392]
chr2:46860342-46861642,1300,[],[],[]
chr2:46862927-46864227,1300,[],[],[]
chr2:46870776-46872076,1300,[],[],[]
chr2:46871505-46872805,1300,[452],[958],[6.03947]
chr2:46871942-46873242,1300,[15],[958],[6.03947]
chr2:46881492-46882792,1300,[],[],[]
chr2:46883987-46885287,1300,[],[],[]
chr2:46884889-46886189,1300,[],[],[]
chr2:48815637-48816937,1300,[],[],[]
chr2:48833761-48835061,1300,[],[],[]
chr2:54330188-54331488,1300,[],[],[]
chr2:54331687-54332987,1300,[],[],[]
chr2:54334986-54336286,1300,[],[],[]
chr2:56185163-56186463,1300,[],[],[]
chr2:56186407-56187707,1300,[],[],[]
chr2:62370011-62371311,1300,[],[],[]
chr2:62379967-62381267,1300,[],[],[]
chr2:63781043-63782343,1300,[],[],[]
chr2:66783681-66784981,1300,[-498],[457],[3.4853]
chr2:66806881-66808181,1300,[-863],[10129],[18.04345]
chr2:69164397-69165697,1300,[],[],[]
chr2:69164986-69166286,1300,[],[],[]
