chr1:2222239-2223239,1000,[-56],[642],[6.40678]
chr1:2224394-2225394,1000,[],[],[]
chr1:20082245-20083245,1000,[],[],[]
chr1:29500612-29501612,1000,[],[],[]
chr1:31888283-31889283,1000,[-510, -58],[304, 301],[2.66707, 2.51018]
chr1:33964073-33965073,1000,[],[],[]
chr1:39635972-39636972,1000,[],[],[]
chr1:40114707-40115707,1000,[],[],[]
chr1:40116072-40117072,1000,[],[],[]
chr1:43600063-43601063,1000,[],[],[]
chr1:44375072-44376072,1000,[],[],[]
chr1:56952052-56953052,1000,[],[],[]
chr1:59280514-59281514,1000,[-101],[3833],[15.67638]
chr1:66803783-66804783,1000,[],[],[]
chr1:66805083-66806083,1000,[],[],[]
chr1:78605484-78606484,1000,[],[],[]
chr1:94241755-94242755,1000,[-3837],[6722],[13.7164]
chr1:100166456-100167456,1000,[],[],[]
chr1:100535774-100536774,1000,[],[],[]
chr1:114047668-114048668,1000,[],[],[]
chr1:114231390-114232390,1000,[],[],[]
chr1:118378270-118379270,1000,[],[],[]
chr1:119698332-119699332,1000,[],[],[]
chr1:119699864-119700864,1000,[],[],[]
chr1:144600293-144601293,1000,[],[],[]
chr1:144601215-144602215,1000,[],[],[]
chr1:144602565-144603565,1000,[],[],[]
chr1:144832678-144833678,1000,[],[],[]
chr1:144926062-144927062,1000,[3650],[7708],[14.00098]
chr1:144930633-144931633,1000,[-921],[7708],[14.00098]
chr1:16918965-16919965,1000,[],[],[]
chr1:149673404-149674404,1000,[],[],[]
chr1:149661194-149662194,1000,[],[],[]
chr1:21763569-21764569,1000,[],[],[]
chr15:75863982-75864982,1000,[],[],[]
chr1:147914699-147915699,1000,[],[],[]
chr1:145003195-145004195,1000,[],[],[]
chr1:145000958-145001958,1000,[],[],[]
chr1:144999697-145000697,1000,[],[],[]
chr1:144975097-144976097,1000,[],[],[]
chr1:144975213-144976213,1000,[],[],[]
chr1:144980216-144981216,1000,[],[],[]
chr1:150565276-150566276,1000,[],[],[]
chr1:150604354-150605354,1000,[],[],[]
chr1:150636920-150637920,1000,[],[],[]
chr1:151827398-151828398,1000,[],[],[]
chr1:155432991-155433991,1000,[],[],[]
chr1:155439051-155440051,1000,[],[],[]
chr1:155536715-155537715,1000,[],[],[]
chr1:160956626-160957626,1000,[],[],[]
chr1:169082138-169083138,1000,[736],[474],[3.3059]
chr1:169083561-169084561,1000,[-687],[474],[3.3059]
chr1:169085538-169086538,1000,[],[],[]
chr1:174807597-174808597,1000,[],[],[]
chr1:193226178-193227178,1000,[],[],[]
chr1:193226801-193227801,1000,[],[],[]
chr1:193230249-193231249,1000,[],[],[]
chr1:205711728-205712728,1000,[],[],[]
chr1:207516577-207517577,1000,[],[],[]
chr1:207949096-207950096,1000,[],[],[]
chr1:221979351-221980351,1000,[],[],[]
chr1:221980506-221981506,1000,[],[],[]
chr1:221986929-221987929,1000,[],[],[]
chr1:222927742-222928742,1000,[],[],[]
chr1:224642502-224643502,1000,[-669],[1563],[4.2376]
chr1:226911501-226912501,1000,[],[],[]
chr1:226912001-226913001,1000,[],[],[]
chr1:226914601-226915601,1000,[],[],[]
chr1:233836600-233837600,1000,[],[],[]
chr1:235183347-235184347,1000,[],[],[]
chr1:235184522-235185522,1000,[],[],[]
chr1:243653702-243654702,1000,[],[],[]
chr1:246434169-246435169,1000,[],[],[]
chr10:952451-953451,1000,[],[],[]
chr10:4995926-4996926,1000,[],[],[]
chr10:5077649-5078649,1000,[],[],[]
chr10:5103627-5104627,1000,[],[],[]
chr10:5110311-5111311,1000,[],[],[]
chr10:5522893-5523893,1000,[],[],[]
chr10:5527139-5528139,1000,[],[],[]
chr10:11235237-11236237,1000,[],[],[]
chr10:11236094-11237094,1000,[],[],[]
chr10:17259376-17260376,1000,[],[],[]
chr10:22719629-22720629,1000,[],[],[]
chr10:22723029-22724029,1000,[-191],[430],[3.05955]
chr10:24535544-24536544,1000,[],[],[]
chr10:29715693-29716693,1000,[],[],[]
chr10:32172507-32173507,1000,[],[],[]
chr10:33546043-33547043,1000,[],[],[]
chr10:33604349-33605349,1000,[],[],[]
chr10:33607136-33608136,1000,[],[],[]
chr10:43893748-43894748,1000,[-1566],[4205],[11.49262]
chr10:45926199-45927199,1000,[],[],[]
chr10:50646446-50647446,1000,[],[],[]
chr10:50650768-50651768,1000,[],[],[]
chr10:50651740-50652740,1000,[],[],[]
chr10:65360558-65361558,1000,[],[],[]
chr10:81548560-81549560,1000,[],[],[]
chr10:81670923-81671923,1000,[],[],[]
chr10:88963357-88964357,1000,[-281],[326],[3.60838]
chr10:88968258-88969258,1000,[],[],[]
chr10:88970457-88971457,1000,[],[],[]
chr10:88972553-88973553,1000,[],[],[]
chr10:89070793-89071793,1000,[],[],[]
chr10:89516558-89517558,1000,[],[],[]
chr10:96999466-97000466,1000,[],[],[]
chr10:104900525-104901525,1000,[],[],[]
chr10:105627191-105628191,1000,[],[],[]
chr10:105628538-105629538,1000,[],[],[]
chr10:105642118-105643118,1000,[],[],[]
chr10:114829359-114830359,1000,[],[],[]
chr10:118647424-118648424,1000,[508],[730],[3.90145]
chr10:134220510-134221510,1000,[619],[1925],[9.04499]
chr10:135222060-135223060,1000,[],[],[]
chr11:511889-512889,1000,[],[],[]
chr11:2226646-2227646,1000,[],[],[]
chr11:11928060-11929060,1000,[],[],[]
chr11:13013317-13014317,1000,[],[],[]
chr11:17362149-17363149,1000,[],[],[]
chr11:34683353-34684353,1000,[],[],[]
chr11:43884784-43885784,1000,[],[],[]
