chr22:24590217-24591717,1500,[815],[594],[4.65128]
chr22:33220035-33221535,1500,[365],[703],[3.84236]
chr22:50027197-50028697,1500,[],[],[]
chr22:33227735-33229235,1500,[-3514, 564],[6734, 1215],[6.96027, 5.4602]
chr22:38751619-38753119,1500,[],[],[]
chr22:22635432-22636932,1500,[],[],[]
chr22:47366366-47367866,1500,[87],[2840],[9.74341]
chr22:30086774-30088274,1500,[],[],[]
chr22:31638235-31639735,1500,[],[],[]
chr22:43079356-43080856,1500,[-1403, 2701],[1463, 6458],[3.32796, 13.95385]
chr22:37684490-37685990,1500,[],[],[]
chr22:33241162-33242662,1500,[249],[949],[4.04459]
chr22:29584730-29586230,1500,[],[],[]
chr22:39595754-39597254,1500,[],[],[]
chr22:22632532-22634032,1500,[],[],[]
chr22:33224030-33225530,1500,[191],[6734],[6.96027]
chr22:26983513-26985013,1500,[-1141, 1492],[1046, 2530],[5.83158, 15.36945]
chr22:26982116-26983616,1500,[256],[1046],[5.83158]
chr22:47566053-47567553,1500,[],[],[]
chr22:32743636-32745136,1500,[],[],[]
chr22:43084555-43086055,1500,[-2498],[6458],[13.95385]
chr22:33202926-33204426,1500,[],[],[]
chr22:19087538-19089038,1500,[-406],[460],[2.83122]
chr22:45544556-45546056,1500,[],[],[]
chr22:45540130-45541630,1500,[],[],[]
chr22:25765190-25766690,1500,[],[],[]
chr22:46009382-46010882,1500,[],[],[]
chr22:24173143-24174643,1500,[],[],[]
chr22:28301037-28302537,1500,[],[],[]
chr22:38707054-38708554,1500,[703],[9641],[22.85195]
chr22:43077455-43078955,1500,[498],[1463],[3.32796]
chr22:28273658-28275158,1500,[],[],[]
chr22:29596598-29598098,1500,[1125],[1909],[8.49365]
chr22:33203863-33205363,1500,[],[],[]
chr22:31710235-31711735,1500,[],[],[]
chr22:27192794-27194294,1500,[],[],[]
chr22:38707668-38709168,1500,[89],[9641],[22.85195]
chr22:36774895-36776395,1500,[-5020],[13012],[14.965]
chr22:30433635-30435135,1500,[],[],[]
chr22:38770054-38771554,1500,[],[],[]
chr22:50027297-50028797,1500,[],[],[]
chr22:24756734-24758234,1500,[-1079, 878],[2844, 796],[4.40201, 4.24682]
chr22:50349697-50351197,1500,[-2423],[5943],[15.04923]
chr22:36618695-36620195,1500,[],[],[]
chr22:36618895-36620395,1500,[],[],[]
chr22:20089072-20090572,1500,[],[],[]
chr22:33233236-33234736,1500,[473],[379],[3.84236]
chr22:44402280-44403780,1500,[],[],[]
chr22:33217283-33218783,1500,[500],[703],[2.72288]
chr22:38706115-38707615,1500,[1642],[9641],[22.85195]
chr22:43299255-43300755,1500,[-649, 789],[570, 1194],[4.24682, 4.44905]
chr22:33237136-33238636,1500,[-695],[715],[2.78383]
chr22:38178356-38179856,1500,[],[],[]
chr22:39602384-39603884,1500,[],[],[]
chr22:38771383-38772883,1500,[],[],[]
chr22:42235802-42237302,1500,[39, 853],[373, 823],[4.24682, 3.34459]
chr22:32696236-32697736,1500,[],[],[]
chr22:49999297-50000797,1500,[],[],[]
chr22:47127400-47128900,1500,[],[],[]
chr22:30711938-30713438,1500,[381],[7028],[5.31035]
chr22:28263837-28265337,1500,[],[],[]
chr22:31710335-31711835,1500,[],[],[]
chr22:33239688-33241188,1500,[-348],[658],[3.0749]
chr22:42436256-42437756,1500,[],[],[]
chr22:39605200-39606700,1500,[],[],[]
chr22:28302592-28304092,1500,[],[],[]
chr22:22265583-22267083,1500,[],[],[]
chr22:33239303-33240803,1500,[37],[658],[3.0749]
chr22:30667837-30669337,1500,[],[],[]
chr22:39604155-39605655,1500,[],[],[]
chr22:43552732-43554232,1500,[],[],[]
chr22:24504513-24506013,1500,[],[],[]
chr22:36734694-36736194,1500,[-9493],[21115],[16.04603]
chr22:31574036-31575536,1500,[],[],[]
chr22:45988489-45989989,1500,[],[],[]
chr22:50273690-50275190,1500,[],[],[]
chr22:36857696-36859196,1500,[2270],[7853],[12.13793]
chr22:45992429-45993929,1500,[],[],[]
chr22:38680555-38682055,1500,[-517],[470],[4.69772]
chr22:32708643-32710143,1500,[],[],[]
chr22:31638835-31640335,1500,[],[],[]
chr22:42771955-42773455,1500,[-1073],[2937],[5.45535]
chr22:30711038-30712538,1500,[1281],[7028],[5.31035]
chr22:43080855-43082355,1500,[1202],[6458],[13.95385]
chr22:18237978-18239478,1500,[],[],[]
chr22:42772955-42774455,1500,[-2073],[2937],[5.45535]
chr22:41138079-41139579,1500,[],[],[]
chr22:31640735-31642235,1500,[],[],[]
chr22:45967929-45969429,1500,[],[],[]
chr22:27194812-27196312,1500,[],[],[]
chr22:33249700-33251200,1500,[-677, 919],[1712, 1289],[3.53971, 3.64013]
chr22:29204937-29206437,1500,[1544],[8642],[12.5988]
chr22:39091055-39092555,1500,[2347],[7493],[26.69432]
chr22:24798817-24800317,1500,[-394],[1847],[4.78446]
chr22:33222282-33223782,1500,[1939],[6734],[6.96027]
chr22:50033386-50034886,1500,[],[],[]
chr22:24256936-24258436,1500,[-1257],[2237],[12.94695]
chr22:47367745-47369245,1500,[-1292],[2840],[9.74341]
chr22:39092105-39093605,1500,[1297],[7493],[26.69432]
chr22:43259755-43261255,1500,[],[],[]
chr22:32040035-32041535,1500,[],[],[]
chr22:18281901-18283401,1500,[],[],[]
chr22:24796729-24798229,1500,[-410],[1885],[5.59703]
chr22:36581640-36583140,1500,[],[],[]
chr22:31712335-31713835,1500,[],[],[]
chr22:38706547-38708047,1500,[1210],[9641],[22.85195]
chr22:31632036-31633536,1500,[-5317],[10022],[8.6673]
chr22:24254030-24255530,1500,[1649],[2237],[12.94695]
chr10:26845978-26847478,1500,[],[],[]
chr10:31282578-31284078,1500,[1299],[2637],[4.98601]
chr10:95173906-95175406,1500,[-1395],[1375],[5.60086]
chr10:88840806-88842306,1500,[1732],[3267],[6.67358]
chr10:11248300-11249800,1500,[],[],[]
chr10:65137809-65139309,1500,[],[],[]
chr10:38686077-38687577,1500,[],[],[]
chr10:5916513-5918013,1500,[],[],[]
chr10:20543922-20545422,1500,[],[],[]
chr10:95199206-95200706,1500,[-2602],[8761],[23.8631]
chr10:79805932-79807432,1500,[],[],[]
chr10:65016710-65018210,1500,[-1434],[1852],[4.08432]
chr10:51775968-51777468,1500,[],[],[]
chr10:80990791-80992291,1500,[],[],[]
chr10:23648278-23649778,1500,[],[],[]
chr10:11252812-11254312,1500,[],[],[]
chr10:89466051-89467551,1500,[],[],[]
chr10:22723878-22725378,1500,[1943],[2688],[31.90221]
chr10:28889932-28891432,1500,[],[],[]
chr10:20588939-20590439,1500,[],[],[]
chr10:45460552-45462052,1500,[-1413, 322],[2618, 597],[7.90085, 2.84001]
chr10:23738878-23740378,1500,[],[],[]
chr10:6449211-6450711,1500,[],[],[]
chr10:112286408-112287908,1500,[],[],[]
chr10:60276918-60278418,1500,[],[],[]
chr10:89063351-89064851,1500,[],[],[]
chr10:23741478-23742978,1500,[-1191],[1169],[4.63519]
chr10:33507742-33509242,1500,[-304],[605],[2.65368]
chr10:94328670-94330170,1500,[],[],[]
chr10:29725764-29727264,1500,[],[],[]
chr10:6250612-6252112,1500,[-933],[2666],[5.05574]
chr10:81675172-81676672,1500,[],[],[]
chr10:64010537-64012037,1500,[],[],[]
chr10:61793507-61795007,1500,[],[],[]
chr10:20451068-20452568,1500,[],[],[]
chr10:32176756-32178256,1500,[],[],[]
chr10:121177361-121178861,1500,[],[],[]
chr10:81960505-81962005,1500,[-681],[15246],[35.39019]
chr10:45966803-45968303,1500,[-1029],[2345],[9.90925]
chr10:74854107-74855607,1500,[1211],[3013],[18.4494]
chr10:105392947-105394447,1500,[],[],[]
chr10:27240078-27241578,1500,[],[],[]
chr10:93177179-93178679,1500,[],[],[]
chr10:89204867-89206367,1500,[],[],[]
chr10:115822484-115823984,1500,[],[],[]
chr10:93178306-93179806,1500,[],[],[]
chr10:125844125-125845625,1500,[],[],[]
chr10:89495906-89497406,1500,[],[],[]
chr10:105622210-105623710,1500,[],[],[]
chr10:103447211-103448711,1500,[],[],[]
chr10:103443006-103444506,1500,[-633],[600],[3.17669]
chr10:29829959-29831459,1500,[],[],[]
chr10:29738813-29740313,1500,[],[],[]
chr10:97087717-97089217,1500,[-889, 1442],[943, 2326],[6.22411, 5.82613]
chr10:122736362-122737862,1500,[749],[396],[4.13156]
chr10:99088207-99089707,1500,[],[],[]
