chr1:2221889-2222989,1100,[-1180, 806],[1821, 1622],[6.47081, 6.05832]
chr1:2224044-2225144,1100,[-1349],[1622],[6.05832]
chr1:20081895-20082995,1100,[],[],[]
chr1:29500262-29501362,1100,[],[],[]
chr1:31887933-31889033,1100,[564],[3232],[4.46057]
chr1:33963723-33964823,1100,[],[],[]
chr1:39635622-39636722,1100,[],[],[]
chr1:40114357-40115457,1100,[],[],[]
chr1:40115722-40116822,1100,[],[],[]
chr1:43599713-43600813,1100,[1563],[2335],[3.34663]
chr1:44374722-44375822,1100,[],[],[]
chr1:56951702-56952802,1100,[],[],[]
chr1:59280164-59281264,1100,[-41, 702],[371, 386],[2.45785, 1.59895]
chr1:66803433-66804533,1100,[],[],[]
chr1:66804733-66805833,1100,[],[],[]
chr1:78605134-78606234,1100,[],[],[]
chr1:94241405-94242505,1100,[1145],[4158],[4.90469]
chr1:100166106-100167206,1100,[],[],[]
chr1:100535424-100536524,1100,[],[],[]
chr1:114047318-114048418,1100,[],[],[]
chr1:114231040-114232140,1100,[],[],[]
chr1:118377920-118379020,1100,[],[],[]
chr1:119697982-119699082,1100,[],[],[]
chr1:119699514-119700614,1100,[],[],[]
chr1:144599943-144601043,1100,[],[],[]
chr1:144600865-144601965,1100,[],[],[]
chr1:144602215-144603315,1100,[],[],[]
chr1:144832328-144833428,1100,[],[],[]
chr1:144925712-144926812,1100,[2262],[5453],[3.5295]
chr1:144930283-144931383,1100,[-2309],[5453],[3.5295]
chr1:16918615-16919715,1100,[],[],[]
chr1:149673054-149674154,1100,[],[],[]
chr1:149660844-149661944,1100,[],[],[]
chr1:21763219-21764319,1100,[],[],[]
chr15:75863632-75864732,1100,[644],[279],[2.34136]
chr1:147914349-147915449,1100,[],[],[]
chr1:145002845-145003945,1100,[],[],[]
chr1:145000608-145001708,1100,[],[],[]
chr1:144999347-145000447,1100,[],[],[]
chr1:144974747-144975847,1100,[],[],[]
chr1:144974863-144975963,1100,[],[],[]
chr1:144979866-144980966,1100,[],[],[]
chr1:150564926-150566026,1100,[-474],[1690],[5.17744]
chr1:150604004-150605104,1100,[],[],[]
chr1:150636570-150637670,1100,[],[],[]
chr1:151827048-151828148,1100,[],[],[]
chr1:155432641-155433741,1100,[],[],[]
chr1:155438701-155439801,1100,[],[],[]
chr1:155536365-155537465,1100,[],[],[]
chr1:160956276-160957376,1100,[],[],[]
chr1:169081788-169082888,1100,[-592],[5006],[6.64421]
chr1:169083211-169084311,1100,[-2015],[5006],[6.64421]
chr1:169085188-169086288,1100,[-218, 1227],[235, 1368],[2.11176, 2.55501]
chr1:174807247-174808347,1100,[],[],[]
