chr2:102729578-102730778,1200,[253, 5095],[402, 9059],[3.56594, 10.19335]
chr2:103108102-103109302,1200,[-79],[233],[2.80765]
chr2:128653163-128654363,1200,[],[],[]
chr2:158254863-158256063,1200,[],[],[]
chr2:160099708-160100908,1200,[],[],[]
chr2:160101960-160103160,1200,[],[],[]
chr2:172623117-172624317,1200,[],[],[]
chr2:173318221-173319421,1200,[-499, 1609],[769, 2388],[3.37937, 5.32279]
chr2:187392967-187394167,1200,[],[],[]
chr2:191816125-191817325,1200,[],[],[]
chr2:201291690-201292890,1200,[],[],[]
chr2:20411098-20412298,1200,[533],[4928],[7.81478]
chr2:20756268-20757468,1200,[],[],[]
chr2:207983168-207984368,1200,[],[],[]
chr2:237484848-237486048,1200,[-3155],[14371],[35.32497]
chr2:23903937-23905137,1200,[],[],[]
chr2:238018773-238019973,1200,[],[],[]
chr2:238696254-238697454,1200,[],[],[]
chr2:238702460-238703660,1200,[],[],[]
chr2:238811835-238813035,1200,[-4608],[15532],[19.68353]
chr2:238812814-238814014,1200,[-5587],[15532],[19.68353]
chr2:240755511-240756711,1200,[],[],[]
chr2:24326224-24327424,1200,[],[],[]
chr2:242704450-242705650,1200,[],[],[]
chr2:242705357-242706557,1200,[],[],[]
chr2:242705641-242706841,1200,[],[],[]
chr2:28655745-28656945,1200,[],[],[]
chr2:39342805-39344005,1200,[],[],[]
chr2:40769000-40770200,1200,[],[],[]
chr2:42569134-42570334,1200,[283],[1955],[5.65751]
chr2:44579544-44580744,1200,[-1424],[1941],[4.73791]
chr2:46827439-46828639,1200,[],[],[]
chr2:46859386-46860586,1200,[],[],[]
chr2:54332132-54333332,1200,[],[],[]
chr2:62388112-62389312,1200,[],[],[]
chr2:65330512-65331712,1200,[],[],[]
chr2:66807259-66808459,1200,[-1983],[11418],[41.35441]
chr2:69890281-69891481,1200,[-155],[230],[2.9017]
chr2:72397015-72398215,1200,[],[],[]
chr2:74932492-74933692,1200,[],[],[]
chr2:74941308-74942508,1200,[704],[990],[11.20418]
chr2:91757422-91758622,1200,[],[],[]
chr2:95706053-95707253,1200,[795],[2295],[8.87084]
chr2:91764208-91765408,1200,[],[],[]
chr2:91764273-91765473,1200,[],[],[]
chr2:3511596-3512796,1200,[],[],[]
chr2:11329225-11330425,1200,[],[],[]
chr2:11330025-11331225,1200,[],[],[]
chr2:13665237-13666437,1200,[],[],[]
chr2:14815535-14816735,1200,[],[],[]
chr2:15314879-15316079,1200,[],[],[]
chr2:20410160-20411360,1200,[1471],[4928],[7.81478]
chr2:20414770-20415970,1200,[376],[720],[2.89763]
chr2:20416994-20418194,1200,[],[],[]
chr2:20419370-20420570,1200,[],[],[]
chr2:20474865-20476065,1200,[],[],[]
chr2:20803672-20804872,1200,[-638, 481],[248, 1741],[2.22457, 10.34875]
chr2:20813059-20814259,1200,[4439],[19469],[45.21899]
chr2:20814859-20816059,1200,[2639],[19469],[45.21899]
chr2:23937369-23938569,1200,[],[],[]
chr2:26286378-26287578,1200,[],[],[]
chr2:26289789-26290989,1200,[],[],[]
chr2:26293468-26294668,1200,[],[],[]
chr2:28544367-28545567,1200,[],[],[]
chr2:28546266-28547466,1200,[],[],[]
chr2:28547976-28549176,1200,[211],[321],[2.9017]
chr2:28558666-28559866,1200,[4166],[8429],[15.84078]
chr2:29177244-29178444,1200,[],[],[]
chr2:30826239-30827439,1200,[],[],[]
chr2:31006842-31008042,1200,[],[],[]
chr2:32064368-32065568,1200,[],[],[]
chr2:33143291-33144491,1200,[],[],[]
chr2:36770147-36771347,1200,[],[],[]
chr2:38416941-38418141,1200,[-7730],[18261],[17.95687]
chr2:39708847-39710047,1200,[],[],[]
chr2:39710840-39712040,1200,[],[],[]
chr2:39713440-39714640,1200,[],[],[]
chr2:39714040-39715240,1200,[],[],[]
chr2:39715240-39716440,1200,[],[],[]
chr2:39717240-39718440,1200,[],[],[]
chr2:39721340-39722540,1200,[153],[2007],[7.17129]
chr2:39724040-39725240,1200,[-63],[1058],[4.86867]
chr2:39726543-39727743,1200,[474],[3397],[6.59079]
chr2:39729740-39730940,1200,[1122],[3892],[10.43148]
chr2:42570379-42571579,1200,[-962],[1955],[5.65751]
chr2:42571539-42572739,1200,[],[],[]
chr2:43297037-43298237,1200,[902],[2814],[8.65963]
chr2:44580339-44581539,1200,[],[],[]
chr2:46531038-46532238,1200,[-734, 2286],[1965, 3770],[4.54235, 7.38322]
chr2:46581038-46582238,1200,[],[],[]
chr2:46861492-46862692,1200,[],[],[]
chr2:46864077-46865277,1200,[],[],[]
chr2:46871926-46873126,1200,[391],[869],[4.1975]
chr2:46872655-46873855,1200,[-338],[869],[4.1975]
chr2:46873092-46874292,1200,[-775],[869],[4.1975]
chr2:46882642-46883842,1200,[642],[864],[4.59744]
chr2:46885137-46886337,1200,[],[],[]
chr2:46886039-46887239,1200,[],[],[]
chr2:48816787-48817987,1200,[],[],[]
chr2:48834911-48836111,1200,[],[],[]
chr2:54331338-54332538,1200,[],[],[]
chr2:54332837-54334037,1200,[],[],[]
chr2:54336136-54337336,1200,[],[],[]
chr2:56186313-56187513,1200,[],[],[]
chr2:56187557-56188757,1200,[],[],[]
chr2:62371161-62372361,1200,[],[],[]
chr2:62381117-62382317,1200,[],[],[]
chr2:63782193-63783393,1200,[],[],[]
chr2:66784831-66786031,1200,[],[],[]
chr2:66808031-66809231,1200,[-2755],[11418],[41.35441]
chr2:69165547-69166747,1200,[],[],[]
chr2:69166136-69167336,1200,[],[],[]
chr2:69166810-69168010,1200,[],[],[]
chr2:69983832-69985032,1200,[-1680],[2593],[5.48727]
