chr22:24591567-24592167,600,[-195],[371],[2.18753]
chr22:33221385-33221985,600,[778],[1425],[2.37595]
chr22:50028547-50029147,600,[],[],[]
chr22:33229085-33229685,600,[-276, 309],[385, 352],[2.49169, 2.89155]
chr22:38752969-38753569,600,[],[],[]
chr22:22636782-22637382,600,[],[],[]
chr22:47367716-47368316,600,[-29],[999],[4.3214]
chr22:30088124-30088724,600,[],[],[]
chr22:31639585-31640185,600,[220],[359],[2.41761]
chr22:43080706-43081306,600,[-320],[529],[3.45712]
chr22:37685840-37686440,600,[290],[180],[2.40593]
chr22:33242512-33243112,600,[-158],[2713],[4.01048]
chr22:29586080-29586680,600,[],[],[]
chr22:39597104-39597704,600,[],[],[]
chr22:22633882-22634482,600,[],[],[]
chr22:33225380-33225980,600,[212],[5234],[4.83456]
chr22:26984863-26985463,600,[-185],[701],[2.49145]
chr22:26983466-26984066,600,[216],[730],[2.56275]
chr22:47567403-47568003,600,[],[],[]
chr22:32744986-32745586,600,[],[],[]
chr22:43085905-43086505,600,[-413],[343],[3.17321]
chr22:33204276-33204876,600,[-113, 509],[518, 429],[4.27695, 3.34022]
chr22:19088888-19089488,600,[],[],[]
chr22:45545906-45546506,600,[],[],[]
chr22:45541480-45542080,600,[],[],[]
chr22:25766540-25767140,600,[],[],[]
chr22:46010732-46011332,600,[],[],[]
chr22:24174493-24175093,600,[],[],[]
chr22:28302387-28302987,600,[],[],[]
chr22:38708404-38709004,600,[1179],[3769],[4.45838]
chr22:43078805-43079405,600,[-50],[186],[2.7657]
chr22:28275008-28275608,600,[],[],[]
chr22:29597948-29598548,600,[311],[1446],[4.12887]
chr22:33205213-33205813,600,[-428, 743],[429, 1205],[3.34022, 3.03824]
chr22:31711585-31712185,600,[],[],[]
chr22:27194144-27194744,600,[],[],[]
chr22:38709018-38709618,600,[565],[3769],[4.45838]
chr22:36776245-36776845,600,[1500],[5058],[5.63855]
chr22:30434985-30435585,600,[],[],[]
chr22:38771404-38772004,600,[],[],[]
chr22:50028647-50029247,600,[],[],[]
chr22:24758084-24758684,600,[-460],[487],[2.62932]
chr22:50351047-50351647,600,[-80],[456],[2.70512]
chr22:36620045-36620645,600,[],[],[]
chr22:36620245-36620845,600,[],[],[]
chr22:20090422-20091022,600,[],[],[]
chr22:33234586-33235186,600,[917],[2018],[3.60889]
chr22:44403630-44404230,600,[],[],[]
chr22:33218633-33219233,600,[910],[1721],[3.40283]
chr22:38707465-38708065,600,[-953, 2118],[2179, 3769],[6.39567, 4.45838]
