chr2:102728378-102729578,1200,[-506],[848],[3.55737]
chr2:103106902-103108102,1200,[],[],[]
chr2:128651963-128653163,1200,[],[],[]
chr2:158253663-158254863,1200,[],[],[]
chr2:160098508-160099708,1200,[],[],[]
chr2:160100760-160101960,1200,[],[],[]
chr2:172621917-172623117,1200,[],[],[]
chr2:173317021-173318221,1200,[32, 701],[414, 769],[5.28026, 3.37937]
chr2:187391767-187392967,1200,[],[],[]
chr2:191814925-191816125,1200,[],[],[]
chr2:201290490-201291690,1200,[],[],[]
chr2:20409898-20411098,1200,[1733],[4928],[7.81478]
chr2:20755068-20756268,1200,[],[],[]
chr2:207981968-207983168,1200,[],[],[]
chr2:237483648-237484848,1200,[-1955],[14371],[35.32497]
chr2:23902737-23903937,1200,[],[],[]
chr2:238017573-238018773,1200,[],[],[]
chr2:238695054-238696254,1200,[],[],[]
chr2:238701260-238702460,1200,[],[],[]
chr2:238810635-238811835,1200,[-3408],[15532],[19.68353]
chr2:238811614-238812814,1200,[-4387],[15532],[19.68353]
chr2:240754311-240755511,1200,[],[],[]
chr2:24325024-24326224,1200,[],[],[]
chr2:242703250-242704450,1200,[-750],[635],[3.37937]
chr2:242704157-242705357,1200,[],[],[]
chr2:242704441-242705641,1200,[],[],[]
chr2:28654545-28655745,1200,[],[],[]
chr2:39341605-39342805,1200,[],[],[]
chr2:40767800-40769000,1200,[],[],[]
chr2:42567934-42569134,1200,[72, 1483],[565, 1955],[2.96609, 5.65751]
chr2:44578344-44579544,1200,[-224],[1941],[4.73791]
chr2:46826239-46827439,1200,[],[],[]
chr2:46858186-46859386,1200,[],[],[]
chr2:54330932-54332132,1200,[],[],[]
chr2:62386912-62388112,1200,[],[],[]
chr2:65329312-65330512,1200,[],[],[]
chr2:66806059-66807259,1200,[-783],[11418],[41.35441]
chr2:69889081-69890281,1200,[],[],[]
chr2:72395815-72397015,1200,[],[],[]
chr2:74931292-74932492,1200,[],[],[]
chr2:74940108-74941308,1200,[],[],[]
chr2:91756222-91757422,1200,[],[],[]
chr2:95704853-95706053,1200,[-433],[2064],[4.21147]
chr2:91763008-91764208,1200,[],[],[]
chr2:91763073-91764273,1200,[],[],[]
chr2:3510396-3511596,1200,[],[],[]
chr2:11328025-11329225,1200,[],[],[]
chr2:11328825-11330025,1200,[],[],[]
chr2:13664037-13665237,1200,[-1451],[3249],[17.57897]
chr2:14814335-14815535,1200,[],[],[]
chr2:15313679-15314879,1200,[],[],[]
chr2:20408960-20410160,1200,[-2190, 2671],[4500, 4928],[13.51746, 7.81478]
chr2:20413570-20414770,1200,[-1939],[4928],[7.81478]
chr2:20415794-20416994,1200,[-648],[720],[2.89763]
chr2:20418170-20419370,1200,[],[],[]
chr2:20473665-20474865,1200,[],[],[]
chr2:20802472-20803672,1200,[562],[248],[2.22457]
chr2:20811859-20813059,1200,[5639],[19469],[45.21899]
chr2:20813659-20814859,1200,[3839],[19469],[45.21899]
chr2:23936169-23937369,1200,[],[],[]
chr2:26285178-26286378,1200,[],[],[]
chr2:26288589-26289789,1200,[],[],[]
chr2:26292268-26293468,1200,[],[],[]
chr2:28543167-28544367,1200,[],[],[]
chr2:28545066-28546266,1200,[],[],[]
chr2:28546776-28547976,1200,[],[],[]
chr2:28557466-28558666,1200,[-1038],[1793],[5.48727]
chr2:29176044-29177244,1200,[],[],[]
chr2:30825039-30826239,1200,[],[],[]
chr2:31005642-31006842,1200,[],[],[]
chr2:32063168-32064368,1200,[],[],[]
chr2:33142091-33143291,1200,[],[],[]
chr2:36768947-36770147,1200,[-624, 95],[566, 473],[3.66961, 2.66948]
chr2:38415741-38416941,1200,[-6530],[18261],[17.95687]
chr2:39707647-39708847,1200,[],[],[]
chr2:39709640-39710840,1200,[],[],[]
chr2:39712240-39713440,1200,[],[],[]
chr2:39712840-39714040,1200,[],[],[]
chr2:39714040-39715240,1200,[],[],[]
chr2:39716040-39717240,1200,[],[],[]
chr2:39720140-39721340,1200,[-1115, 1353],[1470, 2007],[7.23847, 7.17129]
chr2:39722840-39724040,1200,[-1347, 336],[2007, 283],[7.17129, 2.7375]
chr2:39725343-39726543,1200,[1674],[3397],[6.59079]
chr2:39728540-39729740,1200,[-1523, 2322],[3397, 3892],[6.59079, 10.43148]
chr2:42569179-42570379,1200,[238],[1955],[5.65751]
chr2:42570339-42571539,1200,[-922],[1955],[5.65751]
chr2:43295837-43297037,1200,[],[],[]
chr2:44579139-44580339,1200,[-1019],[1941],[4.73791]
chr2:46529838-46531038,1200,[466],[1965],[4.54235]
chr2:46579838-46581038,1200,[-1194],[2851],[7.37008]
chr2:46860292-46861492,1200,[],[],[]
chr2:46862877-46864077,1200,[],[],[]
chr2:46870726-46871926,1200,[],[],[]
chr2:46871455-46872655,1200,[862],[869],[4.1975]
chr2:46871892-46873092,1200,[425],[869],[4.1975]
chr2:46881442-46882642,1200,[],[],[]
chr2:46883937-46885137,1200,[-653],[864],[4.59744]
chr2:46884839-46886039,1200,[],[],[]
chr2:48815587-48816787,1200,[-341, 102],[461, 251],[2.18312, 2.66274]
chr2:48833711-48834911,1200,[],[],[]
chr2:54330138-54331338,1200,[],[],[]
chr2:54331637-54332837,1200,[],[],[]
chr2:54334936-54336136,1200,[],[],[]
chr2:56185113-56186313,1200,[],[],[]
chr2:56186357-56187557,1200,[],[],[]
chr2:62369961-62371161,1200,[],[],[]
chr2:62379917-62381117,1200,[],[],[]
chr2:63780993-63782193,1200,[],[],[]
chr2:66783631-66784831,1200,[-543, 457],[717, 220],[3.4675, 2.3725]
chr2:66806831-66808031,1200,[-1555],[11418],[41.35441]
chr2:69164347-69165547,1200,[],[],[]
chr2:69164936-69166136,1200,[],[],[]
chr2:69165610-69166810,1200,[],[],[]
chr2:69982632-69983832,1200,[-480],[2593],[5.48727]
chr2:69990732-69991932,1200,[-1064],[2447],[17.74167]
chr2:69992431-69993631,1200,[-73],[874],[4.34028]
chr2:69998932-70000132,1200,[-2423, 5097],[3680, 11126],[7.60357, 8.3472]
chr2:70155004-70156204,1200,[915],[837],[3.39631]
chr2:70497514-70498714,1200,[],[],[]
chr2:71311629-71312829,1200,[],[],[]
chr2:71613007-71614207,1200,[],[],[]
chr2:73974536-73975736,1200,[],[],[]
chr2:73983124-73984324,1200,[],[],[]
chr2:74918505-74919705,1200,[],[],[]
chr2:74936783-74937983,1200,[],[],[]
chr2:75504741-75505941,1200,[],[],[]
chr2:85611139-85612339,1200,[],[],[]
chr2:85996396-85997596,1200,[-1310, 2793],[1517, 6052],[6.54752, 23.68954]
chr2:86020423-86021623,1200,[-1049, 2052],[1848, 3403],[10.1381, 8.44841]
chr2:86726731-86727931,1200,[],[],[]
chr2:86784470-86785670,1200,[],[],[]
chr2:88063239-88064439,1200,[],[],[]
chr2:88063918-88065118,1200,[],[],[]
chr2:88065470-88066670,1200,[],[],[]
chr2:88400085-88401285,1200,[],[],[]
chr2:88491135-88492335,1200,[],[],[]
chr2:88491787-88492987,1200,[],[],[]
chr2:88980717-88981917,1200,[],[],[]
chr2:89166411-89167611,1200,[],[],[]
chr2:91758639-91759839,1200,[],[],[]
chr2:95679547-95680747,1200,[],[],[]
chr2:95934402-95935602,1200,[],[],[]
chr2:97207966-97209166,1200,[-561],[306],[2.53452]
chr2:100099061-100100261,1200,[],[],[]
chr2:100102561-100103761,1200,[],[],[]
chr2:101917861-101919061,1200,[],[],[]
chr2:102727643-102728843,1200,[-789, 229],[419, 848],[4.08968, 3.55737]
chr2:102730540-102731740,1200,[-709, 4133],[402, 9059],[3.56594, 10.19335]
chr2:102732059-102733259,1200,[2614],[9059],[10.19335]
