chr22:24586467-24587667,1200,[-851],[1741],[7.51806]
chr22:33216285-33217485,1200,[],[],[]
chr22:50023447-50024647,1200,[],[],[]
chr22:33223985-33225185,1200,[2398],[8742],[7.55233]
chr22:38747869-38749069,1200,[825],[757],[4.68605]
chr22:22631682-22632882,1200,[],[],[]
chr22:47362616-47363816,1200,[],[],[]
chr22:30083024-30084224,1200,[],[],[]
chr22:31634485-31635685,1200,[],[],[]
chr22:43075606-43076806,1200,[4419],[10595],[8.91436]
chr22:37680740-37681940,1200,[-535, 725],[306, 1120],[5.48576, 5.02861]
chr22:33237412-33238612,1200,[],[],[]
chr22:29580980-29582180,1200,[],[],[]
chr22:39592004-39593204,1200,[],[],[]
chr22:22628782-22629982,1200,[],[],[]
chr22:33220280-33221480,1200,[429],[894],[4.80004]
chr22:26979763-26980963,1200,[2079],[3764],[5.51853]
chr22:26978366-26979566,1200,[],[],[]
chr22:47562303-47563503,1200,[],[],[]
chr22:32739886-32741086,1200,[],[],[]
chr22:43080805-43082005,1200,[-780],[10595],[8.91436]
chr22:33199176-33200376,1200,[839],[550],[4.57146]
chr22:19083788-19084988,1200,[1108],[1614],[4.56706]
chr22:45540806-45542006,1200,[],[],[]
chr22:45536380-45537580,1200,[],[],[]
chr22:25761440-25762640,1200,[-105],[1250],[5.02861]
chr22:46005632-46006832,1200,[],[],[]
chr22:24169393-24170593,1200,[],[],[]
chr22:28297287-28298487,1200,[],[],[]
chr22:38703304-38704504,1200,[],[],[]
chr22:43073705-43074905,1200,[-999],[1636],[6.76265]
chr22:28269908-28271108,1200,[1472],[1979],[4.67668]
chr22:29592848-29594048,1200,[],[],[]
chr22:33200113-33201313,1200,[-98, 749],[550, 761],[4.57146, 4.11432]
chr22:31706485-31707685,1200,[],[],[]
chr22:27189044-27190244,1200,[],[],[]
chr22:38703918-38705118,1200,[],[],[]
chr22:36771145-36772345,1200,[-2486],[26229],[10.00173]
chr22:30429885-30431085,1200,[],[],[]
chr22:38766304-38767504,1200,[],[],[]
chr22:50023547-50024747,1200,[],[],[]
chr22:24752984-24754184,1200,[],[],[]
chr22:50345947-50347147,1200,[1382],[5939],[8.22864]
chr22:36614945-36616145,1200,[],[],[]
chr22:36615145-36616345,1200,[767],[682],[3.49205]
chr22:20085322-20086522,1200,[],[],[]
chr22:33229486-33230686,1200,[-3103],[8742],[7.55233]
chr22:44398530-44399730,1200,[435],[530],[3.4286]
chr22:33213533-33214733,1200,[545],[2787],[6.57334]
chr22:38702365-38703565,1200,[-1768],[2969],[6.47121]
chr22:43295505-43296705,1200,[],[],[]
chr22:33233386-33234586,1200,[-900, 1475],[1943, 2520],[5.25718, 5.54619]
chr22:38174606-38175806,1200,[],[],[]
chr22:39598634-39599834,1200,[-189],[1203],[3.88574]
chr22:38767633-38768833,1200,[],[],[]
chr22:42232052-42233252,1200,[-895],[707],[4.34289]
chr22:32692486-32693686,1200,[],[],[]
chr22:49995547-49996747,1200,[],[],[]
chr22:47123650-47124850,1200,[-33, 854],[496, 1089],[3.88574, 3.235]
chr22:30708188-30709388,1200,[-6094],[13293],[10.2858]
chr22:28260087-28261287,1200,[-785, 2109],[510, 3426],[3.78713, 3.74095]
chr22:31706585-31707785,1200,[],[],[]
chr22:33235938-33237138,1200,[-1077],[2520],[5.54619]
chr22:42432506-42433706,1200,[],[],[]
chr22:39601450-39602650,1200,[],[],[]
chr22:28298842-28300042,1200,[],[],[]
chr22:22261833-22263033,1200,[],[],[]
chr22:33235553-33236753,1200,[-692],[2520],[5.54619]
chr22:30664087-30665287,1200,[],[],[]
chr22:39600405-39601605,1200,[],[],[]
chr22:43548982-43550182,1200,[-1207, -327, 429],[1289, 244, 719],[5.54619, 3.88574, 5.25718]
chr22:24500763-24501963,1200,[-651],[351],[3.34718]
chr22:36730944-36732144,1200,[-1107],[14203],[9.23602]
chr22:31570286-31571486,1200,[-1211],[1827],[4.31273]
chr22:45984739-45985939,1200,[],[],[]
chr22:50269940-50271140,1200,[],[],[]
chr22:36853946-36855146,1200,[-348],[1035],[3.61559]
chr22:45988679-45989879,1200,[],[],[]
chr22:38676805-38678005,1200,[],[],[]
chr22:32704893-32706093,1200,[],[],[]
chr22:31635085-31636285,1200,[],[],[]
chr22:42768205-42769405,1200,[],[],[]
chr22:30707288-30708488,1200,[-5194],[13293],[10.2858]
chr22:43077105-43078305,1200,[2920],[10595],[8.91436]
chr22:18234228-18235428,1200,[],[],[]
chr22:42769205-42770405,1200,[],[],[]
chr22:41134329-41135529,1200,[],[],[]
chr22:31636985-31638185,1200,[],[],[]
chr22:45964179-45965379,1200,[],[],[]
chr22:27191062-27192262,1200,[],[],[]
chr22:33245950-33247150,1200,[983],[4900],[5.14016]
chr22:29201187-29202387,1200,[],[],[]
chr22:39087305-39088505,1200,[],[],[]
chr22:24795067-24796267,1200,[1378],[1981],[3.89682]
chr22:33218532-33219732,1200,[-602, 509],[726, 1015],[3.42529, 4.57146]
chr22:50029636-50030836,1200,[],[],[]
chr22:24253186-24254386,1200,[],[],[]
chr22:47363995-47365195,1200,[],[],[]
chr22:39088355-39089555,1200,[1179],[1553],[4.01661]
chr22:43256005-43257205,1200,[],[],[]
chr22:32036285-32037485,1200,[-1382],[2625],[5.71433]
chr22:18278151-18279351,1200,[],[],[]
chr22:24792979-24794179,1200,[-253],[273],[3.44558]
chr22:36577890-36579090,1200,[],[],[]
chr22:31708585-31709785,1200,[35, 929],[413, 1157],[4.34289, 2.65399]
chr22:38702797-38703997,1200,[],[],[]
chr22:31628286-31629486,1200,[-805],[7929],[8.15336]
chr22:24250280-24251480,1200,[],[],[]
chr10:26842228-26843428,1200,[],[],[]
chr10:31278828-31280028,1200,[],[],[]
chr10:95170156-95171356,1200,[],[],[]
chr10:88837056-88838256,1200,[],[],[]
chr10:11244550-11245750,1200,[],[],[]
chr10:65134059-65135259,1200,[],[],[]
chr10:38682327-38683527,1200,[],[],[]
chr10:5912763-5913963,1200,[],[],[]
chr10:20540172-20541372,1200,[],[],[]
chr10:95195456-95196656,1200,[-444],[2821],[4.43117]
chr10:79802182-79803382,1200,[589],[560],[3.74977]
chr10:65012960-65014160,1200,[-873, 469],[551, 651],[4.544, 3.91719]
chr10:51772218-51773418,1200,[],[],[]
chr10:80987041-80988241,1200,[],[],[]
chr10:23644528-23645728,1200,[],[],[]
chr10:11249062-11250262,1200,[-153, 1125],[468, 1352],[2.20513, 3.4286]
chr10:89462301-89463501,1200,[],[],[]
chr10:22720128-22721328,1200,[],[],[]
chr10:28886182-28887382,1200,[],[],[]
chr10:20585189-20586389,1200,[],[],[]
chr10:45456802-45458002,1200,[-1226, 518],[1656, 1630],[6.62862, 3.54494]
chr10:23735128-23736328,1200,[],[],[]
chr10:6445461-6446661,1200,[],[],[]
chr10:112282658-112283858,1200,[],[],[]
chr10:60273168-60274368,1200,[-589],[552],[5.56422]
chr10:89059601-89060801,1200,[],[],[]
chr10:23737728-23738928,1200,[-584, 961],[1770, 999],[3.72218, 3.64008]
chr10:33503992-33505192,1200,[907],[1317],[3.43683]
chr10:94324920-94326120,1200,[],[],[]
chr10:29722014-29723214,1200,[],[],[]
chr10:6246862-6248062,1200,[-631],[1957],[5.9429]
chr10:81671422-81672622,1200,[],[],[]
chr10:64006787-64007987,1200,[],[],[]
chr10:61789757-61790957,1200,[],[],[]
chr10:20447318-20448518,1200,[],[],[]
chr10:32173006-32174206,1200,[],[],[]
chr10:121173611-121174811,1200,[-1592, 542],[2576, 604],[5.9429, 5.02861]
chr10:81956755-81957955,1200,[-101],[9375],[8.22864]
chr10:45963053-45964253,1200,[],[],[]
chr10:74850357-74851557,1200,[445],[771],[2.50378]
chr10:105389197-105390397,1200,[],[],[]
chr10:27236328-27237528,1200,[],[],[]
chr10:93173429-93174629,1200,[275],[1089],[4.25961]
chr10:89201117-89202317,1200,[],[],[]
chr10:115818734-115819934,1200,[-1213],[1230],[4.25393]
chr10:93174556-93175756,1200,[-852, 241],[1089, 551],[4.25961, 3.38753]
chr10:125840375-125841575,1200,[],[],[]
chr10:89492156-89493356,1200,[],[],[]
chr10:105618460-105619660,1200,[-63],[724],[4.11432]
chr10:103443461-103444661,1200,[-696],[941],[3.90287]
chr10:103439256-103440456,1200,[768],[563],[3.65163]
chr10:29826209-29827409,1200,[],[],[]
chr10:29735063-29736263,1200,[],[],[]
chr10:97083967-97085167,1200,[],[],[]
chr10:122732612-122733812,1200,[],[],[]
chr10:99084457-99085657,1200,[],[],[]
chr10:357999-359199,1200,[],[],[]
chr10:103448056-103449256,1200,[-347],[467],[3.37789]
chr10:47126293-47127493,1200,[],[],[]
chr10:98462040-98463240,1200,[],[],[]
chr10:72333155-72334355,1200,[],[],[]
chr10:72308756-72309956,1200,[],[],[]
chr10:29716192-29717392,1200,[],[],[]
chr10:6302162-6303362,1200,[],[],[]
chr10:126313768-126314968,1200,[],[],[]
chr10:103444005-103445205,1200,[],[],[]
chr10:73781545-73782745,1200,[-736],[1614],[5.02861]
chr10:90778484-90779684,1200,[],[],[]
chr10:126610325-126611525,1200,[-695, 676],[869, 445],[5.11908, 2.67039]
chr10:104901024-104902224,1200,[],[],[]
chr10:20488288-20489488,1200,[],[],[]
chr10:105642617-105643817,1200,[],[],[]
chr10:15162904-15164104,1200,[],[],[]
chr10:78307782-78308982,1200,[-935],[897],[5.35549]
chr10:6429634-6430834,1200,[],[],[]
chr10:119017452-119018652,1200,[],[],[]
chr10:72316055-72317255,1200,[],[],[]
chr10:104903256-104904456,1200,[1663],[3948],[5.40637]
chr10:43663147-43664347,1200,[],[],[]
chr10:99978056-99979256,1200,[],[],[]
chr10:114853658-114854858,1200,[-524],[2264],[4.92995]
chr10:6427961-6429161,1200,[],[],[]
chr10:47126615-47127815,1200,[],[],[]
chr10:75123813-75125013,1200,[],[],[]
chr10:134343465-134344665,1200,[],[],[]
chr10:65371359-65372559,1200,[],[],[]
chr10:99481357-99482557,1200,[],[],[]
chr10:88963856-88965056,1200,[],[],[]
chr10:89022856-89024056,1200,[],[],[]
chr10:127532761-127533961,1200,[],[],[]
chr10:5905862-5907062,1200,[],[],[]
chr10:105627690-105628890,1200,[],[],[]
chr10:45441414-45442614,1200,[],[],[]
chr10:94599956-94601156,1200,[],[],[]
chr10:22723528-22724728,1200,[-580],[652],[5.1367]
chr10:955374-956574,1200,[],[],[]
chr10:6436061-6437261,1200,[],[],[]
chr10:103440056-103441256,1200,[-32],[563],[3.65163]
chr10:26733228-26734428,1200,[],[],[]
chr10:86882855-86884055,1200,[],[],[]
chr10:29735128-29736328,1200,[],[],[]
chr10:65361057-65362257,1200,[],[],[]
chr10:30002752-30003952,1200,[-59],[1227],[3.38133]
chr10:73784526-73785726,1200,[],[],[]
chr10:89821856-89823056,1200,[1894],[4986],[4.61988]
chr10:88840156-88841356,1200,[],[],[]
chr10:49563442-49564642,1200,[],[],[]
chr10:34402388-34403588,1200,[],[],[]
chr10:73524068-73525268,1200,[3034],[10976],[9.82865]
chr10:128584568-128585768,1200,[],[],[]
chr10:121158511-121159711,1200,[],[],[]
chr10:134211403-134212603,1200,[1718],[5179],[8.91436]
chr10:47122116-47123316,1200,[],[],[]
chr10:114738505-114739705,1200,[],[],[]
chr10:121175111-121176311,1200,[],[],[]
chr10:73525605-73526805,1200,[1497],[10976],[9.82865]
chr10:125843015-125844215,1200,[1534],[1997],[6.17148]
chr10:122699712-122700912,1200,[],[],[]
chr10:134269268-134270468,1200,[],[],[]
chr10:81157455-81158655,1200,[5383],[13668],[8.01116]
chr10:115817489-115818689,1200,[32],[1230],[4.25393]
chr10:134263803-134265003,1200,[],[],[]
chr10:125841415-125842615,1200,[],[],[]
chr10:20582828-20584028,1200,[],[],[]
chr10:43894247-43895447,1200,[2721],[9522],[7.23117]
chr10:23275028-23276228,1200,[],[],[]
chr10:30325701-30326901,1200,[-1018],[878],[3.65717]
chr10:104902000-104903200,1200,[],[],[]
chr10:50638545-50639745,1200,[],[],[]
chr10:63819923-63821123,1200,[-1424],[3335],[6.21627]
