chr1:12669868-12670468,600,[956],[1431],[5.42648]
chr1:12672270-12672870,600,[-178],[664],[3.47941]
chr1:29505612-29506212,600,[-282, 720],[825, 889],[3.5492, 2.71827]
chr1:33969073-33969673,600,[],[],[]
chr1:43605063-43605663,600,[],[],[]
chr1:45861272-45861872,600,[],[],[]
chr1:46887667-46888267,600,[],[],[]
chr1:52436473-52437073,600,[],[],[]
chr1:56957052-56957652,600,[335],[368],[2.58516]
chr1:59285514-59286114,600,[],[],[]
chr1:66808783-66809383,600,[],[],[]
chr1:66810083-66810683,600,[],[],[]
chr1:68561116-68561716,600,[],[],[]
chr1:94246755-94247355,600,[],[],[]
chr1:100171456-100172056,600,[],[],[]
chr1:109078071-109078671,600,[],[],[]
chr1:109082287-109082887,600,[],[],[]
chr1:114052668-114053268,600,[],[],[]
chr1:114236390-114236990,600,[59],[550],[2.95203]
chr1:115107448-115108048,600,[-264],[1571],[2.6619]
chr1:118383270-118383870,600,[],[],[]
chr1:119703332-119703932,600,[-223],[404],[1.84854]
chr1:119704864-119705464,600,[],[],[]
chr1:144595760-144596360,600,[],[],[]
chr1:144605293-144605893,600,[],[],[]
chr1:144606215-144606815,600,[],[],[]
chr1:144607565-144608165,600,[],[],[]
chr1:144931062-144931662,600,[],[],[]
chr1:144935633-144936233,600,[],[],[]
chr1:16923965-16924565,600,[],[],[]
chr1:149678404-149679004,600,[],[],[]
chr1:149681200-149681800,600,[],[],[]
chr1:21768569-21769169,600,[],[],[]
chr15:75868982-75869582,600,[],[],[]
chr1:145008195-145008795,600,[],[],[]
chr1:145005958-145006558,600,[],[],[]
chr1:145004697-145005297,600,[],[],[]
chr1:150609354-150609954,600,[],[],[]
chr1:155541715-155542315,600,[],[],[]
chr1:160961626-160962226,600,[],[],[]
chr1:167142490-167143090,600,[],[],[]
chr1:193086592-193087192,600,[],[],[]
chr1:193231178-193231778,600,[],[],[]
chr1:193231801-193232401,600,[],[],[]
chr1:193235249-193235849,600,[],[],[]
chr1:193433771-193434371,600,[],[],[]
chr1:205640028-205640628,600,[],[],[]
chr1:205641528-205642128,600,[],[],[]
chr1:205641928-205642528,600,[],[],[]
chr1:205642888-205643488,600,[-215],[250],[1.99032]
chr1:205646891-205647491,600,[],[],[]
chr1:207177945-207178545,600,[],[],[]
chr1:207179945-207180545,600,[],[],[]
chr1:207180462-207181062,600,[],[],[]
chr1:207182679-207183279,600,[],[],[]
chr1:224390771-224391371,600,[],[],[]
chr1:224647502-224648102,600,[],[],[]
chr1:226916501-226917101,600,[-223],[605],[2.783]
chr1:226917001-226917601,600,[],[],[]
chr1:226919601-226920201,600,[],[],[]
chr1:236654956-236655556,600,[],[],[]
chr1:236655772-236656372,600,[],[],[]
chr1:236656734-236657334,600,[],[],[]
chr10:3336624-3337224,600,[],[],[]
chr10:13766928-13767528,600,[],[],[]
chr10:17487599-17488199,600,[],[],[]
chr10:17489199-17489799,600,[],[],[]
chr10:22724629-22725229,600,[],[],[]
chr10:22728029-22728629,600,[],[],[]
chr10:29720693-29721293,600,[],[],[]
chr10:32260492-32261092,600,[],[],[]
chr10:32263129-32263729,600,[],[],[]
chr10:43341938-43342538,600,[],[],[]
chr10:43898748-43899348,600,[-548],[1646],[2.73614]
chr10:51544677-51545277,600,[],[],[]
chr10:47094980-47095580,600,[],[],[]
chr10:50651446-50652046,600,[-130],[217],[2.06432]
chr10:50655768-50656368,600,[],[],[]
chr10:50656740-50657340,600,[],[],[]
chr10:65365558-65366158,600,[],[],[]
chr10:84926577-84927177,600,[],[],[]
chr10:88968357-88968957,600,[],[],[]
chr10:88973258-88973858,600,[],[],[]
chr10:88975457-88976057,600,[],[],[]
chr10:88977553-88978153,600,[],[],[]
chr10:104276088-104276688,600,[],[],[]
chr10:118652424-118653024,600,[],[],[]
chr10:121254312-121254912,600,[],[],[]
chr10:121255912-121256512,600,[],[],[]
chr10:121256763-121257363,600,[],[],[]
chr10:123909790-123910390,600,[],[],[]
chr10:123913815-123914415,600,[],[],[]
chr10:123915839-123916439,600,[],[],[]
chr10:134225510-134226110,600,[],[],[]
chr10:134390582-134391182,600,[],[],[]
chr10:135227060-135227660,600,[-135],[410],[3.91285]
chr11:516889-517489,600,[],[],[]
chr11:11933060-11933660,600,[-13],[280],[2.62832]
chr11:14672046-14672646,600,[],[],[]
chr11:14672646-14673246,600,[],[],[]
chr11:17367149-17367749,600,[],[],[]
chr11:34688353-34688953,600,[],[],[]
chr11:43889784-43890384,600,[],[],[]
chr11:43892150-43892750,600,[],[],[]
chr11:58805691-58806291,600,[],[],[]
chr11:58806564-58807164,600,[],[],[]
chr11:58849561-58850161,600,[],[],[]
chr11:60600522-60601122,600,[],[],[]
chr11:65437972-65438572,600,[],[],[]
chr11:66429012-66429612,600,[-435],[681],[2.97716]
chr11:68348639-68349239,600,[487],[1749],[3.60006]
chr11:71456238-71456838,600,[],[],[]
chr11:74533346-74533946,600,[1108],[3985],[4.20077]
chr11:74534846-74535446,600,[-392],[3985],[4.20077]
chr11:76758744-76759344,600,[],[],[]
chr11:86357087-86357687,600,[],[],[]
chr11:86630442-86631042,600,[],[],[]
chr11:102050331-102050931,600,[-276, 403],[763, 228],[3.40131, 2.59226]
chr11:113250077-113250677,600,[],[],[]
chr11:114041123-114041723,600,[],[],[]
chr11:114044622-114045222,600,[],[],[]
chr11:114047552-114048152,600,[],[],[]
chr11:114163321-114163921,600,[],[],[]
chr12:83673-84273,600,[48],[1660],[2.44007]
chr12:13360334-13360934,600,[-233, 154],[376, 304],[2.75924, 2.37953]
chr12:52512008-52512608,600,[],[],[]
chr12:52514084-52514684,600,[],[],[]
chr12:52515164-52515764,600,[],[],[]
chr12:66398938-66399538,600,[],[],[]
chr12:69661730-69662330,600,[-271],[177],[2.13109]
chr12:120920566-120921166,600,[],[],[]
chr12:133017797-133018397,600,[],[],[]
chr12:133023527-133024127,600,[],[],[]
chr13:24206566-24207166,600,[],[],[]
chr13:24230158-24230758,600,[],[],[]
chr13:24239200-24239800,600,[],[],[]
chr13:24257056-24257656,600,[],[],[]
chr13:24271615-24272215,600,[],[],[]
chr13:24279014-24279614,600,[],[],[]
chr13:24283525-24284125,600,[],[],[]
chr13:24285391-24285991,600,[],[],[]
chr13:24299339-24299939,600,[],[],[]
chr13:24299840-24300440,600,[],[],[]
chr13:24300479-24301079,600,[],[],[]
chr13:24372417-24373017,600,[77],[430],[2.25691]
chr13:24375440-24376040,600,[391],[243],[2.4118]
chr13:24376952-24377552,600,[],[],[]
chr13:33106737-33107337,600,[365],[216],[2.48175]
chr13:33107537-33108137,600,[],[],[]
chr13:49557336-49557936,600,[],[],[]
chr13:95741880-95742480,600,[],[],[]
chr13:95925254-95925854,600,[],[],[]
chr13:95929655-95930255,600,[],[],[]
chr13:95934354-95934954,600,[],[],[]
chr13:95939754-95940354,600,[],[],[]
chr13:95943123-95943723,600,[],[],[]
chr13:100729771-100730371,600,[],[],[]
chr13:101175340-101175940,600,[],[],[]
chr13:110076254-110076854,600,[],[],[]
chr13:110081155-110081755,600,[],[],[]
chr13:110418847-110419447,600,[],[],[]
chr13:110430747-110431347,600,[],[],[]
chr13:114558112-114558712,600,[],[],[]
chr13:114559496-114560096,600,[],[],[]
chr13:114561373-114561973,600,[],[],[]
chr14:30055922-30056522,600,[],[],[]
chr14:35823306-35823906,600,[],[],[]
chr14:38054458-38055058,600,[],[],[]
chr14:60564018-60564618,600,[-27],[903],[2.33876]
chr14:68985480-68986080,600,[],[],[]
chr14:93136472-93137072,600,[],[],[]
chr14:93138145-93138745,600,[],[],[]
chr14:93749998-93750598,600,[],[],[]
chr14:93788046-93788646,600,[-110],[617],[3.05677]
chr14:93790846-93791446,600,[-91],[736],[2.91518]
chr14:93792146-93792746,600,[],[],[]
chr14:95229664-95230264,600,[],[],[]
chr14:99887938-99888538,600,[],[],[]
chr14:99888800-99889400,600,[],[],[]
chr14:105340800-105341400,600,[],[],[]
chr15:30718903-30719503,600,[],[],[]
chr15:30719603-30720203,600,[],[],[]
chr15:32760701-32761301,600,[],[],[]
chr15:32762901-32763501,600,[],[],[]
chr15:32764001-32764601,600,[],[],[]
chr15:40692202-40692802,600,[],[],[]
chr15:41155941-41156541,600,[],[],[]
chr15:45826768-45827368,600,[],[],[]
chr15:69870095-69870695,600,[],[],[]
chr15:69997549-69998149,600,[],[],[]
chr15:69998263-69998863,600,[],[],[]
chr15:72351641-72352241,600,[],[],[]
chr15:72352581-72353181,600,[],[],[]
chr15:82976949-82977549,600,[],[],[]
chr15:82980090-82980690,600,[],[],[]
chr16:2702228-2702828,600,[],[],[]
chr16:2706743-2707343,600,[],[],[]
chr16:15075500-15076100,600,[],[],[]
chr16:15078083-15078683,600,[],[],[]
chr16:20313463-20314063,600,[],[],[]
chr16:21886432-21887032,600,[],[],[]
chr16:28388232-28388832,600,[],[],[]
chr16:30559321-30559921,600,[],[],[]
chr16:30562321-30562921,600,[],[],[]
chr16:30647521-30648121,600,[],[],[]
chr16:30842328-30842928,600,[],[],[]
