chr22:38749469-38749869,400,[-133],[355],[7.73058]
chr22:22633282-22633682,400,[],[],[]
chr22:30084624-30085024,400,[],[],[]
chr22:28325053-28325453,400,[],[],[]
chr22:22630382-22630782,400,[],[],[]
chr22:47563903-47564303,400,[],[],[]
chr22:41961607-41962007,400,[-93],[632],[3.8039]
chr22:45542406-45542806,400,[],[],[]
chr22:45537980-45538380,400,[],[],[]
chr22:25763040-25763440,400,[],[],[]
chr22:29603807-29604207,400,[373],[443],[2.35479]
chr22:24170993-24171393,400,[155],[282],[2.05135]
chr22:28298887-28299287,400,[],[],[]
chr22:27190644-27191044,400,[],[],[]
chr22:38767904-38768304,400,[],[],[]
chr22:47556126-47556526,400,[-228, 170],[183, 145],[2.23262, 2.90549]
chr22:50347547-50347947,400,[-218],[4680],[11.58948]
chr22:20086922-20087322,400,[],[],[]
chr22:38176206-38176606,400,[],[],[]
chr22:38769233-38769633,400,[],[],[]
chr22:42257403-42257803,400,[],[],[]
chr22:42434106-42434506,400,[],[],[]
chr22:47558642-47559042,400,[],[],[]
chr22:28300442-28300842,400,[],[],[]
chr22:41960403-41960803,400,[214],[145],[3.07935]
chr22:47559207-47559607,400,[],[],[]
chr22:43550582-43550982,400,[],[],[]
chr22:24502363-24502763,400,[],[],[]
chr22:36732544-36732944,400,[272],[1445],[5.5137]
chr22:50271540-50271940,400,[],[],[]
chr22:47549042-47549442,400,[357],[1457],[13.15043]
chr22:41135929-41136329,400,[],[],[]
chr22:27192662-27193062,400,[],[],[]
chr22:33247550-33247950,400,[-325],[263],[3.10625]
chr22:39088905-39089305,400,[],[],[]
chr22:24254786-24255186,400,[],[],[]
chr22:39089955-39090355,400,[149],[145],[3.92141]
chr22:32037885-32038285,400,[],[],[]
chr22:18279751-18280151,400,[],[],[]
chr22:24251880-24252280,400,[],[],[]
chr10:88838656-88839056,400,[],[],[]
chr10:38683927-38684327,400,[],[],[]
chr10:79803782-79804182,400,[],[],[]
chr10:51773818-51774218,400,[],[],[]
chr10:1271639-1272039,400,[],[],[]
chr10:22721728-22722128,400,[],[],[]
chr10:29059228-29059628,400,[],[],[]
chr10:133741626-133742026,400,[-474],[1107],[8.19902]
chr10:6447061-6447461,400,[],[],[]
chr10:60367493-60367893,400,[],[],[]
chr10:94326520-94326920,400,[226],[319],[4.72921]
chr10:29723614-29724014,400,[],[],[]
chr10:81673022-81673422,400,[],[],[]
chr10:45373243-45373643,400,[],[],[]
chr10:61791357-61791757,400,[51],[265],[4.01983]
chr10:6457561-6457961,400,[],[],[]
chr10:32174606-32175006,400,[],[],[]
chr10:45964653-45965053,400,[],[],[]
chr10:105390797-105391197,400,[],[],[]
chr10:45440447-45440847,400,[],[],[]
chr10:89493756-89494156,400,[],[],[]
chr10:105620060-105620460,400,[],[],[]
chr10:103445061-103445461,400,[],[],[]
chr10:103440856-103441256,400,[],[],[]
chr10:118409547-118409947,400,[],[],[]
chr10:29736663-29737063,400,[],[],[]
chr10:118413110-118413510,400,[],[],[]
chr10:97085567-97085967,400,[],[],[]
chr10:359599-359999,400,[],[],[]
chr10:103449656-103450056,400,[],[],[]
chr10:127563568-127563968,400,[],[],[]
chr10:98463640-98464040,400,[212],[291],[2.83753]
chr10:44795248-44795648,400,[],[],[]
chr10:29717792-29718192,400,[],[],[]
chr10:126699247-126699647,400,[],[],[]
chr10:103445605-103446005,400,[],[],[]
chr10:104902624-104903024,400,[],[],[]
chr10:105644217-105644617,400,[-9],[184],[4.25367]
chr10:15164504-15164904,400,[],[],[]
chr10:119019052-119019452,400,[],[],[]
chr10:23474354-23474754,400,[],[],[]
chr10:101183717-101184117,400,[],[],[]
chr10:88965456-88965856,400,[],[],[]
chr10:133737403-133737803,400,[-204],[175],[3.74478]
chr10:127534361-127534761,400,[-147],[744],[5.67587]
chr10:5907462-5907862,400,[],[],[]
chr10:105629290-105629690,400,[],[],[]
chr10:45443014-45443414,400,[],[],[]
chr10:70030098-70030498,400,[],[],[]
chr10:22725128-22725528,400,[177],[445],[7.33463]
chr10:956974-957374,400,[],[],[]
chr10:6437661-6438061,400,[],[],[]
chr10:103441656-103442056,400,[],[],[]
chr10:29736728-29737128,400,[],[],[]
chr10:65362657-65363057,400,[],[],[]
chr10:34403988-34404388,400,[],[],[]
chr10:73525668-73526068,400,[-90],[226],[3.54205]
chr10:128586168-128586568,400,[],[],[]
chr10:134213003-134213403,400,[1293],[3736],[11.30678]
chr10:60351448-60351848,400,[],[],[]
chr10:73527205-73527605,400,[-250],[922],[4.57549]
chr10:23310428-23310828,400,[],[],[]
chr10:43895847-43896247,400,[],[],[]
chr10:23276628-23277028,400,[],[],[]
chr10:104903600-104904000,400,[],[],[]
chr10:50640145-50640545,400,[],[],[]
chr10:98463856-98464256,400,[-4],[291],[2.83753]
chr10:126623313-126623713,400,[],[],[]
chr10:6218462-6218862,400,[299],[414],[4.39994]
chr10:89518657-89519057,400,[],[],[]
chr10:118372390-118372790,400,[],[],[]
chr10:105388722-105389122,400,[],[],[]
chr10:91299034-91299434,400,[],[],[]
chr10:14602898-14603298,400,[177],[809],[8.42784]
chr10:119020581-119020981,400,[],[],[]
chr10:97088661-97089061,400,[],[],[]
chr10:133740703-133741103,400,[449],[1107],[8.19902]
chr10:5912340-5912740,400,[],[],[]
chr10:133737803-133738203,400,[],[],[]
chr10:89520456-89520856,400,[],[],[]
chr10:16758524-16758924,400,[],[],[]
chr10:60366883-60367283,400,[],[],[]
chr10:97927055-97927455,400,[],[],[]
chr10:109673057-109673457,400,[],[],[]
chr10:47733803-47734203,400,[],[],[]
chr10:48241152-48241552,400,[],[],[]
chr10:97900838-97901238,400,[],[],[]
chr10:13764027-13764427,400,[],[],[]
chr10:97085956-97086356,400,[],[],[]
chr10:52520859-52521259,400,[],[],[]
chr10:23274928-23275328,400,[],[],[]
chr10:127558684-127559084,400,[270],[151],[3.83047]
chr10:360313-360713,400,[],[],[]
chr10:80191156-80191556,400,[],[],[]
chr10:96891456-96891856,400,[],[],[]
chr10:17261475-17261875,400,[],[],[]
chr10:134222609-134223009,400,[-204],[1882],[15.13347]
chr10:44846530-44846930,400,[],[],[]
chr10:93179456-93179856,400,[],[],[]
chr10:362039-362439,400,[],[],[]
chr10:24522387-24522787,400,[],[],[]
chr10:6440921-6441321,400,[],[],[]
chr10:118649523-118649923,400,[],[],[]
chr10:954550-954950,400,[],[],[]
chr10:6217555-6217955,400,[203],[175],[3.69525]
chr10:105630637-105631037,400,[],[],[]
chr10:23461663-23462063,400,[],[],[]
chr10:135459303-135459703,400,[],[],[]
chr10:24741123-24741523,400,[],[],[]
chr10:89493556-89493956,400,[],[],[]
chr10:29062428-29062828,400,[],[],[]
chr10:72319556-72319956,400,[],[],[]
chr10:28806628-28807028,400,[],[],[]
chr10:73527656-73528056,400,[],[],[]
chr10:49211505-49211905,400,[],[],[]
chr10:70036556-70036956,400,[],[],[]
chr10:80205368-80205768,400,[],[],[]
chr10:97084983-97085383,400,[],[],[]
chr10:50653839-50654239,400,[],[],[]
chr10:5909062-5909462,400,[],[],[]
chr10:127573268-127573668,400,[],[],[]
chr10:123268575-123268975,400,[],[],[]
chr10:97001565-97001965,400,[],[],[]
chr10:127572926-127573326,400,[],[],[]
chr10:99547553-99547953,400,[-273, 219],[427, 169],[4.7035, 2.68936]
chr10:135224159-135224559,400,[],[],[]
chr10:96906256-96906656,400,[],[],[]
chr10:112609641-112610041,400,[319],[349],[6.38443]
chr10:51595938-51596338,400,[],[],[]
chr10:81550659-81551059,400,[],[],[]
