chr2:102724778-102725978,1200,[-481, 1882],[1552, 2852],[4.00097, 3.98131]
chr2:103103302-103104502,1200,[4],[3089],[3.56844]
chr2:128648363-128649563,1200,[],[],[]
chr2:158250063-158251263,1200,[],[],[]
chr2:160094908-160096108,1200,[],[],[]
chr2:160097160-160098360,1200,[],[],[]
chr2:172618317-172619517,1200,[],[],[]
chr2:173313421-173314621,1200,[-224, 336],[594, 352],[4.63846, 2.62547]
chr2:187388167-187389367,1200,[],[],[]
chr2:191811325-191812525,1200,[624],[3112],[5.52566]
chr2:201286890-201288090,1200,[],[],[]
chr2:20406298-20407498,1200,[3594],[11609],[5.2954]
chr2:20751468-20752668,1200,[-657],[708],[3.56611]
chr2:207978368-207979568,1200,[365],[321],[2.58563]
chr2:237480048-237481248,1200,[-3149, 380],[5303, 726],[4.65233, 3.4175]
chr2:23899137-23900337,1200,[],[],[]
chr2:238013973-238015173,1200,[],[],[]
chr2:238691454-238692654,1200,[],[],[]
chr2:238697660-238698860,1200,[],[],[]
chr2:238807035-238808235,1200,[-1142],[3769],[6.21209]
chr2:238808014-238809214,1200,[-2121],[3769],[6.21209]
chr2:240750711-240751911,1200,[898],[1248],[3.44272]
chr2:24321424-24322624,1200,[],[],[]
chr2:242699650-242700850,1200,[],[],[]
chr2:242700557-242701757,1200,[571],[325],[2.91588]
chr2:242700841-242702041,1200,[287],[325],[2.91588]
chr2:28650945-28652145,1200,[-528],[261],[2.40782]
chr2:39338005-39339205,1200,[-1291, 225],[1806, 1026],[2.78331, 2.27083]
chr2:40764200-40765400,1200,[-193],[263],[2.10684]
chr2:42564334-42565534,1200,[],[],[]
chr2:44574744-44575944,1200,[-67],[2327],[5.17316]
chr2:46822639-46823839,1200,[],[],[]
chr2:46854586-46855786,1200,[],[],[]
chr2:54327332-54328532,1200,[],[],[]
chr2:62383312-62384512,1200,[],[],[]
chr2:65325712-65326912,1200,[-1031, 613],[2696, 404],[3.18448, 2.33008]
chr2:66802459-66803659,1200,[678],[4275],[8.11962]
chr2:69885481-69886681,1200,[],[],[]
chr2:72392215-72393415,1200,[],[],[]
chr2:74927692-74928892,1200,[],[],[]
chr2:74936508-74937708,1200,[],[],[]
chr2:91752622-91753822,1200,[],[],[]
chr2:95701253-95702453,1200,[],[],[]
