chr22:38749069-38749469,400,[267],[355],[7.73058]
chr22:22632882-22633282,400,[],[],[]
chr22:30084224-30084624,400,[],[],[]
chr22:28324653-28325053,400,[],[],[]
chr22:22629982-22630382,400,[],[],[]
chr22:47563503-47563903,400,[],[],[]
chr22:41961207-41961607,400,[307],[632],[3.8039]
chr22:45542006-45542406,400,[],[],[]
chr22:45537580-45537980,400,[],[],[]
chr22:25762640-25763040,400,[],[],[]
chr22:29603407-29603807,400,[-461],[1165],[3.28216]
chr22:24170593-24170993,400,[],[],[]
chr22:28298487-28298887,400,[],[],[]
chr22:27190244-27190644,400,[],[],[]
chr22:38767504-38767904,400,[],[],[]
chr22:47555726-47556126,400,[172],[183],[2.23262]
chr22:50347147-50347547,400,[182],[4680],[11.58948]
chr22:20086522-20086922,400,[],[],[]
chr22:38175806-38176206,400,[],[],[]
chr22:38768833-38769233,400,[],[],[]
chr22:42257003-42257403,400,[],[],[]
chr22:42433706-42434106,400,[],[],[]
chr22:47558242-47558642,400,[-317],[299],[3.60566]
chr22:28300042-28300442,400,[],[],[]
chr22:41960003-41960403,400,[],[],[]
chr22:47558807-47559207,400,[],[],[]
chr22:43550182-43550582,400,[],[],[]
chr22:24501963-24502363,400,[-79],[145],[2.48483]
chr22:36732144-36732544,400,[-845, 672],[1348, 1445],[6.01856, 5.5137]
chr22:50271140-50271540,400,[],[],[]
chr22:47548642-47549042,400,[757],[1457],[13.15043]
chr22:41135529-41135929,400,[],[],[]
chr22:27192262-27192662,400,[],[],[]
chr22:33247150-33247550,400,[75],[263],[3.10625]
chr22:39088505-39088905,400,[],[],[]
chr22:24254386-24254786,400,[],[],[]
chr22:39089555-39089955,400,[],[],[]
chr22:32037485-32037885,400,[],[],[]
chr22:18279351-18279751,400,[],[],[]
chr22:24251480-24251880,400,[],[],[]
chr10:88838256-88838656,400,[],[],[]
chr10:38683527-38683927,400,[],[],[]
chr10:79803382-79803782,400,[-19],[211],[3.98234]
chr10:51773418-51773818,400,[],[],[]
chr10:1271239-1271639,400,[],[],[]
chr10:22721328-22721728,400,[],[],[]
chr10:29058828-29059228,400,[],[],[]
chr10:133741226-133741626,400,[-74],[1107],[8.19902]
chr10:6446661-6447061,400,[],[],[]
chr10:60367093-60367493,400,[],[],[]
