chr2:102725828-102727128,1300,[-516, 976],[396, 988],[3.41197, 3.44636]
chr2:103104352-103105652,1300,[-788],[1067],[3.63217]
chr2:128649413-128650713,1300,[],[],[]
chr2:158251113-158252413,1300,[382],[1637],[5.10584]
chr2:160095958-160097258,1300,[],[],[]
chr2:160098210-160099510,1300,[],[],[]
chr2:172619367-172620667,1300,[],[],[]
chr2:173314471-173315771,1300,[],[],[]
chr2:187389217-187390517,1300,[],[],[]
chr2:191812375-191813675,1300,[-519],[1652],[4.61211]
chr2:201287940-201289240,1300,[],[],[]
chr2:20407348-20408648,1300,[3452],[13880],[13.38991]
chr2:20752518-20753818,1300,[],[],[]
chr2:207979418-207980718,1300,[659],[279],[2.64669]
chr2:237481098-237482398,1300,[-729],[1388],[4.21702]
chr2:23900187-23901487,1300,[],[],[]
chr2:238015023-238016323,1300,[],[],[]
chr2:238692504-238693804,1300,[],[],[]
chr2:238698710-238700010,1300,[],[],[]
chr2:238808085-238809385,1300,[-2757],[6229],[13.27891]
chr2:238809064-238810364,1300,[-3736, 987],[6229, 2258],[13.27891, 4.95934]
chr2:240751761-240753061,1300,[],[],[]
chr2:24322474-24323774,1300,[],[],[]
chr2:242700700-242702000,1300,[1242],[1762],[3.02249]
chr2:242701607-242702907,1300,[335],[1762],[3.02249]
chr2:242701891-242703191,1300,[51],[1762],[3.02249]
chr2:28651995-28653295,1300,[],[],[]
chr2:39339055-39340355,1300,[],[],[]
chr2:40765250-40766550,1300,[],[],[]
chr2:42565384-42566684,1300,[],[],[]
chr2:44575794-44577094,1300,[-406],[436],[4.01564]
chr2:46823689-46824989,1300,[],[],[]
chr2:46855636-46856936,1300,[],[],[]
chr2:54328382-54329682,1300,[],[],[]
chr2:62384362-62385662,1300,[],[],[]
chr2:65326762-65328062,1300,[],[],[]
chr2:66803509-66804809,1300,[1627],[11675],[18.3516]
chr2:69886531-69887831,1300,[],[],[]
chr2:72393265-72394565,1300,[],[],[]
chr2:74928742-74930042,1300,[],[],[]
chr2:74937558-74938858,1300,[],[],[]
chr2:91753672-91754972,1300,[],[],[]
chr2:95702303-95703603,1300,[],[],[]
chr2:91760458-91761758,1300,[],[],[]
chr2:91760523-91761823,1300,[],[],[]
chr2:3507846-3509146,1300,[],[],[]
chr2:11325475-11326775,1300,[],[],[]
chr2:11326275-11327575,1300,[],[],[]
chr2:13661487-13662787,1300,[-171, 1095],[316, 2053],[3.40752, 11.00173]
chr2:14811785-14813085,1300,[],[],[]
chr2:15311129-15312429,1300,[],[],[]
chr2:20406410-20407710,1300,[4390],[13880],[13.38991]
chr2:20411020-20412320,1300,[-220],[13880],[13.38991]
chr2:20413244-20414544,1300,[-2444],[13880],[13.38991]
chr2:20415620-20416920,1300,[-4820],[13880],[13.38991]
chr2:20471115-20472415,1300,[],[],[]
chr2:20799922-20801222,1300,[-1025],[1989],[7.61667]
chr2:20809309-20810609,1300,[-494, 1388],[1571, 1996],[7.78294, 15.2428]
chr2:20811109-20812409,1300,[-412],[1996],[15.2428]
chr2:23933619-23934919,1300,[],[],[]
chr2:26282628-26283928,1300,[],[],[]
chr2:26286039-26287339,1300,[],[],[]
chr2:26289718-26291018,1300,[954],[711],[4.88925]
chr2:28540617-28541917,1300,[165],[1629],[3.83466]
chr2:28542516-28543816,1300,[-708],[245],[2.34705]
chr2:28544226-28545526,1300,[],[],[]
chr2:28554916-28556216,1300,[1473],[1866],[5.13035]
chr2:29173494-29174794,1300,[1150],[2134],[7.96127]
chr2:30822489-30823789,1300,[],[],[]
chr2:31003092-31004392,1300,[],[],[]
chr2:32060618-32061918,1300,[],[],[]
chr2:33139541-33140841,1300,[],[],[]
chr2:36766397-36767697,1300,[],[],[]
chr2:38413191-38414491,1300,[-618, 1641],[1031, 2717],[4.8408, 12.70012]
chr2:39705097-39706397,1300,[],[],[]
chr2:39707090-39708390,1300,[],[],[]
chr2:39709690-39710990,1300,[],[],[]
chr2:39710290-39711590,1300,[492],[245],[2.19124]
chr2:39711490-39712790,1300,[-708],[245],[2.19124]
chr2:39713490-39714790,1300,[],[],[]
chr2:39717590-39718890,1300,[930],[2432],[6.49292]
chr2:39720290-39721590,1300,[-1770, 523],[2432, 881],[6.49292, 4.1796]
chr2:39722793-39724093,1300,[-542, 1000],[270, 1340],[2.57001, 4.26385]
chr2:39725990-39727290,1300,[1004],[2411],[7.89037]
chr2:42566629-42567929,1300,[],[],[]
chr2:42567789-42569089,1300,[],[],[]
chr2:43293287-43294587,1300,[],[],[]
chr2:44576589-44577889,1300,[1455],[1943],[4.90962]
chr2:46527288-46528588,1300,[-1835],[5467],[23.71635]
chr2:46577288-46578588,1300,[905],[1422],[5.26023]
chr2:46857742-46859042,1300,[],[],[]
chr2:46860327-46861627,1300,[],[],[]
chr2:46868176-46869476,1300,[],[],[]
chr2:46868905-46870205,1300,[],[],[]
chr2:46869342-46870642,1300,[],[],[]
chr2:46878892-46880192,1300,[],[],[]
chr2:46881387-46882687,1300,[],[],[]
chr2:46882289-46883589,1300,[991],[1000],[5.05345]
chr2:48813037-48814337,1300,[],[],[]
chr2:48831161-48832461,1300,[],[],[]
chr2:54327588-54328888,1300,[],[],[]
chr2:54329087-54330387,1300,[],[],[]
chr2:54332386-54333686,1300,[],[],[]
chr2:56182563-56183863,1300,[-866],[551],[3.07917]
chr2:56183807-56185107,1300,[846],[529],[3.07917]
chr2:62367411-62368711,1300,[],[],[]
chr2:62377367-62378667,1300,[],[],[]
chr2:63778443-63779743,1300,[],[],[]
chr2:66781081-66782381,1300,[-474, 352, 1375],[1087, 257, 1614],[4.69411, 3.40064, 4.83908]
chr2:66804281-66805581,1300,[855],[11675],[18.3516]
chr2:69161797-69163097,1300,[],[],[]
chr2:69162386-69163686,1300,[],[],[]
chr2:69163060-69164360,1300,[],[],[]
chr2:69980082-69981382,1300,[709],[4725],[6.03603]
chr2:69988182-69989482,1300,[1428],[2632],[14.82144]
chr2:69989881-69991181,1300,[-271],[2632],[14.82144]
chr2:69996382-69997682,1300,[5644],[14881],[13.20208]
chr2:70152454-70153754,1300,[],[],[]
chr2:70494964-70496264,1300,[],[],[]
chr2:71309079-71310379,1300,[],[],[]
chr2:71610457-71611757,1300,[],[],[]
chr2:73971986-73973286,1300,[],[],[]
chr2:73980574-73981874,1300,[],[],[]
chr2:74915955-74917255,1300,[],[],[]
chr2:74934233-74935533,1300,[],[],[]
chr2:75502191-75503491,1300,[],[],[]
chr2:85608589-85609889,1300,[],[],[]
chr2:85993846-85995146,1300,[],[],[]
chr2:86017873-86019173,1300,[],[],[]
chr2:86724181-86725481,1300,[],[],[]
chr2:86781920-86783220,1300,[],[],[]
chr2:88060689-88061989,1300,[],[],[]
chr2:88061368-88062668,1300,[],[],[]
chr2:88062920-88064220,1300,[],[],[]
chr2:88397535-88398835,1300,[],[],[]
chr2:88488585-88489885,1300,[],[],[]
chr2:88489237-88490537,1300,[],[],[]
chr2:88978167-88979467,1300,[],[],[]
chr2:89163861-89165161,1300,[],[],[]
chr2:91756089-91757389,1300,[],[],[]
chr2:95676997-95678297,1300,[],[],[]
chr2:95931852-95933152,1300,[],[],[]
chr2:97205416-97206716,1300,[-7008],[13423],[31.27423]
chr2:100096511-100097811,1300,[],[],[]
chr2:100100011-100101311,1300,[],[],[]
chr2:101915311-101916611,1300,[],[],[]
chr2:102725093-102726393,1300,[219],[396],[3.41197]
chr2:102727990-102729290,1300,[-235],[545],[3.03287]
chr2:102729509-102730809,1300,[1508],[3326],[5.44048]
chr2:102731609-102732909,1300,[-592],[3326],[5.44048]
chr2:102732609-102733909,1300,[-1592, 1163],[3326, 1818],[5.44048, 3.76226]
chr2:102762628-102763928,1300,[51, 820],[314, 672],[2.72668, 3.42024]
chr2:106500805-106502105,1300,[-449, 716],[277, 523],[2.34705, 2.98352]
chr2:106501954-106503254,1300,[-433, 252],[523, 347],[2.98352, 4.26149]
chr2:106503724-106505024,1300,[-499],[465],[4.6142]
chr2:110314126-110315426,1300,[1495],[1914],[7.53247]
chr2:111110263-111111563,1300,[],[],[]
chr2:112805503-112806803,1300,[-491],[843],[3.00595]
chr2:113120867-113122167,1300,[],[],[]
chr2:113140020-113141320,1300,[],[],[]
chr2:113921945-113923245,1300,[753],[605],[3.65651]
chr2:113923826-113925126,1300,[519],[1823],[8.79832]
chr2:114243756-114245056,1300,[],[],[]
chr2:118875017-118876317,1300,[],[],[]
chr2:118876028-118877328,1300,[],[],[]
chr2:118879041-118880341,1300,[778],[1672],[4.65638]
chr2:119983179-119984479,1300,[-1638],[3166],[17.46597]
chr2:128424865-128426165,1300,[],[],[]
chr2:128426271-128427571,1300,[-264],[364],[3.7294]
chr2:129017006-129018306,1300,[806],[1171],[5.61504]
chr2:131823532-131824832,1300,[],[],[]
chr2:132267368-132268668,1300,[],[],[]
chr2:150007278-150008578,1300,[],[],[]
chr2:150047199-150048499,1300,[],[],[]
chr2:152632710-152634010,1300,[],[],[]
chr2:153203159-153204459,1300,[],[],[]
chr2:153205140-153206440,1300,[],[],[]
chr2:153209026-153210326,1300,[],[],[]
chr2:153210261-153211561,1300,[484],[370],[2.50182]
chr2:153580248-153581548,1300,[],[],[]
chr2:159946661-159947961,1300,[29],[3539],[6.04987]
chr2:160119897-160121197,1300,[],[],[]
chr2:160455540-160456840,1300,[],[],[]
chr2:160460760-160462060,1300,[777],[1916],[6.55819]
chr2:160465060-160466360,1300,[-67, 807],[315, 944],[3.06378, 2.34705]
chr2:162027758-162029058,1300,[],[],[]
chr2:165512047-165513347,1300,[],[],[]
chr2:165516116-165517416,1300,[],[],[]
chr2:165566101-165567401,1300,[1076],[2418],[6.16827]
chr2:165757941-165759241,1300,[],[],[]
chr2:165758731-165760031,1300,[],[],[]
chr2:167306194-167307494,1300,[],[],[]
chr2:170560661-170561961,1300,[],[],[]
chr2:170566515-170567815,1300,[],[],[]
chr2:172386259-172387559,1300,[837],[1354],[4.80431]
chr2:172402493-172403793,1300,[],[],[]
chr2:172618131-172619431,1300,[],[],[]
chr2:173312077-173313377,1300,[-1126, -116, 444],[1053, 456, 245],[4.88618, 2.73475, 2.18325]
chr2:173312878-173314178,1300,[-357, 215],[245, 499],[2.18325, 3.06677]
chr2:173488010-173489310,1300,[],[],[]
chr2:173906377-173907677,1300,[],[],[]
chr2:177176821-177178121,1300,[],[],[]
chr2:178046843-178048143,1300,[],[],[]
chr2:178050677-178051977,1300,[],[],[]
chr2:178051558-178052858,1300,[],[],[]
chr2:178105377-178106677,1300,[1684],[9631],[21.21383]
chr2:187381945-187383245,1300,[],[],[]
chr2:187386771-187388071,1300,[],[],[]
chr2:188287080-188288380,1300,[],[],[]
chr2:191810927-191812227,1300,[-189, 929],[261, 1652],[2.36881, 4.61211]
chr2:192703921-192705221,1300,[],[],[]
chr2:192705775-192707075,1300,[],[],[]
chr2:201259872-201261172,1300,[],[],[]
chr2:201260754-201262054,1300,[],[],[]
chr2:201261773-201263073,1300,[],[],[]
chr2:201441796-201443096,1300,[],[],[]
chr2:201831072-201832372,1300,[1010],[2638],[7.18087]
chr2:202363494-202364794,1300,[],[],[]
chr2:203334000-203335300,1300,[],[],[]
chr2:206555057-206556357,1300,[9301],[39680],[21.04364]
chr2:206570073-206571373,1300,[-5715],[39680],[21.04364]
chr2:206648720-206650020,1300,[-96, 951],[842, 915],[3.71314, 4.63617]
chr2:207660773-207662073,1300,[],[],[]
chr2:207978916-207980216,1300,[],[],[]
chr2:211044673-211045973,1300,[-316, 1006],[431, 927],[2.9072, 4.34737]
chr2:214169401-214170701,1300,[],[],[]
chr2:217511002-217512302,1300,[-739],[6001],[19.43725]
chr2:217514172-217515472,1300,[1513],[4562],[8.68385]
chr2:217515472-217516772,1300,[213],[4562],[8.68385]
chr2:217517072-217518372,1300,[-1387],[4562],[8.68385]
chr2:217545418-217546718,1300,[-262],[5938],[9.2375]
chr2:217546773-217548073,1300,[-1617],[5938],[9.2375]
chr2:217548437-217549737,1300,[-3281, 1814],[5938, 4092],[9.2375, 11.29695]
chr2:217551911-217553211,1300,[-1660, 7243],[4092, 13449],[11.29695, 23.37888]
chr2:217553272-217554572,1300,[5882],[13449],[23.37888]
chr2:218716198-218717498,1300,[-2385],[7902],[13.03404]
chr2:218822723-218824023,1300,[996],[3421],[5.96589]
chr2:219623441-219624741,1300,[],[],[]
chr2:220231869-220233169,1300,[],[],[]
chr2:223577568-223578868,1300,[1029],[1373],[6.21467]
chr2:223578768-223580068,1300,[-171],[1373],[6.21467]
chr2:224709520-224710820,1300,[],[],[]
