chr2:102728128-102728828,700,[-81],[553],[3.0347]
chr2:103106652-103107352,700,[],[],[]
chr2:128651713-128652413,700,[],[],[]
chr2:158253413-158254113,700,[],[],[]
chr2:160098258-160098958,700,[],[],[]
chr2:160100510-160101210,700,[],[],[]
chr2:172621667-172622367,700,[],[],[]
chr2:173316771-173317471,700,[491],[1641],[4.04939]
chr2:187391517-187392217,700,[],[],[]
chr2:191814675-191815375,700,[],[],[]
chr2:201290240-201290940,700,[],[],[]
chr2:20409648-20410348,700,[-591],[2566],[6.75961]
chr2:20754818-20755518,700,[],[],[]
chr2:207981718-207982418,700,[],[],[]
chr2:237483398-237484098,700,[-305],[400],[3.17492]
chr2:23902487-23903187,700,[],[],[]
chr2:238017323-238018023,700,[],[],[]
chr2:238694804-238695504,700,[],[],[]
chr2:238701010-238701710,700,[],[],[]
chr2:238810385-238811085,700,[],[],[]
chr2:238811364-238812064,700,[],[],[]
chr2:240754061-240754761,700,[],[],[]
chr2:24324774-24325474,700,[],[],[]
chr2:242703000-242703700,700,[],[],[]
chr2:242703907-242704607,700,[],[],[]
chr2:242704191-242704891,700,[],[],[]
chr2:28654295-28654995,700,[],[],[]
chr2:39341355-39342055,700,[],[],[]
chr2:40767550-40768250,700,[-437],[392],[2.68528]
chr2:42567684-42568384,700,[],[],[]
chr2:44578094-44578794,700,[-263],[567],[3.40374]
chr2:46825989-46826689,700,[],[],[]
chr2:46857936-46858636,700,[],[],[]
chr2:54330682-54331382,700,[107],[330],[2.96955]
chr2:62386662-62387362,700,[],[],[]
chr2:65329062-65329762,700,[-209, 631],[225, 732],[2.46569, 4.04034]
chr2:66805809-66806509,700,[],[],[]
chr2:69888831-69889531,700,[],[],[]
chr2:72395565-72396265,700,[],[],[]
chr2:74931042-74931742,700,[],[],[]
chr2:74939858-74940558,700,[],[],[]
chr2:91755972-91756672,700,[],[],[]
chr2:95704603-95705303,700,[-222],[252],[2.74379]
chr2:91762758-91763458,700,[],[],[]
chr2:91762823-91763523,700,[],[],[]
