chr1:1057691-1058291,600,[10],[484],[4.04199]
chr1:1060127-1060727,600,[-395, 36],[225, 449],[2.73288, 2.91023]
chr1:1064148-1064748,600,[],[],[]
chr1:1065425-1066025,600,[],[],[]
chr1:12670470-12671070,600,[],[],[]
chr1:19977793-19978393,600,[-612],[1484],[6.01704]
chr1:29503812-29504412,600,[],[],[]
chr1:31891483-31892083,600,[],[],[]
chr1:32029001-32029601,600,[],[],[]
chr1:33967273-33967873,600,[],[],[]
chr1:53144583-53145183,600,[],[],[]
chr1:56955252-56955852,600,[],[],[]
chr1:68559316-68559916,600,[],[],[]
chr1:84751670-84752270,600,[],[],[]
chr1:94244955-94245555,600,[-60],[322],[3.39741]
chr1:95349556-95350156,600,[],[],[]
chr1:100169656-100170256,600,[],[],[]
chr1:114050868-114051468,600,[],[],[]
chr1:114234590-114235190,600,[],[],[]
chr1:117028947-117029547,600,[],[],[]
chr1:118381470-118382070,600,[],[],[]
chr1:119701532-119702132,600,[],[],[]
chr1:119703064-119703664,600,[],[],[]
chr1:144603493-144604093,600,[],[],[]
chr1:144604415-144605015,600,[],[],[]
chr1:144605765-144606365,600,[],[],[]
chr1:144835878-144836478,600,[],[],[]
chr1:144929262-144929862,600,[-472, 345],[388, 903],[2.87909, 4.89596]
chr1:144933833-144934433,600,[],[],[]
chr1:16922165-16922765,600,[],[],[]
chr1:149676604-149677204,600,[],[],[]
chr1:149664394-149664994,600,[],[],[]
chr15:75867182-75867782,600,[],[],[]
chr1:147917899-147918499,600,[],[],[]
chr1:145006395-145006995,600,[],[],[]
chr1:145004158-145004758,600,[],[],[]
chr1:145002897-145003497,600,[],[],[]
chr1:144978413-144979013,600,[],[],[]
chr1:150607554-150608154,600,[],[],[]
chr1:151830598-151831198,600,[],[],[]
chr1:155436191-155436791,600,[],[],[]
chr1:155442251-155442851,600,[],[],[]
chr1:155539915-155540515,600,[],[],[]
chr1:160959826-160960426,600,[],[],[]
chr1:169086761-169087361,600,[],[],[]
chr1:169088738-169089338,600,[],[],[]
chr1:193229378-193229978,600,[],[],[]
chr1:193230001-193230601,600,[],[],[]
chr1:193233449-193234049,600,[],[],[]
chr1:206274550-206275150,600,[],[],[]
chr1:206274333-206274933,600,[],[],[]
chr1:206273131-206273731,600,[],[],[]
chr1:207519777-207520377,600,[],[],[]
