chr1:12667868-12668868,1000,[569],[361],[2.93949]
chr1:12670270-12671270,1000,[],[],[]
chr1:29503612-29504612,1000,[],[],[]
chr1:33967073-33968073,1000,[],[],[]
chr1:43603063-43604063,1000,[],[],[]
chr1:45859272-45860272,1000,[-77],[247],[2.39775]
chr1:46885667-46886667,1000,[],[],[]
chr1:52434473-52435473,1000,[-106, 816],[780, 952],[11.6239, 5.05267]
chr1:56955052-56956052,1000,[],[],[]
chr1:59283514-59284514,1000,[-278, 236],[347, 332],[2.49075, 2.73367]
chr1:66806783-66807783,1000,[-18],[1049],[5.99644]
chr1:66808083-66809083,1000,[],[],[]
chr1:68559116-68560116,1000,[],[],[]
chr1:94244755-94245755,1000,[558],[5477],[41.16493]
chr1:100169456-100170456,1000,[],[],[]
chr1:109076071-109077071,1000,[-84],[291],[3.19544]
chr1:109080287-109081287,1000,[],[],[]
chr1:114050668-114051668,1000,[],[],[]
chr1:114234390-114235390,1000,[],[],[]
chr1:115105448-115106448,1000,[],[],[]
chr1:118381270-118382270,1000,[-63],[1396],[20.53566]
chr1:119701332-119702332,1000,[],[],[]
chr1:119702864-119703864,1000,[],[],[]
chr1:144593760-144594760,1000,[-20],[255],[5.99269]
chr1:144603293-144604293,1000,[],[],[]
chr1:144604215-144605215,1000,[],[],[]
chr1:144605565-144606565,1000,[],[],[]
chr1:144929062-144930062,1000,[],[],[]
chr1:144933633-144934633,1000,[],[],[]
chr1:16921965-16922965,1000,[-253, 462],[678, 230],[10.07861, 2.37751]
chr1:149676404-149677404,1000,[],[],[]
chr1:149679200-149680200,1000,[],[],[]
chr1:21766569-21767569,1000,[-325],[307],[4.35832]
chr15:75866982-75867982,1000,[],[],[]
chr1:145006195-145007195,1000,[],[],[]
chr1:145003958-145004958,1000,[],[],[]
chr1:145002697-145003697,1000,[],[],[]
chr1:150607354-150608354,1000,[],[],[]
chr1:155539715-155540715,1000,[],[],[]
chr1:160959626-160960626,1000,[282],[256],[2.46118]
chr1:167140490-167141490,1000,[],[],[]
chr1:193084592-193085592,1000,[-572],[2366],[19.27573]
chr1:193229178-193230178,1000,[],[],[]
chr1:193229801-193230801,1000,[],[],[]
chr1:193233249-193234249,1000,[],[],[]
chr1:193431771-193432771,1000,[],[],[]
chr1:205638028-205639028,1000,[],[],[]
chr1:205639528-205640528,1000,[],[],[]
chr1:205639928-205640928,1000,[],[],[]
chr1:205640888-205641888,1000,[],[],[]
chr1:205644891-205645891,1000,[],[],[]
chr1:207175945-207176945,1000,[-314],[2352],[10.34889]
chr1:207177945-207178945,1000,[1612],[5423],[24.38079]
chr1:207178462-207179462,1000,[1095],[5423],[24.38079]
chr1:207180679-207181679,1000,[-1122],[5423],[24.38079]
chr1:224388771-224389771,1000,[130],[393],[2.30086]
chr1:224645502-224646502,1000,[],[],[]
chr1:226914501-226915501,1000,[],[],[]
chr1:226915001-226916001,1000,[],[],[]
chr1:226917601-226918601,1000,[],[],[]
chr1:236652956-236653956,1000,[],[],[]
chr1:236653772-236654772,1000,[],[],[]
chr1:236654734-236655734,1000,[],[],[]
chr10:3334624-3335624,1000,[],[],[]
chr10:13764928-13765928,1000,[],[],[]
chr10:17485599-17486599,1000,[],[],[]
chr10:17487199-17488199,1000,[],[],[]
chr10:22722629-22723629,1000,[1972],[5424],[29.20823]
chr10:22726029-22727029,1000,[-1428],[5424],[29.20823]
chr10:29718693-29719693,1000,[],[],[]
chr10:32258492-32259492,1000,[],[],[]
chr10:32261129-32262129,1000,[],[],[]
chr10:43339938-43340938,1000,[],[],[]
chr10:43896748-43897748,1000,[],[],[]
chr10:51542677-51543677,1000,[],[],[]
chr10:47092980-47093980,1000,[],[],[]
chr10:50649446-50650446,1000,[],[],[]
chr10:50653768-50654768,1000,[],[],[]
chr10:50654740-50655740,1000,[],[],[]
chr10:65363558-65364558,1000,[],[],[]
chr10:84924577-84925577,1000,[],[],[]
chr10:88966357-88967357,1000,[],[],[]
chr10:88971258-88972258,1000,[],[],[]
chr10:88973457-88974457,1000,[],[],[]
chr10:88975553-88976553,1000,[],[],[]
chr10:104274088-104275088,1000,[],[],[]
chr10:118650424-118651424,1000,[-263, 372],[301, 563],[2.51086, 5.69666]
chr10:121252312-121253312,1000,[],[],[]
chr10:121253912-121254912,1000,[14],[1879],[10.32301]
chr10:121254763-121255763,1000,[-837],[1879],[10.32301]
chr10:123907790-123908790,1000,[],[],[]
chr10:123911815-123912815,1000,[],[],[]
chr10:123913839-123914839,1000,[],[],[]
chr10:134223510-134224510,1000,[],[],[]
chr10:134388582-134389582,1000,[182],[3011],[51.60903]
chr10:135225060-135226060,1000,[],[],[]
chr11:514889-515889,1000,[],[],[]
chr11:11931060-11932060,1000,[],[],[]
chr11:14670046-14671046,1000,[],[],[]
chr11:14670646-14671646,1000,[],[],[]
chr11:17365149-17366149,1000,[],[],[]
chr11:34686353-34687353,1000,[-24],[1768],[7.32896]
