chr1:1057091-1057691,600,[-41],[377],[3.87643]
chr1:1059527-1060127,600,[205],[225],[2.73288]
chr1:1063548-1064148,600,[],[],[]
chr1:1064825-1065425,600,[],[],[]
chr1:12669870-12670470,600,[-193],[231],[2.41308]
chr1:19977193-19977793,600,[-12],[1484],[6.01704]
chr1:29503212-29503812,600,[],[],[]
chr1:31890883-31891483,600,[],[],[]
chr1:32028401-32029001,600,[],[],[]
chr1:33966673-33967273,600,[],[],[]
chr1:53143983-53144583,600,[],[],[]
chr1:56954652-56955252,600,[],[],[]
chr1:68558716-68559316,600,[],[],[]
chr1:84751070-84751670,600,[],[],[]
chr1:94244355-94244955,600,[],[],[]
chr1:95348956-95349556,600,[],[],[]
chr1:100169056-100169656,600,[],[],[]
chr1:114050268-114050868,600,[],[],[]
chr1:114233990-114234590,600,[],[],[]
chr1:117028347-117028947,600,[],[],[]
chr1:118380870-118381470,600,[],[],[]
chr1:119700932-119701532,600,[],[],[]
chr1:119702464-119703064,600,[],[],[]
chr1:144602893-144603493,600,[],[],[]
chr1:144603815-144604415,600,[],[],[]
chr1:144605165-144605765,600,[],[],[]
chr1:144835278-144835878,600,[],[],[]
chr1:144928662-144929262,600,[-331, 128],[455, 388],[4.14855, 2.87909]
chr1:144933233-144933833,600,[-534],[786],[4.82017]
chr1:16921565-16922165,600,[],[],[]
chr1:149676004-149676604,600,[],[],[]
chr1:149663794-149664394,600,[],[],[]
chr15:75866582-75867182,600,[-248],[322],[4.25792]
chr1:147917299-147917899,600,[],[],[]
chr1:145005795-145006395,600,[],[],[]
chr1:145003558-145004158,600,[],[],[]
chr1:145002297-145002897,600,[],[],[]
chr1:144977813-144978413,600,[],[],[]
chr1:150606954-150607554,600,[],[],[]
chr1:151829998-151830598,600,[],[],[]
chr1:155435591-155436191,600,[],[],[]
chr1:155441651-155442251,600,[],[],[]
chr1:155539315-155539915,600,[],[],[]
chr1:160959226-160959826,600,[],[],[]
chr1:169086161-169086761,600,[],[],[]
chr1:169088138-169088738,600,[],[],[]
chr1:193228778-193229378,600,[],[],[]
chr1:193229401-193230001,600,[],[],[]
chr1:193232849-193233449,600,[],[],[]
chr1:206273950-206274550,600,[],[],[]
chr1:206273733-206274333,600,[],[],[]
chr1:206272531-206273131,600,[],[],[]
chr1:207519177-207519777,600,[],[],[]
chr1:221981951-221982551,600,[],[],[]
chr1:221983106-221983706,600,[],[],[]
chr1:222930342-222930942,600,[],[],[]
chr1:223262692-223263292,600,[],[],[]
chr1:223275742-223276342,600,[],[],[]
chr1:224645102-224645702,600,[-496],[1003],[5.02388]
chr1:233839200-233839800,600,[],[],[]
