chr1:2226789-2227089,300,[69],[100],[2.10485]
chr1:2228944-2229244,300,[],[],[]
chr1:20086795-20087095,300,[],[],[]
chr1:29505162-29505462,300,[130],[107],[3.86134]
chr1:31892833-31893133,300,[],[],[]
chr1:33968623-33968923,300,[],[],[]
chr1:39640522-39640822,300,[],[],[]
chr1:40119257-40119557,300,[],[],[]
chr1:40120622-40120922,300,[],[],[]
chr1:43604613-43604913,300,[],[],[]
chr1:44379622-44379922,300,[],[],[]
chr1:56956602-56956902,300,[],[],[]
chr1:59285064-59285364,300,[],[],[]
chr1:66808333-66808633,300,[],[],[]
chr1:66809633-66809933,300,[],[],[]
chr1:78610034-78610334,300,[],[],[]
chr1:94246305-94246605,300,[],[],[]
chr1:100171006-100171306,300,[],[],[]
chr1:100540324-100540624,300,[-231],[224],[2.3954]
chr1:114052218-114052518,300,[],[],[]
chr1:114235940-114236240,300,[],[],[]
chr1:118382820-118383120,300,[],[],[]
chr1:119702882-119703182,300,[],[],[]
chr1:119704414-119704714,300,[],[],[]
chr1:144604843-144605143,300,[],[],[]
chr1:144605765-144606065,300,[],[],[]
chr1:144607115-144607415,300,[],[],[]
chr1:144837228-144837528,300,[],[],[]
chr1:144930612-144930912,300,[],[],[]
chr1:144935183-144935483,300,[],[],[]
chr1:16923515-16923815,300,[],[],[]
chr1:149677954-149678254,300,[],[],[]
chr1:149665744-149666044,300,[],[],[]
chr1:21768119-21768419,300,[],[],[]
chr15:75868532-75868832,300,[],[],[]
chr1:147919249-147919549,300,[],[],[]
chr1:145007745-145008045,300,[],[],[]
chr1:145005508-145005808,300,[],[],[]
chr1:145004247-145004547,300,[],[],[]
chr1:144979647-144979947,300,[],[],[]
chr1:144979763-144980063,300,[],[],[]
chr1:144984766-144985066,300,[],[],[]
chr1:150569826-150570126,300,[],[],[]
chr1:150608904-150609204,300,[],[],[]
chr1:150641470-150641770,300,[-103],[101],[2.81742]
chr1:151831948-151832248,300,[],[],[]
chr1:155437541-155437841,300,[],[],[]
chr1:155443601-155443901,300,[],[],[]
chr1:155541265-155541565,300,[-24],[139],[2.67635]
chr1:160961176-160961476,300,[],[],[]
chr1:169086688-169086988,300,[-491, 173],[829, 235],[2.85126, 2.02683]
chr1:169088111-169088411,300,[27],[909],[2.3072]
chr1:169090088-169090388,300,[],[],[]
chr1:174812147-174812447,300,[],[],[]
chr1:193230728-193231028,300,[],[],[]
chr1:193231351-193231651,300,[-141],[122],[2.18708]
chr1:193234799-193235099,300,[],[],[]
chr1:205716278-205716578,300,[-18],[310],[2.4133]
chr1:207521127-207521427,300,[-68],[298],[2.74218]
chr1:207953646-207953946,300,[254],[270],[3.50808]
chr1:221983901-221984201,300,[],[],[]
chr1:221985056-221985356,300,[],[],[]
chr1:221991479-221991779,300,[],[],[]
chr1:222932292-222932592,300,[],[],[]
chr1:224647052-224647352,300,[],[],[]
chr1:226916051-226916351,300,[-6],[100],[1.88303]
chr1:226916551-226916851,300,[],[],[]
chr1:226919151-226919451,300,[],[],[]
chr1:233841150-233841450,300,[-64, 152],[100, 107],[2.31849, 3.59273]
chr1:235187897-235188197,300,[],[],[]
chr1:235189072-235189372,300,[],[],[]
chr1:243658252-243658552,300,[],[],[]
chr1:246438719-246439019,300,[],[],[]
chr10:957001-957301,300,[],[],[]
chr10:5000476-5000776,300,[],[],[]
chr10:5082199-5082499,300,[],[],[]
chr10:5108177-5108477,300,[],[],[]
chr10:5114861-5115161,300,[],[],[]
chr10:5527443-5527743,300,[],[],[]
chr10:5531689-5531989,300,[],[],[]
chr10:11239787-11240087,300,[],[],[]
chr10:11240644-11240944,300,[],[],[]
chr10:17263926-17264226,300,[],[],[]
chr10:22724179-22724479,300,[],[],[]
chr10:22727579-22727879,300,[],[],[]
chr10:24540094-24540394,300,[],[],[]
chr10:29720243-29720543,300,[],[],[]
chr10:32177057-32177357,300,[],[],[]
chr10:33550593-33550893,300,[-31],[160],[2.43874]
chr10:33608899-33609199,300,[],[],[]
chr10:33611686-33611986,300,[72],[296],[2.43874]
chr10:43898298-43898598,300,[3],[142],[2.4133]
chr10:45930749-45931049,300,[],[],[]
chr10:50650996-50651296,300,[],[],[]
chr10:50655318-50655618,300,[],[],[]
chr10:50656290-50656590,300,[-184],[103],[1.78838]
chr10:65365108-65365408,300,[],[],[]
chr10:81553110-81553410,300,[],[],[]
chr10:81675473-81675773,300,[],[],[]
chr10:88967907-88968207,300,[],[],[]
chr10:88972808-88973108,300,[],[],[]
chr10:88975007-88975307,300,[],[],[]
chr10:88977103-88977403,300,[],[],[]
chr10:89075343-89075643,300,[],[],[]
chr10:89521108-89521408,300,[],[],[]
chr10:97004016-97004316,300,[],[],[]
chr10:104905075-104905375,300,[],[],[]
chr10:105631741-105632041,300,[],[],[]
chr10:105633088-105633388,300,[],[],[]
chr10:105646668-105646968,300,[],[],[]
chr10:114833909-114834209,300,[],[],[]
chr10:118651974-118652274,300,[],[],[]
chr10:134225060-134225360,300,[],[],[]
chr10:135226610-135226910,300,[-69],[165],[2.38591]
chr11:516439-516739,300,[],[],[]
chr11:2231196-2231496,300,[],[],[]
chr11:11932610-11932910,300,[],[],[]
chr11:13017867-13018167,300,[],[],[]
chr11:17366699-17366999,300,[],[],[]
chr11:34687903-34688203,300,[],[],[]
chr11:43889334-43889634,300,[],[],[]
chr11:43891700-43892000,300,[],[],[]
chr11:57539322-57539622,300,[],[],[]
chr11:57541122-57541422,300,[],[],[]
chr11:60935022-60935322,300,[],[],[]
