chr2:102729428-102730528,1100,[247],[286],[1.9819]
chr2:103107952-103109052,1100,[],[],[]
chr2:128653013-128654113,1100,[],[],[]
chr2:158254713-158255813,1100,[],[],[]
chr2:160099558-160100658,1100,[],[],[]
chr2:160101810-160102910,1100,[],[],[]
chr2:172622967-172624067,1100,[],[],[]
chr2:173318071-173319171,1100,[],[],[]
chr2:187392817-187393917,1100,[],[],[]
chr2:191815975-191817075,1100,[],[],[]
chr2:201291540-201292640,1100,[],[],[]
chr2:20410948-20412048,1100,[],[],[]
chr2:20756118-20757218,1100,[],[],[]
chr2:207983018-207984118,1100,[],[],[]
chr2:237484698-237485798,1100,[343],[2458],[3.08936]
chr2:23903787-23904887,1100,[],[],[]
chr2:238018623-238019723,1100,[],[],[]
chr2:238696104-238697204,1100,[],[],[]
chr2:238702310-238703410,1100,[],[],[]
chr2:238811685-238812785,1100,[1643],[3174],[6.63681]
chr2:238812664-238813764,1100,[664],[3174],[6.63681]
chr2:240755361-240756461,1100,[],[],[]
chr2:24326074-24327174,1100,[],[],[]
chr2:242704300-242705400,1100,[],[],[]
chr2:242705207-242706307,1100,[],[],[]
chr2:242705491-242706591,1100,[],[],[]
chr2:28655595-28656695,1100,[],[],[]
chr2:39342655-39343755,1100,[],[],[]
chr2:40768850-40769950,1100,[],[],[]
chr2:42568984-42570084,1100,[469],[1457],[4.74058]
chr2:44579394-44580494,1100,[],[],[]
chr2:46827289-46828389,1100,[],[],[]
chr2:46859236-46860336,1100,[],[],[]
chr2:54331982-54333082,1100,[],[],[]
chr2:62387962-62389062,1100,[],[],[]
chr2:65330362-65331462,1100,[-485],[550],[2.43101]
chr2:66807109-66808209,1100,[-1061],[10006],[14.10358]
chr2:69890131-69891231,1100,[],[],[]
chr2:72396865-72397965,1100,[],[],[]
chr2:74932342-74933442,1100,[],[],[]
chr2:74941158-74942258,1100,[],[],[]
chr2:91757272-91758372,1100,[],[],[]
chr2:95705903-95707003,1100,[530],[1171],[4.20685]
chr2:91764058-91765158,1100,[],[],[]
chr2:91764123-91765223,1100,[],[],[]
chr2:3511446-3512546,1100,[],[],[]
chr2:11329075-11330175,1100,[],[],[]
chr2:11329875-11330975,1100,[],[],[]
chr2:13665087-13666187,1100,[],[],[]
chr2:14815385-14816485,1100,[],[],[]
chr2:15314729-15315829,1100,[],[],[]
chr2:20410010-20411110,1100,[-642],[1176],[6.37091]
chr2:20414620-20415720,1100,[-2],[344],[3.0178]
chr2:20416844-20417944,1100,[479],[225],[1.89259]
chr2:20419220-20420320,1100,[],[],[]
chr2:20474715-20475815,1100,[],[],[]
chr2:20803522-20804622,1100,[-70, 478],[261, 439],[2.17255, 3.96381]
chr2:20812909-20814009,1100,[4343],[10955],[23.87012]
chr2:20814709-20815809,1100,[2543],[10955],[23.87012]
chr2:23937219-23938319,1100,[],[],[]
chr2:26286228-26287328,1100,[],[],[]
chr2:26289639-26290739,1100,[],[],[]
chr2:26293318-26294418,1100,[],[],[]
chr2:28544217-28545317,1100,[],[],[]
chr2:28546116-28547216,1100,[],[],[]
chr2:28547826-28548926,1100,[],[],[]
chr2:28558516-28559616,1100,[],[],[]
chr2:29177094-29178194,1100,[],[],[]
chr2:30826089-30827189,1100,[],[],[]
chr2:31006692-31007792,1100,[],[],[]
chr2:32064218-32065318,1100,[],[],[]
chr2:33143141-33144241,1100,[],[],[]
chr2:36769997-36771097,1100,[],[],[]
chr2:38416791-38417891,1100,[297],[506],[3.61534]
chr2:39708697-39709797,1100,[],[],[]
chr2:39710690-39711790,1100,[],[],[]
chr2:39713290-39714390,1100,[],[],[]
chr2:39713890-39714990,1100,[],[],[]
chr2:39715090-39716190,1100,[],[],[]
chr2:39717090-39718190,1100,[],[],[]
chr2:39721190-39722290,1100,[91],[547],[2.62018]
chr2:39723890-39724990,1100,[60],[966],[3.06765]
chr2:39726393-39727493,1100,[91],[1498],[5.2398]
chr2:39729590-39730690,1100,[1759],[3114],[6.54944]
chr2:42570229-42571329,1100,[-776],[1457],[4.74058]
chr2:42571389-42572489,1100,[],[],[]
chr2:43296887-43297987,1100,[1137],[2458],[6.38668]
chr2:44580189-44581289,1100,[],[],[]
chr2:46530888-46531988,1100,[-699],[1642],[6.38072]
chr2:46580888-46581988,1100,[],[],[]
chr2:46861342-46862442,1100,[],[],[]
chr2:46863927-46865027,1100,[],[],[]
chr2:46871776-46872876,1100,[610],[888],[4.74442]
chr2:46872505-46873605,1100,[-119],[888],[4.74442]
chr2:46872942-46874042,1100,[-556],[888],[4.74442]
chr2:46882492-46883592,1100,[877],[777],[3.11353]
