chr1:12668768-12669568,800,[-139, 561],[443, 471],[2.78614, 2.4971]
chr1:12671170-12671970,800,[-342],[1266],[4.21282]
chr1:29504512-29505312,800,[489],[193],[1.88013]
chr1:33967973-33968773,800,[],[],[]
chr1:43603963-43604763,800,[],[],[]
chr1:45860172-45860972,800,[-758],[749],[3.94693]
chr1:46886567-46887367,800,[],[],[]
chr1:52435373-52436173,800,[52],[950],[4.46572]
chr1:56955952-56956752,800,[],[],[]
chr1:59284414-59285214,800,[-671],[1797],[5.0231]
chr1:66807683-66808483,800,[-851],[1226],[4.63443]
chr1:66808983-66809783,800,[],[],[]
chr1:68560016-68560816,800,[],[],[]
chr1:94245655-94246455,800,[407],[1609],[8.10844]
chr1:100170356-100171156,800,[],[],[]
chr1:109076971-109077771,800,[],[],[]
chr1:109081187-109081987,800,[],[],[]
chr1:114051568-114052368,800,[],[],[]
chr1:114235290-114236090,800,[],[],[]
chr1:115106348-115107148,800,[],[],[]
chr1:118382170-118382970,800,[-137],[225],[2.28507]
chr1:119702232-119703032,800,[],[],[]
chr1:119703764-119704564,800,[],[],[]
chr1:144594660-144595460,800,[],[],[]
chr1:144604193-144604993,800,[],[],[]
chr1:144605115-144605915,800,[],[],[]
chr1:144606465-144607265,800,[],[],[]
chr1:144929962-144930762,800,[-2253, 503],[4570, 629],[3.51385, 2.48807]
chr1:144934533-144935333,800,[],[],[]
chr1:16922865-16923665,800,[],[],[]
chr1:149677304-149678104,800,[],[],[]
chr1:149680100-149680900,800,[],[],[]
chr1:21767469-21768269,800,[58, 470],[203, 204],[2.1994, 3.2218]
chr15:75867882-75868682,800,[],[],[]
chr1:145007095-145007895,800,[-114, 659],[273, 976],[1.73358, 3.64106]
chr1:145004858-145005658,800,[],[],[]
chr1:145003597-145004397,800,[],[],[]
chr1:150608254-150609054,800,[-245],[233],[2.60812]
chr1:155540615-155541415,800,[],[],[]
chr1:160960526-160961326,800,[-442],[261],[2.10351]
chr1:167141390-167142190,800,[],[],[]
chr1:193085492-193086292,800,[-503],[655],[6.02641]
chr1:193230078-193230878,800,[],[],[]
chr1:193230701-193231501,800,[],[],[]
chr1:193234149-193234949,800,[],[],[]
chr1:193432671-193433471,800,[],[],[]
chr1:205638928-205639728,800,[-978],[2656],[4.14141]
chr1:205640428-205641228,800,[511],[907],[5.75104]
chr1:205640828-205641628,800,[111],[907],[5.75104]
chr1:205641788-205642588,800,[-849, -217, 231],[907, 248, 312],[5.75104, 1.61805, 3.50544]
chr1:205645791-205646591,800,[],[],[]
chr1:207176845-207177645,800,[-812, 361],[1538, 423],[5.83585, 4.14251]
chr1:207178845-207179645,800,[156],[2877],[7.56587]
chr1:207179362-207180162,800,[-361],[2877],[7.56587]
chr1:207181579-207182379,800,[-271],[1408],[4.21126]
chr1:224389671-224390471,800,[],[],[]
chr1:224646402-224647202,800,[],[],[]
chr1:226915401-226916201,800,[],[],[]
chr1:226915901-226916701,800,[],[],[]
chr1:226918501-226919301,800,[],[],[]
chr1:236653856-236654656,800,[],[],[]
chr1:236654672-236655472,800,[],[],[]
chr1:236655634-236656434,800,[],[],[]
chr10:3335524-3336324,800,[],[],[]
chr10:13765828-13766628,800,[],[],[]
chr10:17486499-17487299,800,[],[],[]
chr10:17488099-17488899,800,[],[],[]
chr10:22723529-22724329,800,[293],[3172],[3.8378]
chr10:22726929-22727729,800,[297],[1212],[3.53146]
chr10:29719593-29720393,800,[],[],[]
chr10:32259392-32260192,800,[],[],[]
chr10:32262029-32262829,800,[],[],[]
chr10:43340838-43341638,800,[],[],[]
chr10:43897648-43898448,800,[826],[3476],[5.93881]
chr10:51543577-51544377,800,[-173],[304],[2.26157]
chr10:47093880-47094680,800,[],[],[]
chr10:50650346-50651146,800,[],[],[]
chr10:50654668-50655468,800,[],[],[]
chr10:50655640-50656440,800,[],[],[]
chr10:65364458-65365258,800,[525],[826],[3.4758]
chr10:84925477-84926277,800,[],[],[]
chr10:88967257-88968057,800,[],[],[]
chr10:88972158-88972958,800,[],[],[]
chr10:88974357-88975157,800,[],[],[]
chr10:88976453-88977253,800,[],[],[]
chr10:104274988-104275788,800,[],[],[]
chr10:118651324-118652124,800,[686],[2753],[6.01293]
chr10:121253212-121254012,800,[178],[625],[8.0346]
chr10:121254812-121255612,800,[-391],[1145],[3.77113]
chr10:121255663-121256463,800,[91],[288],[4.14231]
chr10:123908690-123909490,800,[],[],[]
chr10:123912715-123913515,800,[],[],[]
chr10:123914739-123915539,800,[],[],[]
chr10:134224410-134225210,800,[],[],[]
chr10:134389482-134390282,800,[303],[1963],[7.4784]
chr10:135225960-135226760,800,[],[],[]
chr11:515789-516589,800,[],[],[]
chr11:11931960-11932760,800,[],[],[]
chr11:14670946-14671746,800,[],[],[]
chr11:14671546-14672346,800,[],[],[]
chr11:17366049-17366849,800,[],[],[]
chr11:34687253-34688053,800,[-746],[1509],[4.79309]
chr11:43888684-43889484,800,[],[],[]
chr11:43891050-43891850,800,[-615],[772],[2.58748]
chr11:58804591-58805391,800,[],[],[]
chr11:58805464-58806264,800,[],[],[]
chr11:58848461-58849261,800,[],[],[]
chr11:60599422-60600222,800,[141],[798],[5.8574]
chr11:65436872-65437672,800,[],[],[]
chr11:66427912-66428712,800,[],[],[]
chr11:68347539-68348339,800,[-363],[791],[5.00168]
chr11:71455138-71455938,800,[],[],[]
chr11:74532246-74533046,800,[],[],[]
chr11:74533746-74534546,800,[],[],[]
chr11:76757644-76758444,800,[-415, 377],[612, 363],[3.70952, 3.24248]
chr11:86355987-86356787,800,[],[],[]
chr11:86629342-86630142,800,[408],[1245],[4.47464]
chr11:102049231-102050031,800,[322],[1271],[5.46461]
chr11:113248977-113249777,800,[-380],[969],[2.88127]
chr11:114040023-114040823,800,[],[],[]
chr11:114043522-114044322,800,[],[],[]
chr11:114046452-114047252,800,[],[],[]
chr11:114162221-114163021,800,[-633, 795],[931, 1564],[3.71551, 6.78995]
chr12:82573-83373,800,[],[],[]
chr12:13359234-13360034,800,[-1748, 2680],[2857, 5598],[7.20261, 8.85516]
chr12:52510908-52511708,800,[-483],[382],[4.14231]
chr12:52512984-52513784,800,[273],[185],[2.30128]
chr12:52514064-52514864,800,[387],[752],[2.97802]
chr12:66397838-66398638,800,[],[],[]
chr12:69660630-69661430,800,[-858],[1144],[6.81546]
chr12:120919466-120920266,800,[-637],[656],[4.63623]
chr12:133016697-133017497,800,[],[],[]
chr12:133022427-133023227,800,[-272, 203],[248, 269],[2.21732, 2.74185]
chr13:24205466-24206266,800,[],[],[]
chr13:24229058-24229858,800,[],[],[]
chr13:24238100-24238900,800,[],[],[]
chr13:24255956-24256756,800,[],[],[]
chr13:24270515-24271315,800,[],[],[]
chr13:24277914-24278714,800,[],[],[]
chr13:24282425-24283225,800,[],[],[]
chr13:24284291-24285091,800,[],[],[]
chr13:24298239-24299039,800,[-686, 517],[1689, 588],[4.96336, 3.45276]
chr13:24298740-24299540,800,[-1187, 16],[1689, 588],[4.96336, 3.45276]
chr13:24299379-24300179,800,[-623],[588],[3.45276]
chr13:24371317-24372117,800,[-1452],[2169],[5.55695]
chr13:24374340-24375140,800,[],[],[]
